symbol,beg_date,end_date
CSX,2023-06-07,2023-06-20
VRSK,2023-06-07,2023-06-20
CDNS,2023-06-07,2023-06-20
MAR,2023-06-07,2023-06-20
DXCM,2023-06-07,2023-06-20
AMD,2023-06-07,2023-06-20
ISRG,2023-06-07,2023-06-20
FAST,2023-06-07,2023-06-20
ZS,2023-06-07,2023-06-20
TEAM,2023-06-07,2023-06-20
REGN,2023-06-07,2023-06-20
EXC,2023-06-07,2023-06-20
AMGN,2023-06-07,2023-06-20
DDOG,2023-06-07,2023-06-20
CSGP,2023-06-07,2023-06-20
GEHC,2023-06-07,2023-06-20
SGEN,2023-06-07,2023-06-20
CRWD,2023-06-07,2023-06-20
ADP,2023-06-07,2023-06-20
CSCO,2023-06-07,2023-06-20
AZN,2023-06-07,2023-06-20
ADI,2023-06-07,2023-06-20
ILMN,2023-06-07,2023-06-20
MRNA,2023-06-07,2023-06-20
ATVI,2023-06-07,2023-06-20
ROST,2023-06-07,2023-06-20
META,2023-06-07,2023-06-20
BIIB,2023-06-07,2023-06-20
FANG,2023-06-07,2023-06-20
IDXX,2023-06-07,2023-06-20
MELI,2023-06-07,2023-06-20
INTC,2023-06-07,2023-06-20
MRVL,2023-06-07,2023-06-20
NFLX,2023-06-07,2023-06-20
JD,2023-06-07,2023-06-20
GOOGL,2023-06-07,2023-06-20
HON,2023-06-07,2023-06-20
VRTX,2023-06-07,2023-06-20
RIVN,2023-06-07,2023-06-20
ZM,2023-06-07,2023-06-20
MDLZ,2023-06-07,2023-06-20
KLAC,2023-06-07,2023-06-20
WBD,2023-06-07,2023-06-20
MCHP,2023-06-07,2023-06-20
ABNB,2023-06-07,2023-06-20
PDD,2023-06-07,2023-06-20
WDAY,2023-06-07,2023-06-20
PEP,2023-06-07,2023-06-20
BKNG,2023-06-07,2023-06-20
MSFT,2023-06-07,2023-06-20
CTAS,2023-06-07,2023-06-20
LRCX,2023-06-07,2023-06-20
AAPL,2023-06-07,2023-06-20
AVGO,2023-06-07,2023-06-20
LCID,2023-06-07,2023-06-20
MNST,2023-06-07,2023-06-20
PAYX,2023-06-07,2023-06-20
TXN,2023-06-07,2023-06-20
FTNT,2023-06-07,2023-06-20
CHTR,2023-06-07,2023-06-20
EA,2023-06-07,2023-06-20
GILD,2023-06-07,2023-06-20
TSLA,2023-06-07,2023-06-20
NXPI,2023-06-07,2023-06-20
ANSS,2023-06-07,2023-06-20
QCOM,2023-06-07,2023-06-20
LULU,2023-06-07,2023-06-20
SNPS,2023-06-07,2023-06-20
EBAY,2023-06-07,2023-06-20
ODFL,2023-06-07,2023-06-20
KDP,2023-06-07,2023-06-20
KHC,2023-06-07,2023-06-20
COST,2023-06-07,2023-06-20
ENPH,2023-06-07,2023-06-20
ADSK,2023-06-07,2023-06-20
WBA,2023-06-07,2023-06-20
AMZN,2023-06-07,2023-06-20
PYPL,2023-06-07,2023-06-20
BKR,2023-06-07,2023-06-20
AMAT,2023-06-07,2023-06-20
CPRT,2023-06-07,2023-06-20
XEL,2023-06-07,2023-06-20
NVDA,2023-06-07,2023-06-20
CEG,2023-06-07,2023-06-20
ORLY,2023-06-07,2023-06-20
TMUS,2023-06-07,2023-06-20
CMCSA,2023-06-07,2023-06-20
PCAR,2023-06-07,2023-06-20
ADBE,2023-06-07,2023-06-20
AEP,2023-06-07,2023-06-20
MU,2023-06-07,2023-06-20
ASML,2023-06-07,2023-06-20
INTU,2023-06-07,2023-06-20
SIRI,2023-06-07,2023-06-20
PANW,2023-06-07,2023-06-20
ALGN,2023-06-07,2023-06-20
GOOG,2023-06-07,2023-06-20
DLTR,2023-06-07,2023-06-20
CTSH,2023-06-07,2023-06-20
SBUX,2023-06-07,2023-06-20
GFS,2022-12-19,2023-06-07
CSX,2022-12-19,2023-06-07
VRSK,2022-12-19,2023-06-07
CDNS,2022-12-19,2023-06-07
MAR,2022-12-19,2023-06-07
DXCM,2022-12-19,2023-06-07
AMD,2022-12-19,2023-06-07
ISRG,2022-12-19,2023-06-07
FAST,2022-12-19,2023-06-07
ZS,2022-12-19,2023-06-07
TEAM,2022-12-19,2023-06-07
REGN,2022-12-19,2023-06-07
EXC,2022-12-19,2023-06-07
AMGN,2022-12-19,2023-06-07
DDOG,2022-12-19,2023-06-07
CSGP,2022-12-19,2023-06-07
GEHC,2022-12-19,2023-06-07
SGEN,2022-12-19,2023-06-07
CRWD,2022-12-19,2023-06-07
ADP,2022-12-19,2023-06-07
CSCO,2022-12-19,2023-06-07
AZN,2022-12-19,2023-06-07
ADI,2022-12-19,2023-06-07
ILMN,2022-12-19,2023-06-07
MRNA,2022-12-19,2023-06-07
ATVI,2022-12-19,2023-06-07
ROST,2022-12-19,2023-06-07
META,2022-12-19,2023-06-07
BIIB,2022-12-19,2023-06-07
FANG,2022-12-19,2023-06-07
IDXX,2022-12-19,2023-06-07
MELI,2022-12-19,2023-06-07
INTC,2022-12-19,2023-06-07
MRVL,2022-12-19,2023-06-07
NFLX,2022-12-19,2023-06-07
JD,2022-12-19,2023-06-07
GOOGL,2022-12-19,2023-06-07
HON,2022-12-19,2023-06-07
VRTX,2022-12-19,2023-06-07
RIVN,2022-12-19,2023-06-07
ZM,2022-12-19,2023-06-07
MDLZ,2022-12-19,2023-06-07
KLAC,2022-12-19,2023-06-07
WBD,2022-12-19,2023-06-07
MCHP,2022-12-19,2023-06-07
ABNB,2022-12-19,2023-06-07
PDD,2022-12-19,2023-06-07
WDAY,2022-12-19,2023-06-07
PEP,2022-12-19,2023-06-07
BKNG,2022-12-19,2023-06-07
MSFT,2022-12-19,2023-06-07
CTAS,2022-12-19,2023-06-07
LRCX,2022-12-19,2023-06-07
AAPL,2022-12-19,2023-06-07
AVGO,2022-12-19,2023-06-07
LCID,2022-12-19,2023-06-07
MNST,2022-12-19,2023-06-07
PAYX,2022-12-19,2023-06-07
TXN,2022-12-19,2023-06-07
FTNT,2022-12-19,2023-06-07
CHTR,2022-12-19,2023-06-07
EA,2022-12-19,2023-06-07
GILD,2022-12-19,2023-06-07
TSLA,2022-12-19,2023-06-07
NXPI,2022-12-19,2023-06-07
ANSS,2022-12-19,2023-06-07
QCOM,2022-12-19,2023-06-07
LULU,2022-12-19,2023-06-07
SNPS,2022-12-19,2023-06-07
EBAY,2022-12-19,2023-06-07
ODFL,2022-12-19,2023-06-07
KDP,2022-12-19,2023-06-07
KHC,2022-12-19,2023-06-07
COST,2022-12-19,2023-06-07
ENPH,2022-12-19,2023-06-07
ADSK,2022-12-19,2023-06-07
FISV,2022-12-19,2023-06-07
WBA,2022-12-19,2023-06-07
AMZN,2022-12-19,2023-06-07
PYPL,2022-12-19,2023-06-07
BKR,2022-12-19,2023-06-07
AMAT,2022-12-19,2023-06-07
CPRT,2022-12-19,2023-06-07
XEL,2022-12-19,2023-06-07
NVDA,2022-12-19,2023-06-07
CEG,2022-12-19,2023-06-07
ORLY,2022-12-19,2023-06-07
TMUS,2022-12-19,2023-06-07
CMCSA,2022-12-19,2023-06-07
PCAR,2022-12-19,2023-06-07
ADBE,2022-12-19,2023-06-07
AEP,2022-12-19,2023-06-07
MU,2022-12-19,2023-06-07
ASML,2022-12-19,2023-06-07
INTU,2022-12-19,2023-06-07
SIRI,2022-12-19,2023-06-07
PANW,2022-12-19,2023-06-07
ALGN,2022-12-19,2023-06-07
GOOG,2022-12-19,2023-06-07
DLTR,2022-12-19,2023-06-07
CTSH,2022-12-19,2023-06-07
SBUX,2022-12-19,2023-06-07
CSX,2022-11-21,2022-12-19
VRSK,2022-11-21,2022-12-19
CDNS,2022-11-21,2022-12-19
MAR,2022-11-21,2022-12-19
DXCM,2022-11-21,2022-12-19
AMD,2022-11-21,2022-12-19
ISRG,2022-11-21,2022-12-19
FAST,2022-11-21,2022-12-19
ZS,2022-11-21,2022-12-19
TEAM,2022-11-21,2022-12-19
REGN,2022-11-21,2022-12-19
EXC,2022-11-21,2022-12-19
AMGN,2022-11-21,2022-12-19
DDOG,2022-11-21,2022-12-19
GEHC,2022-11-21,2022-12-19
SGEN,2022-11-21,2022-12-19
CRWD,2022-11-21,2022-12-19
ADP,2022-11-21,2022-12-19
CSCO,2022-11-21,2022-12-19
AZN,2022-11-21,2022-12-19
ADI,2022-11-21,2022-12-19
ILMN,2022-11-21,2022-12-19
MRNA,2022-11-21,2022-12-19
ATVI,2022-11-21,2022-12-19
BIDU,2022-11-21,2022-12-19
ROST,2022-11-21,2022-12-19
META,2022-11-21,2022-12-19
BIIB,2022-11-21,2022-12-19
IDXX,2022-11-21,2022-12-19
DOCU,2022-11-21,2022-12-19
MELI,2022-11-21,2022-12-19
INTC,2022-11-21,2022-12-19
MRVL,2022-11-21,2022-12-19
NFLX,2022-11-21,2022-12-19
JD,2022-11-21,2022-12-19
GOOGL,2022-11-21,2022-12-19
HON,2022-11-21,2022-12-19
VRTX,2022-11-21,2022-12-19
ZM,2022-11-21,2022-12-19
MDLZ,2022-11-21,2022-12-19
KLAC,2022-11-21,2022-12-19
WBD,2022-11-21,2022-12-19
MCHP,2022-11-21,2022-12-19
ABNB,2022-11-21,2022-12-19
SWKS,2022-11-21,2022-12-19
PDD,2022-11-21,2022-12-19
WDAY,2022-11-21,2022-12-19
PEP,2022-11-21,2022-12-19
BKNG,2022-11-21,2022-12-19
MSFT,2022-11-21,2022-12-19
CTAS,2022-11-21,2022-12-19
LRCX,2022-11-21,2022-12-19
AAPL,2022-11-21,2022-12-19
AVGO,2022-11-21,2022-12-19
NTES,2022-11-21,2022-12-19
LCID,2022-11-21,2022-12-19
SPLK,2022-11-21,2022-12-19
MNST,2022-11-21,2022-12-19
PAYX,2022-11-21,2022-12-19
TXN,2022-11-21,2022-12-19
FTNT,2022-11-21,2022-12-19
CHTR,2022-11-21,2022-12-19
EA,2022-11-21,2022-12-19
GILD,2022-11-21,2022-12-19
TSLA,2022-11-21,2022-12-19
NXPI,2022-11-21,2022-12-19
ANSS,2022-11-21,2022-12-19
QCOM,2022-11-21,2022-12-19
LULU,2022-11-21,2022-12-19
SNPS,2022-11-21,2022-12-19
EBAY,2022-11-21,2022-12-19
ODFL,2022-11-21,2022-12-19
KDP,2022-11-21,2022-12-19
KHC,2022-11-21,2022-12-19
COST,2022-11-21,2022-12-19
ENPH,2022-11-21,2022-12-19
ADSK,2022-11-21,2022-12-19
FISV,2022-11-21,2022-12-19
WBA,2022-11-21,2022-12-19
AMZN,2022-11-21,2022-12-19
PYPL,2022-11-21,2022-12-19
AMAT,2022-11-21,2022-12-19
CPRT,2022-11-21,2022-12-19
XEL,2022-11-21,2022-12-19
NVDA,2022-11-21,2022-12-19
MTCH,2022-11-21,2022-12-19
CEG,2022-11-21,2022-12-19
ORLY,2022-11-21,2022-12-19
TMUS,2022-11-21,2022-12-19
CMCSA,2022-11-21,2022-12-19
PCAR,2022-11-21,2022-12-19
ADBE,2022-11-21,2022-12-19
AEP,2022-11-21,2022-12-19
MU,2022-11-21,2022-12-19
ASML,2022-11-21,2022-12-19
INTU,2022-11-21,2022-12-19
SIRI,2022-11-21,2022-12-19
PANW,2022-11-21,2022-12-19
ALGN,2022-11-21,2022-12-19
GOOG,2022-11-21,2022-12-19
DLTR,2022-11-21,2022-12-19
CTSH,2022-11-21,2022-12-19
SBUX,2022-11-21,2022-12-19
CSX,2022-02-22,2022-11-21
VRSK,2022-02-22,2022-11-21
CDNS,2022-02-22,2022-11-21
MAR,2022-02-22,2022-11-21
DXCM,2022-02-22,2022-11-21
AMD,2022-02-22,2022-11-21
ISRG,2022-02-22,2022-11-21
FAST,2022-02-22,2022-11-21
ZS,2022-02-22,2022-11-21
TEAM,2022-02-22,2022-11-21
REGN,2022-02-22,2022-11-21
EXC,2022-02-22,2022-11-21
AMGN,2022-02-22,2022-11-21
DDOG,2022-02-22,2022-11-21
GEHC,2022-02-22,2022-11-21
SGEN,2022-02-22,2022-11-21
CRWD,2022-02-22,2022-11-21
ADP,2022-02-22,2022-11-21
CSCO,2022-02-22,2022-11-21
AZN,2022-02-22,2022-11-21
ADI,2022-02-22,2022-11-21
ILMN,2022-02-22,2022-11-21
MRNA,2022-02-22,2022-11-21
BIDU,2022-02-22,2022-11-21
ATVI,2022-02-22,2022-11-21
ROST,2022-02-22,2022-11-21
META,2022-02-22,2022-11-21
BIIB,2022-02-22,2022-11-21
IDXX,2022-02-22,2022-11-21
DOCU,2022-02-22,2022-11-21
MELI,2022-02-22,2022-11-21
INTC,2022-02-22,2022-11-21
MRVL,2022-02-22,2022-11-21
NFLX,2022-02-22,2022-11-21
JD,2022-02-22,2022-11-21
GOOGL,2022-02-22,2022-11-21
HON,2022-02-22,2022-11-21
VRTX,2022-02-22,2022-11-21
ZM,2022-02-22,2022-11-21
MDLZ,2022-02-22,2022-11-21
KLAC,2022-02-22,2022-11-21
WBD,2022-02-22,2022-11-21
MCHP,2022-02-22,2022-11-21
ABNB,2022-02-22,2022-11-21
SWKS,2022-02-22,2022-11-21
PDD,2022-02-22,2022-11-21
WDAY,2022-02-22,2022-11-21
PEP,2022-02-22,2022-11-21
BKNG,2022-02-22,2022-11-21
MSFT,2022-02-22,2022-11-21
CTAS,2022-02-22,2022-11-21
LRCX,2022-02-22,2022-11-21
AAPL,2022-02-22,2022-11-21
AVGO,2022-02-22,2022-11-21
NTES,2022-02-22,2022-11-21
LCID,2022-02-22,2022-11-21
SPLK,2022-02-22,2022-11-21
MNST,2022-02-22,2022-11-21
PAYX,2022-02-22,2022-11-21
TXN,2022-02-22,2022-11-21
FTNT,2022-02-22,2022-11-21
CHTR,2022-02-22,2022-11-21
EA,2022-02-22,2022-11-21
GILD,2022-02-22,2022-11-21
TSLA,2022-02-22,2022-11-21
NXPI,2022-02-22,2022-11-21
ANSS,2022-02-22,2022-11-21
QCOM,2022-02-22,2022-11-21
LULU,2022-02-22,2022-11-21
SNPS,2022-02-22,2022-11-21
EBAY,2022-02-22,2022-11-21
ODFL,2022-02-22,2022-11-21
KDP,2022-02-22,2022-11-21
KHC,2022-02-22,2022-11-21
COST,2022-02-22,2022-11-21
ADSK,2022-02-22,2022-11-21
FISV,2022-02-22,2022-11-21
WBA,2022-02-22,2022-11-21
AMZN,2022-02-22,2022-11-21
PYPL,2022-02-22,2022-11-21
OKTA,2022-02-22,2022-11-21
AMAT,2022-02-22,2022-11-21
CPRT,2022-02-22,2022-11-21
XEL,2022-02-22,2022-11-21
NVDA,2022-02-22,2022-11-21
MTCH,2022-02-22,2022-11-21
CEG,2022-02-22,2022-11-21
ORLY,2022-02-22,2022-11-21
TMUS,2022-02-22,2022-11-21
CMCSA,2022-02-22,2022-11-21
PCAR,2022-02-22,2022-11-21
ADBE,2022-02-22,2022-11-21
AEP,2022-02-22,2022-11-21
MU,2022-02-22,2022-11-21
ASML,2022-02-22,2022-11-21
INTU,2022-02-22,2022-11-21
SIRI,2022-02-22,2022-11-21
PANW,2022-02-22,2022-11-21
ALGN,2022-02-22,2022-11-21
GOOG,2022-02-22,2022-11-21
DLTR,2022-02-22,2022-11-21
CTSH,2022-02-22,2022-11-21
SBUX,2022-02-22,2022-11-21
