Date,RFMD
2012-11-19,4.04
2012-11-16,3.91
2012-11-15,3.84
2012-11-14,4.0
2012-11-13,4.12
2012-11-12,4.12
2012-11-09,4.05
2012-11-08,4.01
2012-11-07,4.09
2012-11-06,4.27
2012-11-05,4.42
2012-11-02,4.34
2012-11-01,4.52
2012-10-31,4.41
2012-10-26,4.37
2012-10-25,4.28
2012-10-24,4.36
2012-10-23,3.93
2012-10-22,3.8
2012-10-19,3.65
2012-10-18,3.62
2012-10-17,3.68
2012-10-16,3.67
2012-10-15,3.68
2012-10-12,3.56
2012-10-11,3.67
2012-10-10,3.67
2012-10-09,3.74
2012-10-08,3.78
2012-10-05,3.89
2012-10-04,3.87
2012-10-03,3.86
2012-10-02,3.85
2012-10-01,3.85
2012-09-28,3.94
2012-09-27,4.06
2012-09-26,4.05
2012-09-25,4.05
2012-09-24,4.01
2012-09-21,4.2
2012-09-20,4.13
2012-09-19,4.28
2012-09-18,4.29
2012-09-17,4.34
2012-09-14,4.3
2012-09-13,4.07
2012-09-12,4.15
2012-09-11,4.13
2012-09-10,3.79
2012-09-07,3.84
2012-09-06,3.88
2012-09-05,3.73
2012-09-04,3.83
2012-08-31,3.75
2012-08-30,3.7
2012-08-29,3.76
2012-08-28,3.73
2012-08-27,3.64
2012-08-24,3.76
2012-08-23,3.79
2012-08-22,3.93
2012-08-21,3.85
2012-08-20,3.94
2012-08-17,3.91
2012-08-16,3.77
2012-08-15,3.77
2012-08-14,3.71
2012-08-13,3.81
2012-08-10,3.73
2012-08-09,3.67
2012-08-08,3.64
2012-08-07,3.69
2012-08-06,3.71
2012-08-03,3.72
2012-08-02,3.59
2012-08-01,3.66
2012-07-31,3.88
2012-07-30,3.61
2012-07-27,3.75
2012-07-26,3.6
2012-07-25,3.58
2012-07-24,4.29
2012-07-23,4.2
2012-07-20,4.32
2012-07-19,4.39
2012-07-18,4.18
2012-07-17,3.97
2012-07-16,4.03
2012-07-13,4.11
2012-07-12,4.02
2012-07-11,4.15
2012-07-10,4.11
2012-07-09,4.14
2012-07-06,4.21
2012-07-05,4.28
2012-07-03,4.33
2012-07-02,4.25
2012-06-29,4.25
2012-06-28,4.12
2012-06-27,4.11
2012-06-26,3.94
2012-06-25,3.92
2012-06-22,4.01
2012-06-21,3.96
2012-06-20,4.24
2012-06-19,4.21
2012-06-18,4.23
2012-06-15,4.15
2012-06-14,4.11
2012-06-13,4.31
2012-06-12,4.34
2012-06-11,4.21
2012-06-08,4.32
2012-06-07,4.22
2012-06-06,4.14
2012-06-05,4.03
2012-06-04,3.56
2012-06-01,3.52
2012-05-31,3.77
2012-05-30,3.71
2012-05-29,3.98
2012-05-25,3.92
2012-05-24,3.74
2012-05-23,3.59
2012-05-22,3.61
2012-05-21,3.7
2012-05-18,3.58
2012-05-17,3.67
2012-05-16,3.8
2012-05-15,3.89
2012-05-14,3.94
2012-05-11,4.01
2012-05-10,3.97
2012-05-09,3.99
2012-05-08,4.12
2012-05-07,4.09
2012-05-04,4.12
2012-05-03,4.22
2012-05-02,4.4
2012-05-01,4.41
2012-04-30,4.33
2012-04-27,4.37
2012-04-26,4.32
2012-04-25,4.32
2012-04-24,3.97
2012-04-23,3.95
2012-04-20,4.08
2012-04-19,4.28
2012-04-18,4.45
2012-04-17,4.51
2012-04-16,4.38
2012-04-13,4.46
2012-04-12,4.48
2012-04-11,4.22
2012-04-10,4.35
2012-04-09,4.42
2012-04-05,4.57
2012-04-04,4.58
2012-04-03,4.74
2012-04-02,4.84
2012-03-30,4.98
2012-03-29,4.93
2012-03-28,4.89
2012-03-27,4.96
2012-03-26,4.98
2012-03-23,4.82
2012-03-22,4.79
2012-03-21,4.9
2012-03-20,4.89
2012-03-19,4.9
2012-03-16,4.79
2012-03-15,4.74
2012-03-14,4.63
2012-03-13,4.75
2012-03-12,4.6
2012-03-09,4.65
2012-03-08,4.68
2012-03-07,4.46
2012-03-06,4.46
2012-03-05,4.64
2012-03-02,4.66
2012-03-01,4.77
2012-02-29,4.77
2012-02-28,4.93
2012-02-27,4.96
2012-02-24,4.92
2012-02-23,4.94
2012-02-22,4.92
2012-02-21,4.98
2012-02-17,4.91
2012-02-16,5.07
2012-02-15,4.88
2012-02-14,5.03
2012-02-13,5.12
2012-02-10,5.11
2012-02-09,5.25
2012-02-08,5.33
2012-02-07,5.36
2012-02-06,5.23
2012-02-03,5.41
2012-02-02,5.1
2012-02-01,5.11
2012-01-31,4.99
2012-01-30,5.09
2012-01-27,5.09
2012-01-26,4.82
2012-01-25,4.92
2012-01-24,4.85
2012-01-23,5.09
2012-01-20,5.11
2012-01-19,4.95
2012-01-18,4.85
2012-01-17,4.68
2012-01-13,4.69
2012-01-12,4.76
2012-01-11,4.76
2012-01-10,4.59
2012-01-09,4.52
2012-01-06,4.54
2012-01-05,5.64
2012-01-04,5.47
2012-01-03,5.56
2011-12-30,5.4
2011-12-29,5.47
2011-12-28,5.37
2011-12-27,5.61
2011-12-23,5.46
2011-12-22,5.59
2011-12-21,5.4
2011-12-20,5.36
2011-12-19,5.0
2011-12-16,5.15
2011-12-15,5.13
2011-12-14,5.18
2011-12-13,5.19
2011-12-12,5.45
2011-12-09,5.62
2011-12-08,5.48
2011-12-07,5.79
2011-12-06,6.26
2011-12-05,6.39
2011-12-02,6.31
2011-12-01,6.18
2011-11-30,6.23
2011-11-29,5.6
2011-11-28,5.73
2011-11-25,5.63
2011-11-23,5.76
2011-11-22,6.12
2011-11-21,6.26
2011-11-18,6.58
2011-11-17,6.67
2011-11-16,7.01
2011-11-15,6.96
2011-11-14,6.9
2011-11-11,7.05
2011-11-10,6.9
2011-11-09,6.87
2011-11-08,7.32
2011-11-07,7.21
2011-11-04,7.28
2011-11-03,7.09
