TAP,Date
57.056640625,2019-04-29
57.33353042602539,2019-04-30
53.010520935058594,2019-05-01
53.519622802734375,2019-05-02
54.81474685668945,2019-05-03
54.466407775878906,2019-05-06
53.662540435791016,2019-05-07
52.85867691040039,2019-05-08
52.11732864379883,2019-05-09
52.376346588134766,2019-05-10
51.688594818115234,2019-05-13
52.179847717285156,2019-05-14
52.07266616821289,2019-05-15
52.28703308105469,2019-05-16
52.39421844482422,2019-05-17
51.85831069946289,2019-05-20
52.492462158203125,2019-05-21
52.92119598388672,2019-05-22
53.073036193847656,2019-05-23
52.447811126708984,2019-05-24
51.12589645385742,2019-05-28
49.53601837158203,2019-05-29
48.90186309814453,2019-05-30
49.47780990600586,2019-05-31
50.30575180053711,2019-06-03
52.17758560180664,2019-06-04
51.67362594604492,2019-06-05
51.93460464477539,2019-06-06
51.2686653137207,2019-06-07
49.261837005615234,2019-06-10
49.162841796875,2019-06-11
49.36082077026367,2019-06-12
49.594810485839844,2019-06-13
48.595890045166016,2019-06-14
48.289913177490234,2019-06-17
48.694881439208984,2019-06-18
49.18983459472656,2019-06-19
49.47780990600586,2019-06-20
49.873783111572266,2019-06-21
49.90977478027344,2019-06-24
49.85578918457031,2019-06-25
49.459815979003906,2019-06-26
49.79279327392578,2019-06-27
50.3957405090332,2019-06-28
50.67470932006836,2019-07-01
50.512733459472656,2019-07-02
51.16967010498047,2019-07-03
51.16067123413086,2019-07-05
50.80069351196289,2019-07-08
49.981781005859375,2019-07-09
50.278751373291016,2019-07-10
49.28883361816406,2019-07-11
48.9378662109375,2019-07-12
48.32592010498047,2019-07-15
49.036865234375,2019-07-16
48.85686492919922,2019-07-17
48.94685745239258,2019-07-18
49.12684631347656,2019-07-19
48.80287551879883,2019-07-22
50.66571807861328,2019-07-23
50.98068618774414,2019-07-24
50.998695373535156,2019-07-25
50.926692962646484,2019-07-26
50.854705810546875,2019-07-29
51.223663330078125,2019-07-30
48.58688735961914,2019-07-31
47.237003326416016,2019-08-01
47.01203536987305,2019-08-02
45.52714538574219,2019-08-05
46.067100524902344,2019-08-06
46.922027587890625,2019-08-07
47.44399642944336,2019-08-08
47.38099670410156,2019-08-09
46.8050422668457,2019-08-12
46.50807189941406,2019-08-13
45.30216979980469,2019-08-14
45.770137786865234,2019-08-15
46.688053131103516,2019-08-16
47.246002197265625,2019-08-19
46.94002914428711,2019-08-20
46.598060607910156,2019-08-21
46.517066955566406,2019-08-22
45.0591926574707,2019-08-23
45.50914764404297,2019-08-26
45.14917755126953,2019-08-27
46.03110885620117,2019-08-28
46.458831787109375,2019-08-29
46.740962982177734,2019-08-30
47.67832946777344,2019-09-03
48.35177230834961,2019-09-04
48.39727783203125,2019-09-05
48.615692138671875,2019-09-06
50.84535598754883,2019-09-09
51.50969696044922,2019-09-10
51.309486389160156,2019-09-11
51.19118118286133,2019-09-12
52.02843475341797,2019-09-13
52.37425994873047,2019-09-16
50.67244338989258,2019-09-17
50.089996337890625,2019-09-18
50.089996337890625,2019-09-19
51.20027160644531,2019-09-20
51.1547737121582,2019-09-23
50.827152252197266,2019-09-24
51.09107208251953,2019-09-25
51.955631256103516,2019-09-26
52.30145263671875,2019-09-27
52.328758239746094,2019-09-30
52.8838996887207,2019-10-01
51.61891174316406,2019-10-02
51.52790069580078,2019-10-03
51.53700256347656,2019-10-04
51.118370056152344,2019-10-07
50.363014221191406,2019-10-08
50.51772689819336,2019-10-09
50.70884323120117,2019-10-10
51.01826858520508,2019-10-11
51.18207550048828,2019-10-14
51.582496643066406,2019-10-15
51.254886627197266,2019-10-16
51.87372589111328,2019-10-17
51.855525970458984,2019-10-18
52.01934051513672,2019-10-21
53.96687698364258,2019-10-22
54.12158966064453,2019-10-23
53.60284423828125,2019-10-24
51.72811508178711,2019-10-25
49.66227722167969,2019-10-28
49.77146911621094,2019-10-29
48.23345947265625,2019-10-30
47.97865295410156,2019-10-31
47.960453033447266,2019-11-01
48.78860092163086,2019-11-04
49.48936080932617,2019-11-05
49.580360412597656,2019-11-06
48.697593688964844,2019-11-07
48.95241165161133,2019-11-08
48.51559066772461,2019-11-11
47.933143615722656,2019-11-12
47.27789306640625,2019-11-13
46.68635559082031,2019-11-14
47.796634674072266,2019-11-15
47.2869987487793,2019-11-18
47.6965217590332,2019-11-19
47.67832946777344,2019-11-20
47.823936462402344,2019-11-21
47.578216552734375,2019-11-22
47.70561981201172,2019-11-25
46.46794128417969,2019-11-26
46.16761779785156,2019-11-27
46.46214294433594,2019-11-29
46.63702392578125,2019-12-02
46.11239242553711,2019-12-03
47.06041717529297,2019-12-04
46.342491149902344,2019-12-05
46.99598693847656,2019-12-06
47.4285774230957,2019-12-09
47.13404083251953,2019-12-10
47.097225189208984,2019-12-11
47.27210998535156,2019-12-12
46.7658805847168,2019-12-13
47.84275817871094,2019-12-16
48.27535629272461,2019-12-17
48.73555374145508,2019-12-18
49.01167297363281,2019-12-19
49.57312774658203,2019-12-20
48.82759475708008,2019-12-23
49.039283752441406,2019-12-24
49.343017578125,2019-12-26
49.54551315307617,2019-12-27
49.49949264526367,2019-12-30
49.60993957519531,2019-12-31
49.278594970703125,2020-01-02
49.13133239746094,2020-01-03
50.281837463378906,2020-01-06
50.152984619140625,2020-01-07
50.64080047607422,2020-01-08
50.585567474365234,2020-01-09
50.68681716918945,2020-01-10
50.98134994506836,2020-01-13
51.49677658081055,2020-01-14
51.46915817260742,2020-01-15
52.067420959472656,2020-01-16
52.067420959472656,2020-01-17
52.00300216674805,2020-01-21
51.98459243774414,2020-01-22
52.22390365600586,2020-01-23
51.65324020385742,2020-01-24
51.48756790161133,2020-01-27
51.62562942504883,2020-01-28
51.81891632080078,2020-01-29
51.7820930480957,2020-01-30
51.156227111816406,2020-01-31
51.82811737060547,2020-02-03
52.380367279052734,2020-02-04
53.40201950073242,2020-02-05
52.923404693603516,2020-02-06
53.181121826171875,2020-02-07
53.23633575439453,2020-02-10
53.429630279541016,2020-02-11
51.08258819580078,2020-02-12
50.9537353515625,2020-02-13
50.85249328613281,2020-02-14
50.11616134643555,2020-02-18
50.511940002441406,2020-02-19
50.999752044677734,2020-02-20
50.889312744140625,2020-02-21
49.88605880737305,2020-02-24
47.32732391357422,2020-02-25
47.621864318847656,2020-02-26
46.02955627441406,2020-02-27
45.6613883972168,2020-02-28
47.38254928588867,2020-03-02
46.41613006591797,2020-03-03
48.30296325683594,2020-03-04
46.130794525146484,2020-03-05
44.72499465942383,2020-03-06
40.042091369628906,2020-03-09
40.861366271972656,2020-03-10
38.114933013916016,2020-03-11
35.75020217895508,2020-03-12
39.623146057128906,2020-03-13
38.96213912963867,2020-03-16
40.954471588134766,2020-03-17
37.658748626708984,2020-03-18
35.85261535644531,2020-03-19
34.39094543457031,2020-03-20
32.17518615722656,2020-03-23
34.88438415527344,2020-03-24
34.949546813964844,2020-03-25
35.95502471923828,2020-03-26
35.43367385864258,2020-03-27
37.51909637451172,2020-03-30
36.318111419677734,2020-03-31
35.2381591796875,2020-04-01
37.23979949951172,2020-04-02
38.18010330200195,2020-04-03
39.93968200683594,2020-04-06
40.526214599609375,2020-04-07
42.471988677978516,2020-04-08
44.1291618347168,2020-04-09
41.91339111328125,2020-04-13
43.35643768310547,2020-04-14
41.52238082885742,2020-04-15
40.19104766845703,2020-04-16
41.31755828857422,2020-04-17
40.48896789550781,2020-04-20
39.19488525390625,2020-04-21
39.19488525390625,2020-04-22
38.98075866699219,2020-04-23
40.06071472167969,2020-04-24
41.513065338134766,2020-04-27
42.30440902709961,2020-04-28
42.98403549194336,2020-04-29
38.18010330200195,2020-04-30
36.234317779541016,2020-05-01
35.554691314697266,2020-05-04
34.856449127197266,2020-05-05
35.079891204833984,2020-05-06
35.005409240722656,2020-05-07
36.20639419555664,2020-05-08
35.88054656982422,2020-05-11
35.08919906616211,2020-05-12
33.72063446044922,2020-05-13
33.785804748535156,2020-05-14
33.8416633605957,2020-05-15
35.88985824584961,2020-05-18
35.21954345703125,2020-05-19
35.275394439697266,2020-05-20
34.251304626464844,2020-05-21
34.28854751586914,2020-05-22
34.1954460144043,2020-05-26
36.997737884521484,2020-05-27
35.70365524291992,2020-05-28
35.34056854248047,2020-05-29
35.349884033203125,2020-06-01
36.606719970703125,2020-06-02
37.74253845214844,2020-06-03
39.39039611816406,2020-06-04
39.47418975830078,2020-06-05
40.377254486083984,2020-06-08
38.869041442871094,2020-06-09
36.77429962158203,2020-06-10
34.027862548828125,2020-06-11
35.424354553222656,2020-06-12
35.61986541748047,2020-06-15
37.05359649658203,2020-06-16
36.094669342041016,2020-06-17
36.38328552246094,2020-06-18
35.40573501586914,2020-06-19
35.331260681152344,2020-06-22
35.349884033203125,2020-06-23
33.981319427490234,2020-06-24
33.12480163574219,2020-06-25
32.054161071777344,2020-06-26
32.97583770751953,2020-06-29
31.988985061645508,2020-06-30
32.64067840576172,2020-07-01
32.90135955810547,2020-07-02
33.199283599853516,2020-07-06
32.26829147338867,2020-07-07
32.34276580810547,2020-07-08
30.95557975769043,2020-07-09
32.26829147338867,2020-07-10
31.951749801635742,2020-07-13
32.659305572509766,2020-07-14
33.30168914794922,2020-07-15
33.58098602294922,2020-07-16
33.59029769897461,2020-07-17
32.5848274230957,2020-07-20
33.37616729736328,2020-07-21
33.329612731933594,2020-07-22
34.027862548828125,2020-07-23
33.97201156616211,2020-07-24
33.65546798706055,2020-07-27
33.8137321472168,2020-07-28
34.1954460144043,2020-07-29
34.856449127197266,2020-07-30
34.93092727661133,2020-07-31
34.26992416381836,2020-08-03
34.21406555175781,2020-08-04
34.009246826171875,2020-08-05
34.046485900878906,2020-08-06
34.69818115234375,2020-08-07
35.28471374511719,2020-08-10
35.57331466674805,2020-08-11
35.77813720703125,2020-08-12
35.2009162902832,2020-08-13
35.079891204833984,2020-08-14
35.13574981689453,2020-08-17
35.15436935424805,2020-08-18
35.2381591796875,2020-08-19
34.59577178955078,2020-08-20
34.2606086730957,2020-08-21
35.39642333984375,2020-08-24
35.024024963378906,2020-08-25
34.91230773925781,2020-08-26
34.977481842041016,2020-08-27
35.275394439697266,2020-08-28
35.04265594482422,2020-08-31
34.45611572265625,2020-09-01
35.30332565307617,2020-09-02
35.3778076171875,2020-09-03
35.67572784423828,2020-09-04
35.15436935424805,2020-09-08
34.93092727661133,2020-09-09
33.14341735839844,2020-09-10
32.66861343383789,2020-09-11
32.59413528442383,2020-09-14
31.923818588256836,2020-09-15
32.17518615722656,2020-09-16
32.64067840576172,2020-09-17
31.94243812561035,2020-09-18
31.272123336791992,2020-09-21
31.4024600982666,2020-09-22
30.797317504882812,2020-09-23
30.769384384155273,2020-09-24
30.39698600769043,2020-09-25
31.262815475463867,2020-09-28
31.216259002685547,2020-09-29
31.244192123413086,2020-09-30
30.51801300048828,2020-10-01
31.69107437133789,2020-10-02
32.53826904296875,2020-10-05
32.51034164428711,2020-10-06
33.2178955078125,2020-10-07
34.2606086730957,2020-10-08
33.61823272705078,2020-10-09
33.189979553222656,2020-10-12
32.90135955810547,2020-10-13
32.95722198486328,2020-10-14
33.1154899597168,2020-10-15
32.95722198486328,2020-10-16
32.32415008544922,2020-10-19
32.30552673339844,2020-10-20
32.2031135559082,2020-10-21
32.8641242980957,2020-10-22
33.2178955078125,2020-10-23
32.47309875488281,2020-10-26
31.47694206237793,2020-10-27
30.639039993286133,2020-10-28
31.076614379882812,2020-10-29
32.826881408691406,2020-10-30
34.95885467529297,2020-11-02
36.010887145996094,2020-11-03
34.716800689697266,2020-11-04
35.610565185546875,2020-11-05
35.67572784423828,2020-11-06
38.31975173950195,2020-11-09
39.846588134765625,2020-11-10
39.44625473022461,2020-11-11
39.287986755371094,2020-11-12
41.0941162109375,2020-11-13
41.82029342651367,2020-11-16
42.01580047607422,2020-11-17
40.554134368896484,2020-11-18
41.001014709472656,2020-11-19
40.554134368896484,2020-11-20
41.08481216430664,2020-11-23
43.79400634765625,2020-11-24
