DHR,Date
0.10946984589099884,1979-09-07
0.10709049552679062,1979-09-10
0.10233084112405777,1979-09-11
0.10471021384000778,1979-09-12
0.10471021384000778,1979-09-13
0.10946984589099884,1979-09-14
0.10709049552679062,1979-09-17
0.10471021384000778,1979-09-18
0.10471021384000778,1979-09-19
0.10471021384000778,1979-09-20
0.10471021384000778,1979-09-21
0.10709049552679062,1979-09-24
0.10709049552679062,1979-09-25
0.10471021384000778,1979-09-26
0.10471021384000778,1979-09-27
0.10471021384000778,1979-09-28
0.10233084112405777,1979-10-01
0.10233084112405777,1979-10-02
0.10233084112405777,1979-10-03
0.10233084112405777,1979-10-04
0.10233084112405777,1979-10-05
0.09995146840810776,1979-10-08
0.09757117182016373,1979-10-09
0.08805195987224579,1979-10-10
0.09043224155902863,1979-10-11
