STCN,Date
150.31617736816406,2001-04-04
168.00042724609375,2001-04-05
141.4740447998047,2001-04-06
153.531494140625,2001-04-09
192.91915893554688,2001-04-10
208.99575805664062,2001-04-11
221.05319213867188,2001-04-12
201.7612762451172,2001-04-16
192.91915893554688,2001-04-17
220.24937438964844,2001-04-18
218.64170837402344,2001-04-19
238.7374725341797,2001-04-20
203.3689422607422,2001-04-23
200.9574432373047,2001-04-24
219.44554138183594,2001-04-25
225.8761749267578,2001-04-26
231.5029754638672,2001-04-27
240.34512329101562,2001-04-30
333.5893859863281,2001-05-01
467.8289489746094,2001-05-02
463.0059509277344,2001-05-03
499.9821472167969,2001-05-04
479.88641357421875,2001-05-07
478.2787170410156,2001-05-08
412.36468505859375,2001-05-09
413.97235107421875,2001-05-10
365.7425537109375,2001-05-11
325.55108642578125,2001-05-14
357.70428466796875,2001-05-15
396.2880859375,2001-05-16
414.77618408203125,2001-05-17
406.7378845214844,2001-05-18
440.4987487792969,2001-05-21
448.5370178222656,2001-05-22
416.38385009765625,2001-05-23
427.637451171875,2001-05-24
413.16851806640625,2001-05-25
386.6421203613281,2001-05-29
343.2353210449219,2001-05-30
337.6085205078125,2001-05-31
352.88128662109375,2001-06-01
352.07745361328125,2001-06-04
368.154052734375,2001-06-05
350.46978759765625,2001-06-06
360.1157531738281,2001-06-07
341.6276550292969,2001-06-08
325.55108642578125,2001-06-11
332.7855224609375,2001-06-12
258.0293884277344,2001-06-13
221.85704040527344,2001-06-14
241.14894104003906,2001-06-15
225.07235717773438,2001-06-18
229.8953094482422,2001-06-19
245.971923828125,2001-06-20
248.38340759277344,2001-06-21
234.71829223632812,2001-06-22
244.36427307128906,2001-06-25
236.32595825195312,2001-06-26
237.1298065185547,2001-06-27
233.9144744873047,2001-06-28
241.14894104003906,2001-06-29
233.1106414794922,2001-07-02
225.07235717773438,2001-07-03
208.99575805664062,2001-07-05
202.5651092529297,2001-07-06
202.5651092529297,2001-07-09
184.880859375,2001-07-10
183.273193359375,2001-07-11
208.19192504882812,2001-07-12
201.7612762451172,2001-07-13
191.31149291992188,2001-07-16
179.25404357910156,2001-07-17
178.45021057128906,2001-07-18
184.0770263671875,2001-07-19
183.273193359375,2001-07-20
175.23489379882812,2001-07-23
163.9812774658203,2001-07-24
175.23489379882812,2001-07-25
169.60809326171875,2001-07-26
165.5889434814453,2001-07-27
160.76596069335938,2001-07-30
162.37362670898438,2001-07-31
175.23489379882812,2001-08-01
191.31149291992188,2001-08-02
180.05787658691406,2001-08-03
172.8234100341797,2001-08-06
180.86170959472656,2001-08-07
168.00042724609375,2001-08-08
172.0195770263672,2001-08-09
167.19659423828125,2001-08-10
176.84255981445312,2001-08-13
172.0195770263672,2001-08-14
166.39276123046875,2001-08-15
171.21575927734375,2001-08-16
163.1774444580078,2001-08-17
168.80426025390625,2001-08-20
163.1774444580078,2001-08-21
168.00042724609375,2001-08-22
159.15830993652344,2001-08-23
152.7276611328125,2001-08-24
140.6702117919922,2001-08-27
139.0625457763672,2001-08-28
136.6510772705078,2001-08-29
133.4357452392578,2001-08-30
143.0817108154297,2001-08-31
143.0817108154297,2001-09-04
129.41659545898438,2001-09-05
121.37830352783203,2001-09-06
107.71319580078125,2001-09-07
108.51702117919922,2001-09-10
90.83277130126953,2001-09-17
97.2634048461914,2001-09-18
103.69404602050781,2001-09-19
98.8710708618164,2001-09-20
87.61744689941406,2001-09-21
94.85191345214844,2001-09-24
95.65574645996094,2001-09-25
80.38298034667969,2001-09-26
80.38298034667969,2001-09-27
80.38298034667969,2001-09-28
72.34468078613281,2001-10-01
73.95234680175781,2001-10-02
68.3255386352539,2001-10-03
65.11021423339844,2001-10-04
57.07191848754883,2001-10-05
51.445106506347656,2001-10-08
72.34468078613281,2001-10-09
90.83277130126953,2001-10-10
143.88552856445312,2001-10-11
134.2395782470703,2001-10-12
124.5936279296875,2001-10-15
133.4357452392578,2001-10-16
139.0625457763672,2001-10-17
133.4357452392578,2001-10-18
117.35914611816406,2001-10-19
127.8089370727539,2001-10-22
134.2395782470703,2001-10-23
138.25872802734375,2001-10-24
142.2778778076172,2001-10-25
138.25872802734375,2001-10-26
121.37830352783203,2001-10-29
108.51702117919922,2001-10-30
121.37830352783203,2001-10-31
124.5936279296875,2001-11-01
126.20128631591797,2001-11-02
139.8663787841797,2001-11-05
143.0817108154297,2001-11-06
165.5889434814453,2001-11-07
176.03872680664062,2001-11-08
177.64637756347656,2001-11-09
172.8234100341797,2001-11-12
184.880859375,2001-11-13
195.3306427001953,2001-11-14
197.7421417236328,2001-11-15
210.60342407226562,2001-11-16
245.1680908203125,2001-11-19
210.60342407226562,2001-11-20
184.880859375,2001-11-21
196.1344757080078,2001-11-23
200.15362548828125,2001-11-26
184.0770263671875,2001-11-27
147.10086059570312,2001-11-28
158.35447692871094,2001-11-29
168.00042724609375,2001-11-30
152.7276611328125,2001-12-03
165.5889434814453,2001-12-04
170.41192626953125,2001-12-05
163.9812774658203,2001-12-06
158.35447692871094,2001-12-07
159.96214294433594,2001-12-10
184.880859375,2001-12-11
167.19659423828125,2001-12-12
169.60809326171875,2001-12-13
158.35447692871094,2001-12-14
151.923828125,2001-12-17
137.4549102783203,2001-12-18
129.41659545898438,2001-12-19
121.37830352783203,2001-12-20
125.39745330810547,2001-12-21
126.20128631591797,2001-12-24
127.0051040649414,2001-12-26
131.82809448242188,2001-12-27
132.6319122314453,2001-12-28
131.02426147460938,2001-12-31
124.5936279296875,2002-01-02
129.41659545898438,2002-01-03
168.80426025390625,2002-01-04
172.0195770263672,2002-01-07
170.41192626953125,2002-01-08
161.56979370117188,2002-01-09
163.9812774658203,2002-01-10
164.7851104736328,2002-01-11
163.1774444580078,2002-01-14
160.76596069335938,2002-01-15
145.49319458007812,2002-01-16
151.1199951171875,2002-01-17
147.10086059570312,2002-01-18
143.88552856445312,2002-01-22
143.0817108154297,2002-01-23
144.68936157226562,2002-01-24
140.6702117919922,2002-01-25
139.0625457763672,2002-01-28
134.2395782470703,2002-01-29
133.4357452392578,2002-01-30
133.4357452392578,2002-01-31
130.22042846679688,2002-02-01
122.9859619140625,2002-02-04
114.14383697509766,2002-02-05
106.10552978515625,2002-02-06
102.89021301269531,2002-02-07
104.49787902832031,2002-02-08
131.02426147460938,2002-02-11
122.18213653564453,2002-02-12
121.37830352783203,2002-02-13
112.53617858886719,2002-02-14
114.14383697509766,2002-02-15
110.12468719482422,2002-02-19
113.34001159667969,2002-02-20
111.73234558105469,2002-02-21
108.51702117919922,2002-02-22
104.49787902832031,2002-02-25
106.90936279296875,2002-02-26
114.14383697509766,2002-02-27
118.16297912597656,2002-02-28
114.9476547241211,2002-03-01
124.5936279296875,2002-03-04
124.5936279296875,2002-03-05
134.2395782470703,2002-03-06
135.0434112548828,2002-03-07
136.6510772705078,2002-03-08
145.49319458007812,2002-03-11
136.6510772705078,2002-03-12
131.82809448242188,2002-03-13
126.20128631591797,2002-03-14
124.5936279296875,2002-03-15
124.5936279296875,2002-03-18
118.96681213378906,2002-03-19
113.34001159667969,2002-03-20
113.34001159667969,2002-03-21
109.32085418701172,2002-03-22
110.12468719482422,2002-03-25
110.92852020263672,2002-03-26
110.12468719482422,2002-03-27
108.51702117919922,2002-03-28
103.69404602050781,2002-04-01
100.47872161865234,2002-04-02
102.89021301269531,2002-04-03
103.69404602050781,2002-04-04
102.89021301269531,2002-04-05
104.49787902832031,2002-04-08
107.71319580078125,2002-04-09
104.49787902832031,2002-04-10
100.47872161865234,2002-04-11
98.8710708618164,2002-04-12
99.67489624023438,2002-04-15
110.92852020263672,2002-04-16
118.16297912597656,2002-04-17
118.96681213378906,2002-04-18
118.16297912597656,2002-04-19
111.73234558105469,2002-04-22
103.69404602050781,2002-04-23
106.10552978515625,2002-04-24
101.28255462646484,2002-04-25
99.67489624023438,2002-04-26
100.47872161865234,2002-04-29
102.89021301269531,2002-04-30
98.8710708618164,2002-05-01
99.67489624023438,2002-05-02
91.6365966796875,2002-05-03
77.16766357421875,2002-05-06
80.38298034667969,2002-05-07
90.83277130126953,2002-05-08
86.0097885131836,2002-05-09
81.18681335449219,2002-05-10
83.59829711914062,2002-05-13
89.22510528564453,2002-05-14
86.0097885131836,2002-05-15
87.61744689941406,2002-05-16
88.42127990722656,2002-05-17
84.40213012695312,2002-05-20
73.95234680175781,2002-05-21
74.75617218017578,2002-05-22
72.34468078613281,2002-05-23
70.73702239990234,2002-05-24
69.12936401367188,2002-05-28
64.30638122558594,2002-05-29
59.48340606689453,2002-05-30
63.5025520324707,2002-05-31
62.698726654052734,2002-06-03
61.091068267822266,2002-06-04
59.48340606689453,2002-06-05
58.67957305908203,2002-06-06
54.66042709350586,2002-06-07
