MMC,Date
1.1818063259124756,1973-10-30
1.191737413406372,1973-10-31
1.1818063259124756,1973-11-01
1.158633828163147,1973-11-02
1.158633828163147,1973-11-05
1.1453919410705566,1973-11-06
1.0924265384674072,1973-11-07
1.1122878789901733,1973-11-08
1.1652543544769287,1973-11-09
1.1288405656814575,1973-11-12
1.1255302429199219,1973-11-13
1.158633828163147,1973-11-14
1.1520131826400757,1973-11-15
1.1387711763381958,1973-11-16
1.079184889793396,1973-11-19
1.0262181758880615,1973-11-20
1.0593225955963135,1973-11-21
1.079184889793396,1973-11-23
1.0858054161071777,1973-11-26
1.0990463495254517,1973-11-27
1.132150411605835,1973-11-28
1.1387711763381958,1973-11-29
1.1387711763381958,1973-11-30
1.1387711763381958,1973-12-03
1.1453919410705566,1973-12-04
1.1387711763381958,1973-12-05
