SPY,Date
90.0902099609375,2000-02-16
89.62438201904297,2000-02-17
87.70025634765625,2000-02-18
87.47745513916016,2000-02-22
88.51042938232422,2000-02-23
86.72801971435547,2000-02-24
86.4140853881836,2000-02-25
88.22683715820312,2000-02-28
89.07752990722656,2000-02-29
89.72566986083984,2000-03-01
89.78643035888672,2000-03-02
91.467529296875,2000-03-03
90.57630920410156,2000-03-06
88.82431030273438,2000-03-07
88.71292877197266,2000-03-08
91.30548858642578,2000-03-09
90.8193130493164,2000-03-10
89.82691192626953,2000-03-13
88.5509033203125,2000-03-14
90.6168212890625,2000-03-15
94.84992980957031,2000-03-16
95.47677612304688,2000-03-17
94.98948669433594,2000-03-20
96.93878173828125,2000-03-21
97.52767181396484,2000-03-22
99.19276428222656,2000-03-23
99.7815933227539,2000-03-24
98.7256851196289,2000-03-27
98.15714263916016,2000-03-28
98.25869750976562,2000-03-29
96.61393737792969,2000-03-30
97.71041107177734,2000-03-31
98.27896881103516,2000-04-03
97.5479507446289,2000-04-04
96.93878173828125,2000-04-05
97.78147888183594,2000-04-06
98.40082550048828,2000-04-07
98.0150375366211,2000-04-10
97.73074340820312,2000-04-11
95.0503921508789,2000-04-12
93.73051452636719,2000-04-13
88.36986541748047,2000-04-14
91.45629119873047,2000-04-17
93.87267303466797,2000-04-18
92.99950408935547,2000-04-19
93.44625091552734,2000-04-20
92.43095397949219,2000-04-24
96.26873016357422,2000-04-25
95.1823959350586,2000-04-26
94.86766052246094,2000-04-27
94.27877807617188,2000-04-28
95.55801391601562,2000-05-01
93.6493148803711,2000-05-02
91.45629119873047,2000-05-03
92.14668273925781,2000-05-04
93.26348114013672,2000-05-05
92.56295776367188,2000-05-08
91.82183074951172,2000-05-09
89.75062561035156,2000-05-10
91.8014907836914,2000-05-11
92.79643249511719,2000-05-12
94.400634765625,2000-05-15
95.31436920166016,2000-05-16
94.31938171386719,2000-05-17
93.1619644165039,2000-05-18
91.70000457763672,2000-05-19
91.00955963134766,2000-05-22
89.66942596435547,2000-05-23
91.13141632080078,2000-05-24
89.56786346435547,2000-05-25
89.66942596435547,2000-05-26
92.59339141845703,2000-05-30
92.79643249511719,2000-05-31
94.42088317871094,2000-06-01
96.06568145751953,2000-06-02
95.59864807128906,2000-06-05
95.17222595214844,2000-06-06
95.8321762084961,2000-06-07
95.45648956298828,2000-06-08
95.25343322753906,2000-06-09
94.1366195678711,2000-06-12
95.9031982421875,2000-06-13
96.06568145751953,2000-06-14
96.26873016357422,2000-06-15
95.47769927978516,2000-06-16
96.69892120361328,2000-06-19
96.35292053222656,2000-06-20
96.31219482421875,2000-06-21
94.84675598144531,2000-06-22
94.0326156616211,2000-06-23
95.24362182617188,2000-06-26
94.54145050048828,2000-06-27
94.80606079101562,2000-06-28
93.9104995727539,2000-06-29
94.62287902832031,2000-06-30
95.92546081542969,2000-07-03
94.19544982910156,2000-07-05
94.92814636230469,2000-07-06
96.45468139648438,2000-07-07
96.29183197021484,2000-07-10
96.49537658691406,2000-07-11
97.12635803222656,2000-07-12
97.55372619628906,2000-07-13
98.51036071777344,2000-07-14
98.34756469726562,2000-07-17
97.54354858398438,2000-07-18
