STX,Date
6.743725299835205,2004-06-16
6.792418479919434,2004-06-17
6.82650089263916,2004-06-18
6.816765308380127,2004-06-21
6.78754997253418,2004-06-22
6.967707633972168,2004-06-23
6.831368923187256,2004-06-24
6.807025909423828,2004-06-25
6.724247932434082,2004-06-28
6.821632385253906,2004-06-29
7.026135444641113,2004-06-30
6.938490867614746,2004-07-01
6.9190168380737305,2004-07-02
6.6560821533203125,2004-07-06
6.709643363952637,2004-07-07
6.510007858276367,2004-07-08
6.592782497406006,2004-07-09
6.578177452087402,2004-07-12
6.485665321350098,2004-07-13
6.086397647857666,2004-07-14
6.1594319343566895,2004-07-15
6.18377685546875,2004-07-16
6.743725299835205,2004-07-19
6.96283483505249,2004-07-20
5.799118518829346,2004-07-21
5.808856964111328,2004-07-22
5.803983688354492,2004-07-23
5.618961811065674,2004-07-26
5.6725239753723145,2004-07-27
5.555661678314209,2004-07-28
5.638436794281006,2004-07-29
5.584879398345947,2004-07-30
5.565400123596191,2004-08-02
5.351159572601318,2004-08-03
5.424595355987549,2004-08-04
5.429491996765137,2004-08-05
5.28751277923584,2004-08-06
5.155323505401611,2004-08-09
5.356053352355957,2004-08-10
5.253242492675781,2004-08-11
5.047616481781006,2004-08-12
5.032928943634033,2004-08-13
5.23855447769165,2004-08-16
5.248346328735352,2004-08-17
5.453970432281494,2004-08-18
5.4980340003967285,2004-08-19
5.713449954986572,2004-08-20
5.571471214294434,2004-08-23
5.483347415924072,2004-08-24
5.522515296936035,2004-08-25
5.419702053070068,2004-08-26
5.409909725189209,2004-08-27
5.360951900482178,2004-08-30
5.3511576652526855,2004-08-31
5.630221843719482,2004-09-01
5.845638751983643,2004-09-02
5.811367034912109,2004-09-03
6.031682014465332,2004-09-07
6.100224018096924,2004-09-08
6.11001443862915,2004-09-09
6.501681804656982,2004-09-10
6.5457444190979,2004-09-13
6.638765335083008,2004-09-14
6.531056880950928,2004-09-15
6.663245677947998,2004-09-16
6.751368522644043,2004-09-17
6.868869304656982,2004-09-20
6.682829856872559,2004-09-21
6.462517738342285,2004-09-22
6.540849685668945,2004-09-23
6.374388694763184,2004-09-24
6.286265850067139,2004-09-27
6.4135565757751465,2004-09-28
6.589808940887451,2004-09-29
6.619182109832764,2004-09-30
6.795435428619385,2004-10-01
6.961891174316406,2004-10-04
6.95210075378418,2004-10-05
7.001057147979736,2004-10-06
6.854185581207275,2004-10-07
6.829705238342285,2004-10-08
6.878661632537842,2004-10-11
6.687723636627197,2004-10-12
6.687723636627197,2004-10-13
6.477202892303467,2004-10-14
6.477202892303467,2004-10-15
6.854185581207275,2004-10-18
6.9667887687683105,2004-10-19
6.712204933166504,2004-10-20
6.482100486755371,2004-10-21
6.315639972686768,2004-10-22
6.173661708831787,2004-10-25
6.173661708831787,2004-10-26
6.315639972686768,2004-10-27
6.149182319641113,2004-10-28
6.188347339630127,2004-10-29
6.217722415924072,2004-11-01
6.217722415924072,2004-11-02
6.217722415924072,2004-11-03
6.311184406280518,2004-11-04
6.542382717132568,2004-11-05
6.68011999130249,2004-11-08
6.724390029907227,2004-11-09
6.483353614807129,2004-11-10
6.719470024108887,2004-11-11
6.9801812171936035,2004-11-12
7.078563213348389,2004-11-15
6.886720180511475,2004-11-16
6.9801812171936035,2004-11-17
6.911314010620117,2004-11-18
6.832608699798584,2004-11-19
6.891639232635498,2004-11-22
6.9260735511779785,2004-11-23
7.216299057006836,2004-11-24
7.270411014556885,2004-11-26
7.211378574371338,2004-11-29
7.3687896728515625,2004-11-30
8.101734161376953,2004-12-01
8.303415298461914,2004-12-02
8.141085624694824,2004-12-03
8.362447738647461,2004-12-06
8.096816062927246,2004-12-07
8.362447738647461,2004-12-08
8.332931518554688,2004-12-09
8.214872360229492,2004-12-10
8.254225730895996,2004-12-13
8.26898193359375,2004-12-14
8.28865909576416,2004-12-15
8.24438762664795,2004-12-16
8.229631423950195,2004-12-17
8.013189315795898,2004-12-20
8.077136993408203,2004-12-21
8.126327514648438,2004-12-22
8.160765647888184,2004-12-23
8.175520896911621,2004-12-27
8.175520896911621,2004-12-28
8.332931518554688,2004-12-29
8.455911636352539,2004-12-30
8.495260238647461,2004-12-31
8.554285049438477,2005-01-03
8.396881103515625,2005-01-04
8.313251495361328,2005-01-05
8.26898193359375,2005-01-06
8.195196151733398,2005-01-07
8.455911636352539,2005-01-10
8.450986862182617,2005-01-11
8.598559379577637,2005-01-12
8.805160522460938,2005-01-13
8.765810012817383,2005-01-14
9.026520729064941,2005-01-18
8.470661163330078,2005-01-19
8.5346097946167,2005-01-20
8.5346097946167,2005-01-21
8.303415298461914,2005-01-24
8.357524871826172,2005-01-25
8.367363929748535,2005-01-26
8.480502128601074,2005-01-27
8.362447738647461,2005-01-28
8.32309341430664,2005-01-31
8.342765808105469,2005-02-01
8.411880493164062,2005-02-02
8.426692962646484,2005-02-03
8.727819442749023,2005-02-04
8.62908935546875,2005-02-07
8.550103187561035,2005-02-08
8.515546798706055,2005-02-09
8.515546798706055,2005-02-10
8.530354499816895,2005-02-11
8.421751976013184,2005-02-14
8.634021759033203,2005-02-15
8.564910888671875,2005-02-16
8.727819442749023,2005-02-17
8.663642883300781,2005-02-18
8.476052284240723,2005-02-22
8.268717765808105,2005-02-23
8.515546798706055,2005-02-24
8.737690925598145,2005-02-25
8.870980262756348,2005-02-28
8.895662307739258,2005-03-01
9.088189125061035,2005-03-02
9.073373794555664,2005-03-03
9.359694480895996,2005-03-04
9.29552173614502,2005-03-07
9.453493118286133,2005-03-08
9.478177070617676,2005-03-09
9.418933868408203,2005-03-10
9.117807388305664,2005-03-11
9.29552173614502,2005-03-14
9.162233352661133,2005-03-15
9.384378433227539,2005-03-16
9.483111381530762,2005-03-17
9.739809036254883,2005-03-18
9.789178848266602,2005-03-21
9.611458778381348,2005-03-22
9.606526374816895,2005-03-23
9.789178848266602,2005-03-24
9.413996696472168,2005-03-28
9.12274169921875,2005-03-29
9.339949607849121,2005-03-30
9.650952339172363,2005-03-31
9.576905250549316,2005-04-01
9.458428382873535,2005-04-04
9.320205688476562,2005-04-05
9.29552173614502,2005-04-06
9.478177070617676,2005-04-07
9.453493118286133,2005-04-08
9.330078125,2005-04-11
9.37450885772705,2005-04-12
9.142486572265625,2005-04-13
8.57972240447998,2005-04-14
8.179863929748535,2005-04-15
8.278592109680176,2005-04-18
8.559976577758789,2005-04-19
8.875917434692383,2005-04-20
9.325141906738281,2005-04-21
9.009202003479004,2005-04-22
9.157299041748047,2005-04-25
9.221470832824707,2005-04-26
9.05856704711914,2005-04-27
8.683394432067871,2005-04-28
8.678451538085938,2005-04-29
8.727819442749023,2005-05-02
8.698200225830078,2005-05-03
8.653570175170898,2005-05-04
8.494877815246582,2005-05-05
8.956071853637695,2005-05-06
8.946152687072754,2005-05-09
