ADM,Date
1.5454071760177612,1980-11-25
1.4951130151748657,1980-11-26
1.4631078243255615,1980-11-28
1.3808082342147827,1980-12-01
1.3350863456726074,1980-12-02
1.3396583795547485,1980-12-03
1.3579471111297607,1980-12-04
1.330513834953308,1980-12-05
1.2985087633132935,1980-12-08
1.3030810356140137,1980-12-09
1.2436418533325195,1980-12-10
1.2344974279403687,1980-12-11
1.2436418533325195,1980-12-12
1.2390692234039307,1980-12-15
1.2344974279403687,1980-12-16
1.284791350364685,1980-12-17
1.3442310094833374,1980-12-18
1.3122258186340332,1980-12-19
1.330513834953308,1980-12-22
1.3808082342147827,1980-12-23
1.3945245742797852,1980-12-24
1.385380506515503,1980-12-26
1.3945245742797852,1980-12-29
1.3625199794769287,1980-12-30
1.3579471111297607,1980-12-31
