PRDO,Date
4.597715377807617,2000-02-18
4.597715377807617,2000-02-22
4.597715377807617,2000-02-23
4.383155345916748,2000-02-24
4.56706428527832,2000-02-25
4.536413192749023,2000-02-28
4.597715377807617,2000-02-29
4.597715377807617,2000-03-01
4.842926979064941,2000-03-02
4.781624794006348,2000-03-03
4.6513566970825195,2000-03-06
4.66668176651001,2000-03-07
4.559401988983154,2000-03-08
4.597715377807617,2000-03-09
4.413806915283203,2000-03-10
4.321852684020996,2000-03-13
4.413806915283203,2000-03-14
4.356335163116455,2000-03-15
3.8161041736602783,2000-03-16
4.214572906494141,2000-03-17
4.25480318069458,2000-03-20
4.247139930725098,2000-03-21
4.306527137756348,2000-03-22
4.306527137756348,2000-03-23
4.291201591491699,2000-03-24
4.352504730224609,2000-03-27
4.306527137756348,2000-03-28
4.344841480255127,2000-03-29
4.283539295196533,2000-03-30
4.291201591491699,2000-03-31
4.337178707122803,2000-04-03
4.268213272094727,2000-04-04
4.2452239990234375,2000-04-05
4.383155345916748,2000-04-06
4.467447757720947,2000-04-07
4.444458484649658,2000-04-10
4.528750896453857,2000-04-11
4.229898452758789,2000-04-12
4.459784507751465,2000-04-13
4.214572906494141,2000-04-14
4.413806915283203,2000-04-17
4.214572906494141,2000-04-18
3.8467555046081543,2000-04-19
3.4329612255096436,2000-04-20
3.509589672088623,2000-04-24
4.045989990234375,2000-04-25
4.229898452758789,2000-04-26
4.659018516540527,2000-04-27
4.636030673980713,2000-04-28
4.597715377807617,2000-05-01
4.42913293838501,2000-05-02
4.199247360229492,2000-05-03
3.9310474395751953,2000-05-04
4.605379581451416,2000-05-05
4.536413192749023,2000-05-08
4.674344539642334,2000-05-09
4.6513566970825195,2000-05-10
4.8735785484313965,2000-05-11
4.8659162521362305,2000-05-12
4.8122758865356445,2000-05-15
4.798865795135498,2000-05-16
4.750973224639893,2000-05-17
4.8122758865356445,2000-05-18
4.904230117797852,2000-05-19
4.8735785484313965,2000-05-22
4.8122758865356445,2000-05-23
4.858253002166748,2000-05-24
4.674344539642334,2000-05-25
4.835264682769775,2000-05-26
4.858253002166748,2000-05-30
4.934881687164307,2000-05-31
5.0191731452941895,2000-06-01
5.103464603424072,2000-06-02
5.0804762840271,2000-06-05
5.302698612213135,2000-06-06
5.45595645904541,2000-06-07
5.272047519683838,2000-06-08
5.517259120941162,2000-06-09
5.4942708015441895,2000-06-12
5.5325846672058105,2000-06-13
5.509596347808838,2000-06-14
5.409979343414307,2000-06-15
5.45595645904541,2000-06-16
5.5019330978393555,2000-06-19
5.5019330978393555,2000-06-20
5.624538898468018,2000-06-21
5.624538898468018,2000-06-22
5.547910213470459,2000-06-23
5.885076522827148,2000-06-26
5.854424953460693,2000-06-27
5.885076522827148,2000-06-28
5.931053161621094,2000-06-29
5.9463791847229,2000-06-30
5.938716888427734,2000-07-03
6.007681846618652,2000-07-05
6.191590785980225,2000-07-06
6.605384349822998,2000-07-07
6.620710849761963,2000-07-10
6.377415180206299,2000-07-11
6.283545017242432,2000-07-12
6.513430595397949,2000-07-13
6.559407711029053,2000-07-14
6.467453956604004,2000-07-17
6.482779502868652,2000-07-18
