DG,Date
25.945457458496094,2010-05-05
25.390518188476562,2010-05-06
24.735519409179688,2010-05-07
25.217676162719727,2010-05-10
25.454200744628906,2010-05-11
26.709623336791992,2010-05-12
26.78240394592285,2010-05-13
26.627756118774414,2010-05-14
26.791507720947266,2010-05-17
26.645952224731445,2010-05-18
27.018932342529297,2010-05-19
26.4094181060791,2010-05-20
26.88247299194336,2010-05-21
27.30095863342285,2010-05-24
27.846792221069336,2010-05-25
27.69213104248047,2010-05-26
27.87407875061035,2010-05-27
27.50108528137207,2010-05-28
27.783105850219727,2010-06-01
28.529085159301758,2010-06-02
27.928659439086914,2010-06-03
27.328245162963867,2010-06-04
26.591365814208984,2010-06-07
27.13719367980957,2010-06-08
27.291852951049805,2010-06-09
27.273653030395508,2010-06-10
27.264558792114258,2010-06-11
27.491992950439453,2010-06-14
27.291852951049805,2010-06-15
27.564773559570312,2010-06-16
27.20088005065918,2010-06-17
27.42831039428711,2010-06-18
26.955251693725586,2010-06-21
26.282052993774414,2010-06-22
26.50038719177246,2010-06-23
26.50038719177246,2010-06-24
26.45490264892578,2010-06-25
26.30025291442871,2010-06-28
25.82718849182129,2010-06-29
25.063018798828125,2010-06-30
25.59065818786621,2010-07-01
25.48149299621582,2010-07-02
25.472394943237305,2010-07-06
25.426912307739258,2010-07-07
25.135791778564453,2010-07-08
25.59975814819336,2010-07-09
24.990236282348633,2010-07-12
25.19947624206543,2010-07-13
25.681629180908203,2010-07-14
27.109905242919922,2010-07-15
26.463998794555664,2010-07-16
26.627756118774414,2010-07-19
26.855182647705078,2010-07-20
26.30934715270996,2010-07-21
26.36393165588379,2010-07-22
26.718727111816406,2010-07-23
27.009838104248047,2010-07-26
26.709623336791992,2010-07-27
26.836986541748047,2010-07-28
26.127399444580078,2010-07-29
26.545879364013672,2010-07-30
26.846080780029297,2010-08-02
26.682334899902344,2010-08-03
27.382823944091797,2010-08-04
26.918865203857422,2010-08-05
26.78240394592285,2010-08-06
26.9825439453125,2010-08-09
26.700525283813477,2010-08-10
25.872678756713867,2010-08-11
26.382123947143555,2010-08-12
26.163789749145508,2010-08-13
26.45490264892578,2010-08-16
26.709623336791992,2010-08-17
26.736927032470703,2010-08-18
26.382123947143555,2010-08-19
26.78240394592285,2010-08-20
25.608858108520508,2010-08-23
25.4905948638916,2010-08-24
25.881772994995117,2010-08-25
25.92725944519043,2010-08-26
25.554269790649414,2010-08-27
24.90836524963379,2010-08-30
24.844682693481445,2010-08-31
25.4905948638916,2010-09-01
26.109209060668945,2010-09-02
25.499691009521484,2010-09-03
25.472394943237305,2010-09-07
25.181283950805664,2010-09-08
24.862876892089844,2010-09-09
24.972049713134766,2010-09-10
24.94474983215332,2010-09-13
24.926555633544922,2010-09-14
24.990236282348633,2010-09-15
25.181283950805664,2010-09-16
24.94474983215332,2010-09-17
25.29045295715332,2010-09-20
