EFX,Date
0.3191330134868622,1980-11-21
0.3191330134868622,1980-11-24
0.31573808193206787,1980-11-25
0.3123425841331482,1980-11-26
0.30555278062820435,1980-11-28
0.30894801020622253,1980-12-01
0.30555278062820435,1980-12-02
0.3004603981971741,1980-12-03
0.3004603981971741,1980-12-04
0.29876285791397095,1980-12-05
0.29706522822380066,1980-12-08
0.29706522822380066,1980-12-09
0.2953678071498871,1980-12-10
0.2851827144622803,1980-12-11
0.2783927917480469,1980-12-12
0.2885778546333313,1980-12-15
0.2783927917480469,1980-12-16
0.2699050009250641,1980-12-17
0.27669480443000793,1980-12-18
0.27160245180130005,1980-12-19
0.2749975621700287,1980-12-22
0.27160245180130005,1980-12-23
0.28348514437675476,1980-12-24
0.28348514437675476,1980-12-26
0.2800901234149933,1980-12-29
