TRIN,Date
9.80629825592041,2021-07-27
9.840182304382324,2021-07-28
9.887621879577637,2021-07-29
9.670756340026855,2021-07-30
9.826628684997559,2021-08-02
9.887621879577637,2021-08-03
9.941837310791016,2021-08-04
9.833405494689941,2021-08-05
10.334901809692383,2021-08-06
10.321348190307617,2021-08-09
10.206138610839844,2021-08-10
10.29423999786377,2021-08-11
10.165478706359863,2021-08-12
10.334901809692383,2021-08-13
10.165478706359863,2021-08-16
10.08415412902832,2021-08-17
10.043490409851074,2021-08-18
10.050270080566406,2021-08-19
10.070598602294922,2021-08-20
10.15870189666748,2021-08-23
10.287464141845703,2021-08-24
10.185808181762695,2021-08-25
10.24002456665039,2021-08-26
10.910945892333984,2021-08-27
10.81606674194336,2021-08-30
10.843175888061523,2021-08-31
11.046485900878906,2021-09-01
10.999045372009277,2021-09-02
10.978716850280762,2021-09-03
10.944829940795898,2021-09-07
10.788960456848145,2021-09-08
10.938053131103516,2021-09-09
10.788960456848145,2021-09-10
10.707636833190918,2021-09-13
11.066816329956055,2021-09-14
11.168469429016113,2021-09-15
11.046485900878906,2021-09-16
11.182024955749512,2021-09-17
11.019377708435059,2021-09-20
11.20913314819336,2021-09-21
11.148140907287598,2021-09-22
11.337895393371582,2021-09-23
11.20235538482666,2021-09-24
11.188802719116211,2021-09-27
10.707636833190918,2021-09-28
10.915282249450684,2021-09-29
11.136771202087402,2021-09-30
11.323653221130371,2021-10-01
11.2752046585083,2021-10-04
11.081398963928223,2021-10-05
11.05371379852295,2021-10-06
11.039870262145996,2021-10-07
11.05371379852295,2021-10-08
11.005261421203613,2021-10-11
11.067557334899902,2021-10-12
11.282124519348145,2021-10-13
11.074478149414062,2021-10-14
11.074478149414062,2021-10-15
10.936047554016113,2021-10-18
10.936047554016113,2021-10-19
10.929125785827637,2021-10-20
11.205987930297852,2021-10-21
11.05371379852295,2021-10-22
11.199066162109375,2021-10-25
11.039870262145996,2021-10-26
11.122928619384766,2021-10-27
11.2752046585083,2021-10-28
11.178299903869629,2021-10-29
11.351340293884277,2021-11-01
11.282124519348145,2021-11-02
11.309809684753418,2021-11-03
11.385948181152344,2021-11-04
11.93967056274414,2021-11-05
11.905065536499023,2021-11-08
11.905065536499023,2021-11-09
11.898144721984863,2021-11-10
11.95351505279541,2021-11-11
11.96735954284668,2021-11-12
11.94659423828125,2021-11-15
12.161162376403809,2021-11-16
12.008888244628906,2021-11-17
11.863533020019531,2021-11-18
11.870454788208008,2021-11-19
11.697417259216309,2021-11-22
11.628201484680176,2021-11-23
11.607437133789062,2021-11-24
11.565905570983887,2021-11-26
11.503615379333496,2021-11-29
11.469006538391113,2021-11-30
11.48284912109375,2021-12-01
11.41363525390625,2021-12-02
11.441320419311523,2021-12-03
11.282124519348145,2021-12-06
11.295967102050781,2021-12-07
11.538222312927246,2021-12-08
11.496692657470703,2021-12-09
11.558987617492676,2021-12-10
11.351340293884277,2021-12-13
11.295967102050781,2021-12-14
11.47592830657959,2021-12-15
11.41363525390625,2021-12-16
11.309809684753418,2021-12-17
11.441320419311523,2021-12-20
11.579751014709473,2021-12-21
11.870454788208008,2021-12-22
11.95351505279541,2021-12-23
12.112709999084473,2021-12-27
12.126553535461426,2021-12-28
12.216532707214355,2021-12-29
12.011630058288574,2021-12-30
12.421436309814453,2021-12-31
12.18826961517334,2022-01-03
12.31545352935791,2022-01-04
12.541555404663086,2022-01-05
12.456765174865723,2022-01-06
12.802983283996582,2022-01-07
12.407304763793945,2022-01-10
12.336647987365723,2022-01-11
12.739395141601562,2022-01-12
12.894837379455566,2022-01-13
12.513291358947754,2022-01-14
12.675801277160645,2022-01-18
12.541555404663086,2022-01-19
12.357847213745117,2022-01-20
12.287190437316895,2022-01-21
12.39317798614502,2022-01-24
12.506227493286133,2022-01-25
12.329584121704102,2022-01-26
12.336647987365723,2022-01-27
12.2377290725708,2022-01-28
12.265993118286133,2022-01-31
12.258928298950195,2022-02-01
12.47089672088623,2022-02-02
12.407304763793945,2022-02-03
12.357847213745117,2022-02-04
12.407304763793945,2022-02-07
12.202402114868164,2022-02-08
12.336647987365723,2022-02-09
12.35078239440918,2022-02-10
12.336647987365723,2022-02-11
12.329584121704102,2022-02-14
12.499160766601562,2022-02-15
12.506227493286133,2022-02-16
12.336647987365723,2022-02-17
12.442635536193848,2022-02-18
12.223599433898926,2022-02-22
12.082287788391113,2022-02-23
12.011630058288574,2022-02-24
12.329584121704102,2022-02-25
12.576882362365723,2022-02-28
12.640474319458008,2022-03-01
12.958428382873535,2022-03-02
12.810050010681152,2022-03-03
12.838312149047852,2022-03-04
12.492094993591309,2022-03-07
12.414373397827148,2022-03-08
12.364912033081055,2022-03-09
12.435568809509277,2022-03-10
12.421436309814453,2022-03-11
12.018696784973145,2022-03-14
12.223599433898926,2022-03-15
12.287190437316895,2022-03-16
12.35078239440918,2022-03-17
13.170398712158203,2022-03-18
13.255187034606934,2022-03-21
13.354107856750488,2022-03-22
13.460090637207031,2022-03-23
13.693255424499512,2022-03-24
13.940556526184082,2022-03-25
14.067737579345703,2022-03-28
14.209049224853516,2022-03-29
14.129143714904785,2022-03-30
14.02744197845459,2022-03-31
14.121879577636719,2022-04-01
13.77319049835205,2022-04-04
12.952320098876953,2022-04-05
13.126665115356445,2022-04-06
13.148456573486328,2022-04-07
13.221101760864258,2022-04-08
13.264686584472656,2022-04-11
13.25742244720459,2022-04-12
13.148456573486328,2022-04-13
13.250158309936523,2022-04-14
13.547995567321777,2022-04-18
13.533467292785645,2022-04-19
13.526204109191895,2022-04-20
13.322802543640137,2022-04-21
12.937790870666504,2022-04-22
13.090343475341797,2022-04-25
12.741653442382812,2022-04-26
12.618160247802734,2022-04-27
12.501931190490723,2022-04-28
12.211356163024902,2022-04-29
11.891727447509766,2022-05-02
12.2476806640625,2022-05-03
12.385701179504395,2022-05-04
12.233150482177734,2022-05-05
11.928049087524414,2022-05-06
11.310579299926758,2022-05-09
11.375959396362305,2022-05-10
11.259727478027344,2022-05-11
11.056327819824219,2022-05-12
11.114441871643066,2022-05-13
11.317843437194824,2022-05-16
11.492188453674316,2022-05-17
11.17255687713623,2022-05-18
10.95462703704834,2022-05-19
11.005476951599121,2022-05-20
10.990947723388672,2022-05-23
