CMI,Date
5.297389507293701,1999-04-05
5.473972797393799,1999-04-06
5.36802339553833,1999-04-07
5.279729843139648,1999-04-08
5.288561820983887,1999-04-09
5.394509315490723,1999-04-12
5.579919338226318,1999-04-13
6.003708839416504,1999-04-14
6.7806596755981445,1999-04-15
6.763000965118408,1999-04-16
6.939581871032715,1999-04-19
7.045527458190918,1999-04-20
7.080843448638916,1999-04-21
7.504637718200684,1999-04-22
7.539951801300049,1999-04-23
7.116167068481445,1999-04-26
7.213278293609619,1999-04-27
7.28391170501709,1999-04-28
7.566437244415283,1999-04-29
7.557610511779785,1999-04-30
7.566437244415283,1999-05-03
7.734194278717041,1999-05-04
7.663562297821045,1999-05-05
7.531123161315918,1999-05-06
7.495804309844971,1999-05-07
7.531123161315918,1999-05-10
7.725361347198486,1999-05-11
7.592927932739258,1999-05-12
7.478151798248291,1999-05-13
7.354543209075928,1999-05-14
7.1779656410217285,1999-05-17
7.160307884216309,1999-05-18
7.124990463256836,1999-05-19
7.23093843460083,1999-05-20
7.28391170501709,1999-05-21
7.045527458190918,1999-05-24
7.124990463256836,1999-05-25
7.292741298675537,1999-05-26
7.1453938484191895,1999-05-27
7.18977689743042,1999-05-28
7.358421325683594,1999-06-01
7.438309669494629,1999-06-02
7.376177787780762,1999-06-03
7.482693672180176,1999-06-04
7.464941024780273,1999-06-07
7.2208428382873535,1999-06-08
7.269661903381348,1999-06-09
7.429434776306152,1999-06-10
7.17202615737915,1999-06-11
7.3140435218811035,1999-06-14
7.331798553466797,1999-06-15
7.349550247192383,1999-06-16
7.642464637756348,1999-06-17
7.997515678405762,1999-06-18
8.112908363342285,1999-06-21
7.962008476257324,1999-06-22
7.953133583068848,1999-06-23
8.254925727844238,1999-06-24
8.22829818725586,1999-06-25
8.07740306854248,1999-06-28
8.104028701782227,1999-06-29
8.112908363342285,1999-06-30
7.846621990203857,1999-07-01
7.890998363494873,1999-07-02
7.873249530792236,1999-07-06
7.757858753204346,1999-07-07
8.041897773742676,1999-07-08
8.130657196044922,1999-07-09
8.104028701782227,1999-07-12
8.059649467468262,1999-07-13
8.08627700805664,1999-07-14
8.601102828979492,1999-07-15
8.73423957824707,1999-07-16
8.920647621154785,1999-07-19
9.018284797668457,1999-07-20
9.053791046142578,1999-07-21
9.160307884216309,1999-07-22
9.053791046142578,1999-07-23
9.080419540405273,1999-07-26
9.009411811828613,1999-07-27
9.195812225341797,1999-07-28
9.142553329467773,1999-07-29
9.186938285827637,1999-07-30
9.204689025878906,1999-08-02
9.213567733764648,1999-08-03
9.071547508239746,1999-08-04
8.725372314453125,1999-08-05
8.680989265441895,1999-08-06
8.663238525390625,1999-08-09
8.51233959197998,1999-08-10
8.485710144042969,1999-08-11
8.565598487854004,1999-08-12
8.521218299865723,1999-08-13
8.51233959197998,1999-08-16
8.601102828979492,1999-08-17
