AMCR,Date
6.1437554359436035,2016-02-01
6.1437554359436035,2016-02-02
6.1437554359436035,2016-02-03
6.1437554359436035,2016-02-04
6.1437554359436035,2016-02-05
6.1437554359436035,2016-02-08
6.1437554359436035,2016-02-09
6.1437554359436035,2016-02-10
6.1437554359436035,2016-02-11
6.1437554359436035,2016-02-12
6.1437554359436035,2016-02-16
6.1437554359436035,2016-02-17
6.1437554359436035,2016-02-18
6.1437554359436035,2016-02-19
6.1437554359436035,2016-02-22
6.283140182495117,2016-02-23
6.283140182495117,2016-02-24
6.283140182495117,2016-02-25
6.283140182495117,2016-02-26
6.283140182495117,2016-02-29
6.283140182495117,2016-03-01
6.283140182495117,2016-03-02
6.283140182495117,2016-03-03
6.283140182495117,2016-03-04
6.283140182495117,2016-03-07
6.283140182495117,2016-03-08
6.283140182495117,2016-03-09
7.561434745788574,2016-03-10
7.561434745788574,2016-03-11
7.561434745788574,2016-03-14
7.561434745788574,2016-03-15
7.561434745788574,2016-03-16
7.561434745788574,2016-03-17
7.561434745788574,2016-03-18
7.561434745788574,2016-03-21
7.561434745788574,2016-03-22
7.561434745788574,2016-03-23
7.561434745788574,2016-03-24
7.561434745788574,2016-03-28
7.561434745788574,2016-03-29
7.561434745788574,2016-03-30
7.561434745788574,2016-03-31
7.561434745788574,2016-04-01
7.561434745788574,2016-04-04
7.561434745788574,2016-04-05
7.561434745788574,2016-04-06
7.835869789123535,2016-04-07
7.835869789123535,2016-04-08
7.944203853607178,2016-04-11
7.944203853607178,2016-04-12
7.944203853607178,2016-04-13
7.944203853607178,2016-04-14
7.944203853607178,2016-04-15
7.944203853607178,2016-04-18
7.944203853607178,2016-04-19
7.944203853607178,2016-04-20
7.944203853607178,2016-04-21
7.944203853607178,2016-04-22
7.944203853607178,2016-04-25
7.944203853607178,2016-04-26
7.944203853607178,2016-04-27
7.944203853607178,2016-04-28
7.944203853607178,2016-04-29
7.944203853607178,2016-05-02
7.944203853607178,2016-05-03
8.493073463439941,2016-05-04
8.493073463439941,2016-05-05
8.493073463439941,2016-05-06
8.493073463439941,2016-05-09
8.493073463439941,2016-05-10
8.493073463439941,2016-05-11
8.493073463439941,2016-05-12
8.493073463439941,2016-05-13
8.493073463439941,2016-05-16
8.493073463439941,2016-05-17
8.493073463439941,2016-05-18
8.493073463439941,2016-05-19
8.493073463439941,2016-05-20
8.493073463439941,2016-05-23
8.493073463439941,2016-05-24
8.493073463439941,2016-05-25
8.493073463439941,2016-05-26
8.493073463439941,2016-05-27
8.493073463439941,2016-05-31
8.493073463439941,2016-06-01
8.493073463439941,2016-06-02
8.493073463439941,2016-06-03
8.493073463439941,2016-06-06
8.608625411987305,2016-06-07
8.608625411987305,2016-06-08
8.074196815490723,2016-06-09
8.074196815490723,2016-06-10
8.074196815490723,2016-06-13
8.074196815490723,2016-06-14
8.074196815490723,2016-06-15
8.074196815490723,2016-06-16
8.074196815490723,2016-06-17
8.074196815490723,2016-06-20
8.074196815490723,2016-06-21
8.074196815490723,2016-06-22
8.074196815490723,2016-06-23
8.074196815490723,2016-06-24
8.074196815490723,2016-06-27
8.074196815490723,2016-06-28
8.074196815490723,2016-06-29
8.074196815490723,2016-06-30
8.0164213180542,2016-07-01
8.0164213180542,2016-07-05
8.0164213180542,2016-07-06
8.0164213180542,2016-07-07
8.0164213180542,2016-07-08
8.0164213180542,2016-07-11
8.0164213180542,2016-07-12
8.0164213180542,2016-07-13
8.0164213180542,2016-07-14
8.0164213180542,2016-07-15
8.0164213180542,2016-07-18
8.0164213180542,2016-07-19
8.0164213180542,2016-07-20
8.0164213180542,2016-07-21
8.0164213180542,2016-07-22
8.0164213180542,2016-07-25
8.0164213180542,2016-07-26
8.0164213180542,2016-07-27
8.124749183654785,2016-07-28
8.124749183654785,2016-07-29
8.124749183654785,2016-08-01
8.124749183654785,2016-08-02
8.124749183654785,2016-08-03
8.124749183654785,2016-08-04
8.124749183654785,2016-08-05
8.124749183654785,2016-08-08
8.124749183654785,2016-08-09
8.124749183654785,2016-08-10
8.124749183654785,2016-08-11
8.124749183654785,2016-08-12
8.124749183654785,2016-08-15
8.124749183654785,2016-08-16
8.456963539123535,2016-08-17
8.456963539123535,2016-08-18
8.456963539123535,2016-08-19
8.456963539123535,2016-08-22
8.456963539123535,2016-08-23
8.456963539123535,2016-08-24
8.456963539123535,2016-08-25
8.456963539123535,2016-08-26
8.456963539123535,2016-08-29
8.456963539123535,2016-08-30
8.456963539123535,2016-08-31
8.456963539123535,2016-09-01
8.456963539123535,2016-09-02
8.618889808654785,2016-09-06
8.618889808654785,2016-09-07
8.618889808654785,2016-09-08
8.618889808654785,2016-09-09
8.618889808654785,2016-09-12
8.618889808654785,2016-09-13
8.618889808654785,2016-09-14
8.618889808654785,2016-09-15
8.618889808654785,2016-09-16
8.618889808654785,2016-09-19
8.618889808654785,2016-09-20
8.618889808654785,2016-09-21
8.618889808654785,2016-09-22
8.618889808654785,2016-09-23
8.618889808654785,2016-09-26
8.618889808654785,2016-09-27
8.618889808654785,2016-09-28
8.618889808654785,2016-09-29
8.618889808654785,2016-09-30
8.618889808654785,2016-10-03
8.618889808654785,2016-10-04
8.618889808654785,2016-10-05
8.618889808654785,2016-10-06
8.618889808654785,2016-10-07
8.618889808654785,2016-10-10
8.618889808654785,2016-10-11
8.618889808654785,2016-10-12
8.618889808654785,2016-10-13
8.618889808654785,2016-10-14
8.618889808654785,2016-10-17
8.618889808654785,2016-10-18
8.618889808654785,2016-10-19
8.618889808654785,2016-10-20
8.618889808654785,2016-10-21
8.618889808654785,2016-10-24
8.618889808654785,2016-10-25
8.618889808654785,2016-10-26
8.618889808654785,2016-10-27
8.618889808654785,2016-10-28
8.618889808654785,2016-10-31
8.618889808654785,2016-11-01
8.618889808654785,2016-11-02
8.618889808654785,2016-11-03
8.618889808654785,2016-11-04
8.618889808654785,2016-11-07
8.618889808654785,2016-11-08
8.618889808654785,2016-11-09
8.618889808654785,2016-11-10
8.618889808654785,2016-11-11
8.618889808654785,2016-11-14
8.618889808654785,2016-11-15
8.618889808654785,2016-11-16
8.618889808654785,2016-11-17
8.618889808654785,2016-11-18
8.618889808654785,2016-11-21
8.618889808654785,2016-11-22
8.618889808654785,2016-11-23
8.618889808654785,2016-11-25
8.618889808654785,2016-11-28
8.618889808654785,2016-11-29
8.618889808654785,2016-11-30
8.618889808654785,2016-12-01
8.618889808654785,2016-12-02
8.618889808654785,2016-12-05
8.618889808654785,2016-12-06
8.618889808654785,2016-12-07
8.618889808654785,2016-12-08
7.978546619415283,2016-12-09
7.978546619415283,2016-12-12
7.823980331420898,2016-12-13
7.823980331420898,2016-12-14
7.823980331420898,2016-12-15
7.823980331420898,2016-12-16
7.823980331420898,2016-12-19
7.823980331420898,2016-12-20
7.823980331420898,2016-12-21
7.823980331420898,2016-12-22
7.823980331420898,2016-12-23
7.823980331420898,2016-12-27
7.823980331420898,2016-12-28
7.823980331420898,2016-12-29
7.823980331420898,2016-12-30
7.823980331420898,2017-01-03
7.823980331420898,2017-01-04
7.823980331420898,2017-01-05
7.823980331420898,2017-01-06
7.823980331420898,2017-01-09
7.823980331420898,2017-01-10
7.823980331420898,2017-01-11
7.823980331420898,2017-01-12
7.823980331420898,2017-01-13
7.823980331420898,2017-01-17
7.823980331420898,2017-01-18
7.823980331420898,2017-01-19
7.823980331420898,2017-01-20
7.823980331420898,2017-01-23
7.823980331420898,2017-01-24
7.823980331420898,2017-01-25
7.823980331420898,2017-01-26
7.823980331420898,2017-01-27
7.823980331420898,2017-01-30
7.823980331420898,2017-01-31
7.823980331420898,2017-02-01
7.823980331420898,2017-02-02
7.823980331420898,2017-02-03
7.823980331420898,2017-02-06
7.823980331420898,2017-02-07
7.823980331420898,2017-02-08
7.823980331420898,2017-02-09
7.823980331420898,2017-02-10
7.823980331420898,2017-02-13
7.823980331420898,2017-02-14
7.823980331420898,2017-02-15
7.823980331420898,2017-02-16
7.823980331420898,2017-02-17
7.823980331420898,2017-02-21
7.823980331420898,2017-02-22
7.823980331420898,2017-02-23
7.97247838973999,2017-02-24
7.97247838973999,2017-02-27
7.97247838973999,2017-02-28
7.97247838973999,2017-03-01
7.97247838973999,2017-03-02
7.97247838973999,2017-03-03
7.97247838973999,2017-03-06
8.047478675842285,2017-03-07
8.047478675842285,2017-03-08
7.927478790283203,2017-03-09
7.927478790283203,2017-03-10
7.927478790283203,2017-03-13
7.927478790283203,2017-03-14
7.927478790283203,2017-03-15
8.174976348876953,2017-03-16
8.174976348876953,2017-03-17
8.174976348876953,2017-03-20
8.392477035522461,2017-03-21
8.392477035522461,2017-03-22
8.392477035522461,2017-03-23
8.392477035522461,2017-03-24
8.624978065490723,2017-03-27
8.624978065490723,2017-03-28
8.624978065490723,2017-03-29
8.66247844696045,2017-03-30
8.66247844696045,2017-03-31
8.66247844696045,2017-04-03
8.66247844696045,2017-04-04
8.66247844696045,2017-04-05
8.437478065490723,2017-04-06
8.437478065490723,2017-04-07
8.437478065490723,2017-04-10
8.437478065490723,2017-04-11
8.437478065490723,2017-04-12
8.437478065490723,2017-04-13
8.437478065490723,2017-04-17
8.437478065490723,2017-04-18
8.437478065490723,2017-04-19
8.437478065490723,2017-04-20
8.437478065490723,2017-04-21
8.437478065490723,2017-04-24
8.437478065490723,2017-04-25
8.782474517822266,2017-04-26
8.782474517822266,2017-04-27
8.699976921081543,2017-04-28
8.699976921081543,2017-05-01
8.699976921081543,2017-05-02
8.699976921081543,2017-05-03
8.699976921081543,2017-05-04
8.699976921081543,2017-05-05
8.699976921081543,2017-05-08
8.699976921081543,2017-05-09
8.482477188110352,2017-05-10
8.482477188110352,2017-05-11
8.482477188110352,2017-05-12
8.482477188110352,2017-05-15
8.482477188110352,2017-05-16
8.482477188110352,2017-05-17
8.249979019165039,2017-05-18
8.249979019165039,2017-05-19
8.249979019165039,2017-05-22
8.249979019165039,2017-05-23
8.249979019165039,2017-05-24
8.249979019165039,2017-05-25
8.249979019165039,2017-05-26
8.249979019165039,2017-05-30
8.249979019165039,2017-05-31
8.624978065490723,2017-06-01
8.812477111816406,2017-06-02
8.812477111816406,2017-06-05
8.812477111816406,2017-06-06
8.849976539611816,2017-06-07
8.849976539611816,2017-06-08
8.849976539611816,2017-06-09
8.849976539611816,2017-06-12
8.849976539611816,2017-06-13
8.849976539611816,2017-06-14
9.0374755859375,2017-06-15
9.0374755859375,2017-06-16
9.0374755859375,2017-06-19
9.0374755859375,2017-06-20
9.0374755859375,2017-06-21
9.0374755859375,2017-06-22
9.0374755859375,2017-06-23
9.0374755859375,2017-06-26
9.0374755859375,2017-06-27
9.0374755859375,2017-06-28
9.322474479675293,2017-06-29
9.322474479675293,2017-06-30
9.322474479675293,2017-07-03
9.322474479675293,2017-07-05
9.322474479675293,2017-07-06
9.322474479675293,2017-07-07
9.322474479675293,2017-07-10
9.322474479675293,2017-07-11
9.322474479675293,2017-07-12
9.112476348876953,2017-07-13
9.112476348876953,2017-07-14
9.112476348876953,2017-07-17
9.112476348876953,2017-07-18
9.112476348876953,2017-07-19
9.112476348876953,2017-07-20
9.112476348876953,2017-07-21
9.112476348876953,2017-07-24
9.112476348876953,2017-07-25
9.112476348876953,2017-07-26
9.2249755859375,2017-07-27
9.2249755859375,2017-07-28
9.2249755859375,2017-07-31
9.2249755859375,2017-08-01
9.2249755859375,2017-08-02
9.2249755859375,2017-08-03
9.2249755859375,2017-08-04
9.2249755859375,2017-08-07
9.2249755859375,2017-08-08
9.2249755859375,2017-08-09
9.2249755859375,2017-08-10
9.2249755859375,2017-08-11
9.2249755859375,2017-08-14
9.2249755859375,2017-08-15
9.2249755859375,2017-08-16
9.2249755859375,2017-08-17
9.449973106384277,2017-08-18
9.374974250793457,2017-08-21
9.577473640441895,2017-08-22
9.577473640441895,2017-08-23
9.577473640441895,2017-08-24
9.577473640441895,2017-08-25
9.577473640441895,2017-08-28
9.577473640441895,2017-08-29
9.577473640441895,2017-08-30
9.577473640441895,2017-08-31
9.577473640441895,2017-09-01
9.75936222076416,2017-09-05
9.75936222076416,2017-09-06
9.75936222076416,2017-09-07
9.75936222076416,2017-09-08
9.75936222076416,2017-09-11
9.75936222076416,2017-09-12
9.75936222076416,2017-09-13
9.75936222076416,2017-09-14
9.75936222076416,2017-09-15
9.75936222076416,2017-09-18
9.75936222076416,2017-09-19
9.75936222076416,2017-09-20
9.75936222076416,2017-09-21
9.75936222076416,2017-09-22
9.75936222076416,2017-09-25
9.75936222076416,2017-09-26
9.209110260009766,2017-09-27
9.209110260009766,2017-09-28
9.209110260009766,2017-09-29
9.209110260009766,2017-10-02
9.209110260009766,2017-10-03
9.209110260009766,2017-10-04
9.209110260009766,2017-10-05
9.209110260009766,2017-10-06
9.209110260009766,2017-10-09
9.209110260009766,2017-10-10
9.209110260009766,2017-10-11
9.209110260009766,2017-10-12
9.209110260009766,2017-10-13
9.209110260009766,2017-10-16
9.209110260009766,2017-10-17
9.209110260009766,2017-10-18
9.209110260009766,2017-10-19
9.209110260009766,2017-10-20
9.209110260009766,2017-10-23
9.209110260009766,2017-10-24
9.209110260009766,2017-10-25
9.209110260009766,2017-10-26
9.209110260009766,2017-10-27
9.209110260009766,2017-10-30
9.209110260009766,2017-10-31
9.209110260009766,2017-11-01
9.209110260009766,2017-11-02
9.209110260009766,2017-11-03
9.209110260009766,2017-11-06
9.209110260009766,2017-11-07
9.209110260009766,2017-11-08
9.209110260009766,2017-11-09
9.209110260009766,2017-11-10
9.209110260009766,2017-11-13
9.209110260009766,2017-11-14
9.209110260009766,2017-11-15
8.689424514770508,2017-11-16
8.689424514770508,2017-11-17
8.689424514770508,2017-11-20
8.689424514770508,2017-11-21
8.689424514770508,2017-11-22
8.689424514770508,2017-11-24
8.689424514770508,2017-11-27
8.689424514770508,2017-11-28
8.635929107666016,2017-11-29
8.635929107666016,2017-11-30
8.635929107666016,2017-12-01
8.635929107666016,2017-12-04
8.635929107666016,2017-12-05
8.635929107666016,2017-12-06
8.635929107666016,2017-12-07
8.635929107666016,2017-12-08
8.635929107666016,2017-12-11
8.635929107666016,2017-12-12
8.635929107666016,2017-12-13
8.635929107666016,2017-12-14
8.635929107666016,2017-12-15
8.635929107666016,2017-12-18
8.635929107666016,2017-12-19
8.635929107666016,2017-12-20
8.635929107666016,2017-12-21
8.635929107666016,2017-12-22
9.018049240112305,2017-12-26
9.018049240112305,2017-12-27
9.018049240112305,2017-12-28
9.018049240112305,2017-12-29
9.018049240112305,2018-01-02
9.018049240112305,2018-01-03
9.018049240112305,2018-01-04
9.018049240112305,2018-01-05
9.018049240112305,2018-01-08
9.018049240112305,2018-01-09
9.018049240112305,2018-01-10
9.018049240112305,2018-01-11
9.018049240112305,2018-01-12
9.018049240112305,2018-01-16
8.865200996398926,2018-01-17
8.865200996398926,2018-01-18
8.865200996398926,2018-01-19
8.865200996398926,2018-01-22
8.857558250427246,2018-01-23
8.979838371276855,2018-01-24
8.979838371276855,2018-01-25
8.979838371276855,2018-01-26
8.979838371276855,2018-01-29
8.979838371276855,2018-01-30
8.979838371276855,2018-01-31
8.979838371276855,2018-02-01
8.979838371276855,2018-02-02
8.979838371276855,2018-02-05
8.979838371276855,2018-02-06
8.979838371276855,2018-02-07
8.979838371276855,2018-02-08
8.979838371276855,2018-02-09
8.979838371276855,2018-02-12
8.74292278289795,2018-02-13
8.74292278289795,2018-02-14
8.444868087768555,2018-02-15
8.330231666564941,2018-02-16
8.330231666564941,2018-02-20
8.330231666564941,2018-02-21
8.330231666564941,2018-02-22
8.490720748901367,2018-02-23
8.490720748901367,2018-02-26
8.651131629943848,2018-02-27
8.651131629943848,2018-02-28
8.651131629943848,2018-03-01
8.363020896911621,2018-03-02
8.363020896911621,2018-03-05
8.363020896911621,2018-03-06
8.363020896911621,2018-03-07
8.363020896911621,2018-03-08
8.363020896911621,2018-03-09
8.363020896911621,2018-03-12
8.363020896911621,2018-03-13
8.363020896911621,2018-03-14
8.363020896911621,2018-03-15
8.581050872802734,2018-03-16
8.581050872802734,2018-03-19
8.581050872802734,2018-03-20
8.581050872802734,2018-03-21
8.581050872802734,2018-03-22
8.581050872802734,2018-03-23
8.581050872802734,2018-03-26
8.581050872802734,2018-03-27
8.370807647705078,2018-03-28
8.370807647705078,2018-03-29
8.370807647705078,2018-04-02
8.370807647705078,2018-04-03
8.370807647705078,2018-04-04
8.370807647705078,2018-04-05
8.215070724487305,2018-04-06
8.215070724487305,2018-04-09
8.370807647705078,2018-04-10
8.370807647705078,2018-04-11
8.370807647705078,2018-04-12
8.370807647705078,2018-04-13
8.370807647705078,2018-04-16
8.503185272216797,2018-04-17
8.448675155639648,2018-04-18
8.448675155639648,2018-04-19
8.448675155639648,2018-04-20
8.448675155639648,2018-04-23
8.448675155639648,2018-04-24
8.448675155639648,2018-04-25
8.448675155639648,2018-04-26
8.448675155639648,2018-04-27
8.448675155639648,2018-04-30
7.942533016204834,2018-05-01
7.942533016204834,2018-05-02
7.942533016204834,2018-05-03
7.942533016204834,2018-05-04
7.942533016204834,2018-05-07
7.942533016204834,2018-05-08
8.12162971496582,2018-05-09
8.12162971496582,2018-05-10
8.11384391784668,2018-05-11
8.11384391784668,2018-05-14
8.11384391784668,2018-05-15
8.11384391784668,2018-05-16
8.11384391784668,2018-05-17
8.11384391784668,2018-05-18
8.11384391784668,2018-05-21
8.11384391784668,2018-05-22
8.11384391784668,2018-05-23
8.11384391784668,2018-05-24
8.11384391784668,2018-05-25
8.11384391784668,2018-05-29
8.11384391784668,2018-05-30
8.11384391784668,2018-05-31
8.11384391784668,2018-06-01
8.11384391784668,2018-06-04
8.11384391784668,2018-06-05
8.11384391784668,2018-06-06
8.17613697052002,2018-06-07
8.17613697052002,2018-06-08
8.17613697052002,2018-06-11
8.17613697052002,2018-06-12
8.238432884216309,2018-06-13
8.238432884216309,2018-06-14
7.903598308563232,2018-06-15
7.903598308563232,2018-06-18
7.786796569824219,2018-06-19
7.786796569824219,2018-06-20
7.786796569824219,2018-06-21
7.786796569824219,2018-06-22
7.786796569824219,2018-06-25
7.786796569824219,2018-06-26
8.33187198638916,2018-06-27
8.17613697052002,2018-06-28
8.17613697052002,2018-06-29
8.17613697052002,2018-07-02
7.903598308563232,2018-07-03
8.082695960998535,2018-07-05
8.137202262878418,2018-07-06
8.137202262878418,2018-07-09
8.137202262878418,2018-07-10
8.137202262878418,2018-07-11
8.20728588104248,2018-07-12
8.20728588104248,2018-07-13
8.20728588104248,2018-07-16
8.20728588104248,2018-07-17
8.20728588104248,2018-07-18
8.20728588104248,2018-07-19
8.20728588104248,2018-07-20
8.20728588104248,2018-07-23
8.20728588104248,2018-07-24
8.20728588104248,2018-07-25
8.20728588104248,2018-07-26
8.20728588104248,2018-07-27
8.20728588104248,2018-07-30
8.643346786499023,2018-07-31
8.643346786499023,2018-08-01
8.643346786499023,2018-08-02
8.643346786499023,2018-08-03
8.643346786499023,2018-08-06
8.643346786499023,2018-08-07
8.254002571105957,2018-08-08
8.254002571105957,2018-08-09
8.020402908325195,2018-08-10
8.020402908325195,2018-08-13
8.020402908325195,2018-08-14
8.020402908325195,2018-08-15
8.020402908325195,2018-08-16
8.020402908325195,2018-08-17
8.020402908325195,2018-08-20
8.0982666015625,2018-08-21
8.0982666015625,2018-08-22
8.0982666015625,2018-08-23
8.0982666015625,2018-08-24
8.0982666015625,2018-08-27
8.043760299682617,2018-08-28
8.043760299682617,2018-08-29
8.043760299682617,2018-08-30
8.043760299682617,2018-08-31
8.043760299682617,2018-09-04
8.043760299682617,2018-09-05
8.043760299682617,2018-09-06
8.231010437011719,2018-09-07
8.231010437011719,2018-09-10
7.848542213439941,2018-09-11
7.991968631744385,2018-09-12
7.991968631744385,2018-09-13
7.991968631744385,2018-09-14
