Date,DISCK
2010-05-24,15.7704
2010-05-25,15.7857
2010-05-26,16.0306
2010-05-27,16.6888
2010-05-28,16.1939
2010-06-01,15.9337
2010-06-02,16.6786
2010-06-03,16.7551
2010-06-04,15.8571
2010-06-07,15.3622
2010-06-08,15.2551
2010-06-09,15.1531
2010-06-10,15.9592
2010-06-11,16.3673
2010-06-14,16.301
2010-06-15,16.7194
2010-06-16,16.6173
2010-06-17,16.8214
2010-06-18,16.8571
2010-06-21,17.1633
2010-06-22,16.9541
2010-06-23,16.8622
2010-06-24,16.4286
2010-06-25,16.5051
2010-06-28,16.7041
2010-06-29,15.6071
2010-06-30,15.7806
2010-07-01,16.0204
2010-07-02,15.7347
2010-07-06,15.8878
2010-07-07,16.0714
2010-07-08,16.0816
2010-07-09,16.0612
2010-07-12,15.898
2010-07-13,16.2602
2010-07-14,16.3776
2010-07-15,16.2704
2010-07-16,15.6276
2010-07-19,15.7296
2010-07-20,15.8571
2010-07-21,15.4796
2010-07-22,15.9694
2010-07-23,16.4439
2010-07-26,17.1888
2010-07-27,17.0
2010-07-28,16.9541
2010-07-29,17.1071
2010-07-30,17.5408
2010-08-02,17.7857
2010-08-03,17.3673
2010-08-04,17.3622
2010-08-05,17.2704
2010-08-06,17.0765
2010-08-09,17.0204
2010-08-10,17.1786
2010-08-11,16.8929
2010-08-12,16.6837
2010-08-13,16.7449
2010-08-16,16.6939
2010-08-17,17.1429
2010-08-18,17.3418
2010-08-19,16.9796
2010-08-20,17.1276
2010-08-23,17.1173
2010-08-24,16.7092
2010-08-25,16.7041
2010-08-26,16.898
2010-08-27,17.3112
2010-08-30,17.2092
2010-08-31,17.2449
2010-09-01,17.801
2010-09-02,18.0408
2010-09-03,18.4337
2010-09-07,17.852
2010-09-08,17.6786
2010-09-09,17.7347
2010-09-10,17.852
2010-09-13,17.9643
2010-09-14,18.2449
2010-09-15,18.699
2010-09-16,18.9184
2010-09-17,19.0816
2010-09-20,19.6531
2010-09-21,19.4949
2010-09-22,19.148
2010-09-23,19.0459
2010-09-24,19.4337
2010-09-27,19.5102
2010-09-28,19.4898
2010-09-29,19.5153
2010-09-30,19.4847
2010-10-01,19.2653
2010-10-04,19.0714
2010-10-05,19.5867
2010-10-06,19.3214
2010-10-07,19.5663
2010-10-08,19.3929
2010-10-11,19.3673
2010-10-12,19.4745
2010-10-13,19.7143
2010-10-14,19.3878
2010-10-15,19.3827
2010-10-18,19.4337
2010-10-19,19.1429
2010-10-20,19.4643
2010-10-21,19.4439
2010-10-22,19.699
2010-10-25,19.8418
2010-10-26,19.9439
2010-10-27,20.0663
2010-10-28,19.9388
2010-10-29,19.8469
2010-11-01,19.7755
2010-11-02,19.7449
2010-11-03,18.949
2010-11-04,18.5561
2010-11-05,18.1786
2010-11-08,18.2092
2010-11-09,18.0408
2010-11-10,18.3776
2010-11-11,18.1276
2010-11-12,17.9337
2010-11-15,17.9031
2010-11-16,17.8418
2010-11-17,18.3673
2010-11-18,18.8265
2010-11-19,18.8214
2010-11-22,18.6378
2010-11-23,18.2602
2010-11-24,18.6888
2010-11-26,18.6276
2010-11-29,18.398
2010-11-30,18.1173
2010-12-01,18.3469
2010-12-02,18.7551
2010-12-03,19.0918
2010-12-06,19.0816
2010-12-07,19.0714
2010-12-08,18.9031
2010-12-09,18.7653
2010-12-10,18.8878
2010-12-13,18.6531
2010-12-14,18.6786
2010-12-15,18.5867
2010-12-16,18.7041
2010-12-17,18.9133
2010-12-20,18.8776
2010-12-21,18.9337
2010-12-22,18.8827
2010-12-23,18.7755
2010-12-27,18.6786
2010-12-28,18.648
2010-12-29,18.7398
2010-12-30,18.6837
2010-12-31,18.7194
2011-01-03,18.7551
2011-01-04,18.4898
2011-01-05,18.0255
2011-01-06,17.7857
2011-01-07,17.7755
2011-01-10,17.602
2011-01-11,17.7296
2011-01-12,17.5561
2011-01-13,17.1684
2011-01-14,16.9796
2011-01-18,17.3367
2011-01-19,17.2908
2011-01-20,17.5051
2011-01-21,17.6173
2011-01-24,17.6837
2011-01-25,17.4439
2011-01-26,17.4694
2011-01-27,17.4337
2011-01-28,17.1276
2011-01-31,17.3265
2011-02-01,17.398
2011-02-02,17.8061
2011-02-03,18.4694
2011-02-04,18.7041
2011-02-07,19.0357
2011-02-08,19.3061
2011-02-09,19.3673
2011-02-10,19.5204
2011-02-11,19.7602
2011-02-14,19.7755
2011-02-15,19.898
2011-02-16,20.1122
2011-02-17,19.7092
2011-02-18,19.9235
2011-02-22,19.5612
2011-02-23,19.3418
2011-02-24,19.3163
2011-02-25,19.4541
2011-02-28,19.4235
2011-03-01,19.0408
2011-03-02,19.1888
2011-03-03,19.2704
2011-03-04,18.9337
2011-03-07,18.6071
2011-03-08,18.6224
2011-03-09,18.5102
2011-03-10,18.2653
2011-03-11,18.3265
2011-03-14,18.0255
2011-03-15,17.7806
2011-03-16,17.3316
2011-03-17,17.301
2011-03-18,17.5459
2011-03-21,17.7245
2011-03-22,17.602
2011-03-23,17.7449
2011-03-24,17.6735
2011-03-25,17.6429
2011-03-28,17.5051
2011-03-29,17.3469
2011-03-30,18.0612
2011-03-31,17.9643
2011-04-01,18.0918
2011-04-04,18.2551
2011-04-05,18.1582
2011-04-06,18.1735
2011-04-07,18.1429
2011-04-08,18.0918
2011-04-11,18.2092
2011-04-12,18.1939
2011-04-13,18.2806
2011-04-14,18.1786
2011-04-15,18.2704
2011-04-18,18.199
2011-04-19,18.4184
2011-04-20,18.8827
2011-04-21,18.8571
2011-04-25,19.2143
2011-04-26,19.0051
2011-04-27,19.2704
2011-04-28,19.8163
