SWKS,Date
2.942258596420288,1984-12-27
3.0131571292877197,1984-12-28
3.2258505821228027,1984-12-31
3.296748399734497,1985-01-02
3.1195034980773926,1985-01-03
3.048605442047119,1985-01-04
3.048605442047119,1985-01-07
2.8713607788085938,1985-01-08
2.835911750793457,1985-01-09
2.9068100452423096,1985-01-10
2.942258596420288,1985-01-11
3.1195034980773926,1985-01-14
3.367645025253296,1985-01-15
3.367645025253296,1985-01-16
3.296748399734497,1985-01-17
3.367645025253296,1985-01-18
3.2258505821228027,1985-01-21
2.942258596420288,1985-01-22
3.084054946899414,1985-01-23
3.296748399734497,1985-01-24
3.2612991333007812,1985-01-25
3.367645025253296,1985-01-28
3.296748399734497,1985-01-29
3.40309476852417,1985-01-30
3.3321971893310547,1985-01-31
3.2258505821228027,1985-02-01
3.1195034980773926,1985-02-04
3.296748399734497,1985-02-05
3.615788698196411,1985-02-06
3.8993780612945557,1985-02-07
3.8993780612945557,1985-02-08
3.828481435775757,1985-02-11
3.722134590148926,1985-02-12
3.793031692504883,1985-02-13
3.722134590148926,1985-02-14
3.828481435775757,1985-02-15
3.8639304637908936,1985-02-19
3.793031692504883,1985-02-20
3.793031692504883,1985-02-21
3.828481435775757,1985-02-22
3.8639304637908936,1985-02-25
3.9702773094177246,1985-02-26
3.9348292350769043,1985-02-27
3.8993780612945557,1985-02-28
3.9348292350769043,1985-03-01
3.8993780612945557,1985-03-04
3.8993780612945557,1985-03-05
4.005725383758545,1985-03-06
4.005725383758545,1985-03-07
3.9348292350769043,1985-03-08
3.8993780612945557,1985-03-11
3.8639304637908936,1985-03-12
3.6512365341186523,1985-03-13
3.6512365341186523,1985-03-14
3.473992109298706,1985-03-15
3.40309476852417,1985-03-18
3.367645025253296,1985-03-19
3.2258505821228027,1985-03-20
3.1904022693634033,1985-03-21
3.2612991333007812,1985-03-22
3.2612991333007812,1985-03-25
3.2612991333007812,1985-03-26
3.296748399734497,1985-03-27
3.509441614151001,1985-03-28
3.615788698196411,1985-03-29
3.509441614151001,1985-04-01
3.473992109298706,1985-04-02
3.40309476852417,1985-04-03
3.3321971893310547,1985-04-04
3.2258505821228027,1985-04-08
3.1195034980773926,1985-04-09
2.977707624435425,1985-04-10
3.084054946899414,1985-04-11
3.1195034980773926,1985-04-12
3.296748399734497,1985-04-15
3.296748399734497,1985-04-16
3.296748399734497,1985-04-17
3.2612991333007812,1985-04-18
3.2258505821228027,1985-04-19
3.2258505821228027,1985-04-22
3.084054946899414,1985-04-23
2.977707624435425,1985-04-24
3.048605442047119,1985-04-25
3.1195034980773926,1985-04-26
3.1195034980773926,1985-04-29
3.1195034980773926,1985-04-30
3.1195034980773926,1985-05-01
3.154951810836792,1985-05-02
3.3321971893310547,1985-05-03
3.296748399734497,1985-05-06
3.3321971893310547,1985-05-07
3.2258505821228027,1985-05-08
3.3321971893310547,1985-05-09
3.40309476852417,1985-05-10
3.3321971893310547,1985-05-13
3.296748399734497,1985-05-14
3.296748399734497,1985-05-15
3.1195034980773926,1985-05-16
3.1904022693634033,1985-05-17
3.154951810836792,1985-05-20
3.048605442047119,1985-05-21
3.0131571292877197,1985-05-22
3.0131571292877197,1985-05-23
3.048605442047119,1985-05-24
3.367645025253296,1985-05-28
3.509441614151001,1985-05-29
3.6866860389709473,1985-05-30
3.722134590148926,1985-05-31
3.722134590148926,1985-06-03
3.6866860389709473,1985-06-04
3.6866860389709473,1985-06-05
3.615788698196411,1985-06-06
3.5448901653289795,1985-06-07
3.473992109298706,1985-06-10
3.5448901653289795,1985-06-11
3.5448901653289795,1985-06-12
3.5448901653289795,1985-06-13
3.509441614151001,1985-06-14
3.473992109298706,1985-06-17
3.4385435581207275,1985-06-18
3.473992109298706,1985-06-19
3.3321971893310547,1985-06-20
3.615788698196411,1985-06-21
3.722134590148926,1985-06-24
3.6866860389709473,1985-06-25
3.6866860389709473,1985-06-26
3.722134590148926,1985-06-27
3.6866860389709473,1985-06-28
3.6866860389709473,1985-07-01
