PPG,Date
0.7812065482139587,1980-11-21
0.7760331630706787,1980-11-24
0.7656859755516052,1980-11-25
0.7294710278511047,1980-11-26
0.7242980599403381,1980-11-28
0.7242980599403381,1980-12-01
0.7294710278511047,1980-12-02
0.7449923753738403,1980-12-03
0.7449923753738403,1980-12-04
0.7424057722091675,1980-12-05
0.7294710278511047,1980-12-08
0.7242980599403381,1980-12-09
0.7268844842910767,1980-12-10
0.7139506340026855,1980-12-11
0.7139506340026855,1980-12-12
0.7010169625282288,1980-12-15
0.6829094886779785,1980-12-16
0.6906697154045105,1980-12-17
0.6854960918426514,1980-12-18
0.7087771892547607,1980-12-19
0.7165371179580688,1980-12-22
0.7139506340026855,1980-12-23
0.7424057722091675,1980-12-24
0.7449923753738403,1980-12-26
0.7501649260520935,1980-12-29
