QRVO,Date
71.55999755859375,2017-10-26
73.72000122070312,2017-10-27
76.25,2017-10-30
75.80999755859375,2017-10-31
74.45999908447266,2017-11-01
74.30000305175781,2017-11-02
73.83999633789062,2017-11-03
78.48999786376953,2017-11-06
78.45999908447266,2017-11-07
80.81999969482422,2017-11-08
79.47000122070312,2017-11-09
79.56999969482422,2017-11-10
79.08000183105469,2017-11-13
78.41000366210938,2017-11-14
76.68000030517578,2017-11-15
77.91000366210938,2017-11-16
77.33000183105469,2017-11-17
79.13999938964844,2017-11-20
80.58999633789062,2017-11-21
79.61000061035156,2017-11-22
80.62000274658203,2017-11-24
79.73999786376953,2017-11-27
79.02999877929688,2017-11-28
76.69000244140625,2017-11-29
76.58000183105469,2017-11-30
74.20999908447266,2017-12-01
72.4000015258789,2017-12-04
71.77999877929688,2017-12-05
70.0999984741211,2017-12-06
68.72000122070312,2017-12-07
67.87999725341797,2017-12-08
68.62000274658203,2017-12-11
67.69000244140625,2017-12-12
67.29000091552734,2017-12-13
65.2300033569336,2017-12-14
65.52999877929688,2017-12-15
67.05000305175781,2017-12-18
66.79000091552734,2017-12-19
67.06999969482422,2017-12-20
67.4800033569336,2017-12-21
67.69000244140625,2017-12-22
65.9000015258789,2017-12-26
67.26000213623047,2017-12-27
67.36000061035156,2017-12-28
66.5999984741211,2017-12-29
68.87999725341797,2018-01-02
68.38999938964844,2018-01-03
68.72000122070312,2018-01-04
68.02999877929688,2018-01-05
68.83999633789062,2018-01-08
69.0,2018-01-09
67.73999786376953,2018-01-10
68.87999725341797,2018-01-11
71.04000091552734,2018-01-12
69.30000305175781,2018-01-16
70.8499984741211,2018-01-17
70.69999694824219,2018-01-18
68.4000015258789,2018-01-19
66.33999633789062,2018-01-22
67.31999969482422,2018-01-23
66.9000015258789,2018-01-24
66.05999755859375,2018-01-25
67.94000244140625,2018-01-26
68.19000244140625,2018-01-29
70.66999816894531,2018-01-30
71.7699966430664,2018-01-31
83.33999633789062,2018-02-01
80.7699966430664,2018-02-02
75.58000183105469,2018-02-05
79.06999969482422,2018-02-06
78.08999633789062,2018-02-07
76.8499984741211,2018-02-08
77.8499984741211,2018-02-09
79.16999816894531,2018-02-12
79.3499984741211,2018-02-13
