CHTR,Date
33.84000015258789,2010-09-21
33.5,2010-09-22
33.29999923706055,2010-09-23
33.79999923706055,2010-09-24
33.04999923706055,2010-09-27
33.4900016784668,2010-09-28
33.34000015258789,2010-09-29
32.5,2010-09-30
33.099998474121094,2010-10-01
32.97999954223633,2010-10-04
32.900001525878906,2010-10-05
32.41999816894531,2010-10-06
32.16999816894531,2010-10-07
32.0,2010-10-08
32.849998474121094,2010-10-11
32.900001525878906,2010-10-12
32.5,2010-10-13
33.0,2010-10-14
33.290000915527344,2010-10-15
32.900001525878906,2010-10-18
33.09000015258789,2010-10-19
32.97999954223633,2010-10-20
32.93000030517578,2010-10-21
33.119998931884766,2010-10-22
32.5,2010-10-25
32.65999984741211,2010-10-26
32.459999084472656,2010-10-27
32.470001220703125,2010-10-28
32.47999954223633,2010-10-29
32.54999923706055,2010-11-01
32.5099983215332,2010-11-02
33.349998474121094,2010-11-03
35.75,2010-11-04
35.720001220703125,2010-11-05
35.790000915527344,2010-11-08
35.79999923706055,2010-11-09
35.900001525878906,2010-11-10
36.0,2010-11-11
35.83000183105469,2010-11-12
35.869998931884766,2010-11-15
35.869998931884766,2010-11-16
35.790000915527344,2010-11-17
35.810001373291016,2010-11-18
35.689998626708984,2010-11-19
35.310001373291016,2010-11-22
35.04999923706055,2010-11-23
34.9900016784668,2010-11-24
34.900001525878906,2010-11-26
34.09000015258789,2010-11-29
33.52000045776367,2010-11-30
34.380001068115234,2010-12-01
34.5,2010-12-02
35.06999969482422,2010-12-03
35.439998626708984,2010-12-06
35.7400016784668,2010-12-07
35.91999816894531,2010-12-08
35.70000076293945,2010-12-09
36.0,2010-12-10
36.810001373291016,2010-12-13
37.0099983215332,2010-12-14
38.0,2010-12-15
37.72999954223633,2010-12-16
38.66999816894531,2010-12-17
38.040000915527344,2010-12-20
38.220001220703125,2010-12-21
38.5,2010-12-22
38.11000061035156,2010-12-23
38.16999816894531,2010-12-27
38.310001373291016,2010-12-28
38.5,2010-12-29
38.5099983215332,2010-12-30
38.939998626708984,2010-12-31
38.459999084472656,2011-01-03
39.599998474121094,2011-01-04
39.56999969482422,2011-01-05
39.220001220703125,2011-01-06
39.18000030517578,2011-01-07
39.150001525878906,2011-01-10
39.040000915527344,2011-01-11
39.869998931884766,2011-01-12
40.02000045776367,2011-01-13
40.93000030517578,2011-01-14
40.9900016784668,2011-01-18
41.5,2011-01-19
41.099998474121094,2011-01-20
41.130001068115234,2011-01-21
41.290000915527344,2011-01-24
41.65999984741211,2011-01-25
42.2599983215332,2011-01-26
42.119998931884766,2011-01-27
42.040000915527344,2011-01-28
42.0,2011-01-31
41.63999938964844,2011-02-01
41.619998931884766,2011-02-02
42.0,2011-02-03
41.9900016784668,2011-02-04
41.9900016784668,2011-02-07
43.880001068115234,2011-02-08
45.310001373291016,2011-02-09
46.099998474121094,2011-02-10
47.0,2011-02-11
47.349998474121094,2011-02-14
47.099998474121094,2011-02-15
46.31999969482422,2011-02-16
46.56999969482422,2011-02-17
46.439998626708984,2011-02-18
45.689998626708984,2011-02-22
44.970001220703125,2011-02-23
45.0,2011-02-24
45.5,2011-02-25
45.77000045776367,2011-02-28
46.93000030517578,2011-03-01
48.81999969482422,2011-03-02
47.849998474121094,2011-03-03
47.9900016784668,2011-03-04
48.220001220703125,2011-03-07
48.150001525878906,2011-03-08
48.0,2011-03-09
47.47999954223633,2011-03-10
47.810001373291016,2011-03-11
46.52000045776367,2011-03-14
45.54999923706055,2011-03-15
45.97999954223633,2011-03-16
47.04999923706055,2011-03-17
48.369998931884766,2011-03-18
48.880001068115234,2011-03-21
48.66999816894531,2011-03-22
48.83000183105469,2011-03-23
49.880001068115234,2011-03-24
49.810001373291016,2011-03-25
49.209999084472656,2011-03-28
49.16999816894531,2011-03-29
49.4900016784668,2011-03-30
50.630001068115234,2011-03-31
51.65999984741211,2011-04-01
51.9900016784668,2011-04-04
52.880001068115234,2011-04-05
55.4900016784668,2011-04-06
55.40999984741211,2011-04-07
54.810001373291016,2011-04-08
54.25,2011-04-11
54.75,2011-04-12
54.869998931884766,2011-04-13
55.279998779296875,2011-04-14
55.29999923706055,2011-04-15
54.7400016784668,2011-04-18
54.7599983215332,2011-04-19
54.79999923706055,2011-04-20
54.880001068115234,2011-04-21
54.86000061035156,2011-04-25
55.279998779296875,2011-04-26
56.119998931884766,2011-04-27
58.63999938964844,2011-04-28
58.939998626708984,2011-04-29
59.29999923706055,2011-05-02
58.709999084472656,2011-05-03
58.2599983215332,2011-05-04
57.529998779296875,2011-05-05
58.0,2011-05-06
57.849998474121094,2011-05-09
58.33000183105469,2011-05-10
58.66999816894531,2011-05-11
59.0,2011-05-12
57.86000061035156,2011-05-13
57.77000045776367,2011-05-16
56.18000030517578,2011-05-17
57.36000061035156,2011-05-18
57.619998931884766,2011-05-19
57.0,2011-05-20
55.790000915527344,2011-05-23
55.9900016784668,2011-05-24
55.75,2011-05-25
55.68000030517578,2011-05-26
56.22999954223633,2011-05-27
56.4900016784668,2011-05-31
56.70000076293945,2011-06-01
57.38999938964844,2011-06-02
57.779998779296875,2011-06-03
57.380001068115234,2011-06-06
57.869998931884766,2011-06-07
57.939998626708984,2011-06-08
57.77000045776367,2011-06-09
57.5,2011-06-10
55.459999084472656,2011-06-13
55.959999084472656,2011-06-14
55.70000076293945,2011-06-15
56.0099983215332,2011-06-16
56.810001373291016,2011-06-17
56.029998779296875,2011-06-20
56.20000076293945,2011-06-21
57.13999938964844,2011-06-22
55.52000045776367,2011-06-23
54.40999984741211,2011-06-24
54.09000015258789,2011-06-27
54.56999969482422,2011-06-28
54.36000061035156,2011-06-29
54.2599983215332,2011-06-30
55.150001525878906,2011-07-01
57.970001220703125,2011-07-05
58.97999954223633,2011-07-06
58.540000915527344,2011-07-07
57.79999923706055,2011-07-08
56.5099983215332,2011-07-11
56.720001220703125,2011-07-12
56.7599983215332,2011-07-13
56.86000061035156,2011-07-14
57.34000015258789,2011-07-15
56.279998779296875,2011-07-18
57.40999984741211,2011-07-19
58.779998779296875,2011-07-20
59.5099983215332,2011-07-21
59.75,2011-07-22
59.119998931884766,2011-07-25
58.9900016784668,2011-07-26
57.349998474121094,2011-07-27
54.7400016784668,2011-07-28
54.0,2011-07-29
53.279998779296875,2011-08-01
50.9900016784668,2011-08-02
51.36000061035156,2011-08-03
47.08000183105469,2011-08-04
46.060001373291016,2011-08-05
42.060001373291016,2011-08-08
45.189998626708984,2011-08-09
44.349998474121094,2011-08-10
46.959999084472656,2011-08-11
47.22999954223633,2011-08-12
49.2599983215332,2011-08-15
48.529998779296875,2011-08-16
48.45000076293945,2011-08-17
45.97999954223633,2011-08-18
46.59000015258789,2011-08-19
45.290000915527344,2011-08-22
47.43000030517578,2011-08-23
47.599998474121094,2011-08-24
46.4900016784668,2011-08-25
47.63999938964844,2011-08-26
49.709999084472656,2011-08-29
49.9900016784668,2011-08-30
49.880001068115234,2011-08-31
49.630001068115234,2011-09-01
48.880001068115234,2011-09-02
47.90999984741211,2011-09-06
49.619998931884766,2011-09-07
48.88999938964844,2011-09-08
46.709999084472656,2011-09-09
46.86000061035156,2011-09-12
47.63999938964844,2011-09-13
49.22999954223633,2011-09-14
49.43000030517578,2011-09-15
49.34000015258789,2011-09-16
49.11000061035156,2011-09-19
49.45000076293945,2011-09-20
48.15999984741211,2011-09-21
46.27000045776367,2011-09-22
47.58000183105469,2011-09-23
49.209999084472656,2011-09-26
50.04999923706055,2011-09-27
49.20000076293945,2011-09-28
48.119998931884766,2011-09-29
46.84000015258789,2011-09-30
43.66999816894531,2011-10-03
45.099998474121094,2011-10-04
46.59000015258789,2011-10-05
47.18000030517578,2011-10-06
46.630001068115234,2011-10-07
48.650001525878906,2011-10-10
48.439998626708984,2011-10-11
49.08000183105469,2011-10-12
48.56999969482422,2011-10-13
49.040000915527344,2011-10-14
49.0,2011-10-17
50.2599983215332,2011-10-18
48.779998779296875,2011-10-19
49.0,2011-10-20
49.75,2011-10-21
50.41999816894531,2011-10-24
49.63999938964844,2011-10-25
50.220001220703125,2011-10-26
49.58000183105469,2011-10-27
45.58000183105469,2011-10-28
45.939998626708984,2011-10-31
46.849998474121094,2011-11-01
48.189998626708984,2011-11-02
50.65999984741211,2011-11-03
52.709999084472656,2011-11-04
52.849998474121094,2011-11-07
53.45000076293945,2011-11-08
51.22999954223633,2011-11-09
52.689998626708984,2011-11-10
53.61000061035156,2011-11-11
52.45000076293945,2011-11-14
53.18000030517578,2011-11-15
51.5,2011-11-16
52.20000076293945,2011-11-17
52.90999984741211,2011-11-18
52.06999969482422,2011-11-21
52.459999084472656,2011-11-22
50.97999954223633,2011-11-23
51.849998474121094,2011-11-25
52.75,2011-11-28
52.63999938964844,2011-11-29
52.869998931884766,2011-11-30
52.810001373291016,2011-12-01
53.08000183105469,2011-12-02
52.040000915527344,2011-12-05
52.970001220703125,2011-12-06
52.939998626708984,2011-12-07
51.16999816894531,2011-12-08
52.939998626708984,2011-12-09
52.810001373291016,2011-12-12
52.66999816894531,2011-12-13
52.540000915527344,2011-12-14
53.099998474121094,2011-12-15
54.52000045776367,2011-12-16
52.7400016784668,2011-12-19
55.41999816894531,2011-12-20
55.599998474121094,2011-12-21
55.7400016784668,2011-12-22
56.29999923706055,2011-12-23
56.13999938964844,2011-12-27
55.959999084472656,2011-12-28
56.880001068115234,2011-12-29
56.939998626708984,2011-12-30
57.189998626708984,2012-01-03
56.810001373291016,2012-01-04
56.97999954223633,2012-01-05
56.619998931884766,2012-01-06
56.75,2012-01-09
56.65999984741211,2012-01-10
56.150001525878906,2012-01-11
57.459999084472656,2012-01-12
56.959999084472656,2012-01-13
56.970001220703125,2012-01-17
56.439998626708984,2012-01-18
56.970001220703125,2012-01-19
57.0099983215332,2012-01-20
57.0,2012-01-23
56.63999938964844,2012-01-24
57.709999084472656,2012-01-25
58.4900016784668,2012-01-26
57.61000061035156,2012-01-27
56.83000183105469,2012-01-30
57.63999938964844,2012-01-31
58.279998779296875,2012-02-01
57.79999923706055,2012-02-02
58.16999816894531,2012-02-03
58.310001373291016,2012-02-06
57.84000015258789,2012-02-07
58.119998931884766,2012-02-08
58.790000915527344,2012-02-09
58.59000015258789,2012-02-10
59.970001220703125,2012-02-13
60.02000045776367,2012-02-14
62.220001220703125,2012-02-15
62.5099983215332,2012-02-16
62.849998474121094,2012-02-17
62.70000076293945,2012-02-21
62.720001220703125,2012-02-22
63.5,2012-02-23
63.43000030517578,2012-02-24
63.56999969482422,2012-02-27
63.560001373291016,2012-02-28
63.40999984741211,2012-02-29
63.2400016784668,2012-03-01
62.560001373291016,2012-03-02
62.349998474121094,2012-03-05
60.900001525878906,2012-03-06
60.540000915527344,2012-03-07
61.040000915527344,2012-03-08
61.09000015258789,2012-03-09
62.470001220703125,2012-03-12
62.88999938964844,2012-03-13
63.11000061035156,2012-03-14
63.4900016784668,2012-03-15
63.9900016784668,2012-03-16
63.970001220703125,2012-03-19
63.22999954223633,2012-03-20
64.01000213623047,2012-03-21
64.62999725341797,2012-03-22
64.91000366210938,2012-03-23
64.37000274658203,2012-03-26
63.97999954223633,2012-03-27
63.25,2012-03-28
63.11000061035156,2012-03-29
63.45000076293945,2012-03-30
64.37000274658203,2012-04-02
63.0099983215332,2012-04-03
61.779998779296875,2012-04-04
62.7599983215332,2012-04-05
61.65999984741211,2012-04-09
59.40999984741211,2012-04-10
60.560001373291016,2012-04-11
61.060001373291016,2012-04-12
60.970001220703125,2012-04-13
60.34000015258789,2012-04-16
61.310001373291016,2012-04-17
61.15999984741211,2012-04-18
61.45000076293945,2012-04-19
61.959999084472656,2012-04-20
60.20000076293945,2012-04-23
60.16999816894531,2012-04-24
60.630001068115234,2012-04-25
60.95000076293945,2012-04-26
60.41999816894531,2012-04-27
60.470001220703125,2012-04-30
61.02000045776367,2012-05-01
62.2400016784668,2012-05-02
62.349998474121094,2012-05-03
61.56999969482422,2012-05-04
61.81999969482422,2012-05-07
64.97000122070312,2012-05-08
67.13999938964844,2012-05-09
67.69999694824219,2012-05-10
67.48999786376953,2012-05-11
66.2300033569336,2012-05-14
65.48999786376953,2012-05-15
65.30000305175781,2012-05-16
63.34000015258789,2012-05-17
61.68000030517578,2012-05-18
63.630001068115234,2012-05-21
64.6500015258789,2012-05-22
64.61000061035156,2012-05-23
64.20999908447266,2012-05-24
64.2699966430664,2012-05-25
64.62999725341797,2012-05-29
63.189998626708984,2012-05-30
62.70000076293945,2012-05-31
61.310001373291016,2012-06-01
61.279998779296875,2012-06-04
63.5099983215332,2012-06-05
63.75,2012-06-06
63.810001373291016,2012-06-07
64.12000274658203,2012-06-08
63.38999938964844,2012-06-11
64.7300033569336,2012-06-12
64.93000030517578,2012-06-13
65.88999938964844,2012-06-14
66.88999938964844,2012-06-15
67.62999725341797,2012-06-18
68.9800033569336,2012-06-19
69.4000015258789,2012-06-20
67.44000244140625,2012-06-21
67.91000366210938,2012-06-22
66.61000061035156,2012-06-25
67.69999694824219,2012-06-26
69.6500015258789,2012-06-27
70.0,2012-06-28
70.87000274658203,2012-06-29
72.05000305175781,2012-07-02
72.20999908447266,2012-07-03
72.23999786376953,2012-07-05
72.08000183105469,2012-07-06
72.0199966430664,2012-07-09
72.0999984741211,2012-07-10
71.58999633789062,2012-07-11
72.77999877929688,2012-07-12
72.87000274658203,2012-07-13
72.52999877929688,2012-07-16
73.06999969482422,2012-07-17
72.94999694824219,2012-07-18
74.80999755859375,2012-07-19
74.37000274658203,2012-07-20
73.5199966430664,2012-07-23
72.91999816894531,2012-07-24
74.19999694824219,2012-07-25
75.80000305175781,2012-07-26
76.3499984741211,2012-07-27
77.45999908447266,2012-07-30
76.91999816894531,2012-07-31
78.33999633789062,2012-08-01
78.30000305175781,2012-08-02
79.93000030517578,2012-08-03
77.58999633789062,2012-08-06
76.68000030517578,2012-08-07
76.01000213623047,2012-08-08
75.51000213623047,2012-08-09
77.93000030517578,2012-08-10
78.91000366210938,2012-08-13
78.5,2012-08-14
79.80000305175781,2012-08-15
78.5,2012-08-16
77.80000305175781,2012-08-17
77.87999725341797,2012-08-20
77.27999877929688,2012-08-21
77.11000061035156,2012-08-22
76.37999725341797,2012-08-23
77.7300033569336,2012-08-24
77.23999786376953,2012-08-27
76.76000213623047,2012-08-28
76.45999908447266,2012-08-29
77.0,2012-08-30
77.80000305175781,2012-08-31
77.08000183105469,2012-09-04
78.16000366210938,2012-09-05
79.27999877929688,2012-09-06
78.1500015258789,2012-09-07
77.80000305175781,2012-09-10
78.9000015258789,2012-09-11
80.19999694824219,2012-09-12
81.62999725341797,2012-09-13
82.54000091552734,2012-09-14
80.73999786376953,2012-09-17
79.88999938964844,2012-09-18
80.37999725341797,2012-09-19
80.27999877929688,2012-09-20
79.43000030517578,2012-09-21
76.37000274658203,2012-09-24
75.44000244140625,2012-09-25
74.88999938964844,2012-09-26
75.20999908447266,2012-09-27
75.05999755859375,2012-09-28
75.01000213623047,2012-10-01
75.5,2012-10-02
76.76000213623047,2012-10-03
77.37999725341797,2012-10-04
76.52999877929688,2012-10-05
76.02999877929688,2012-10-08
76.08000183105469,2012-10-09
75.9800033569336,2012-10-10
76.12000274658203,2012-10-11
76.12999725341797,2012-10-12
76.7300033569336,2012-10-15
76.6500015258789,2012-10-16
77.69000244140625,2012-10-17
78.51000213623047,2012-10-18
78.54000091552734,2012-10-19
78.16999816894531,2012-10-22
76.19000244140625,2012-10-23
76.08999633789062,2012-10-24
76.19000244140625,2012-10-25
76.56999969482422,2012-10-26
77.41000366210938,2012-10-31
77.75,2012-11-01
75.0999984741211,2012-11-02
72.94000244140625,2012-11-05
71.62000274658203,2012-11-06
69.47000122070312,2012-11-07
68.26000213623047,2012-11-08
68.72000122070312,2012-11-09
69.0,2012-11-12
68.94000244140625,2012-11-13
67.5,2012-11-14
68.54000091552734,2012-11-15
69.2699966430664,2012-11-16
68.63999938964844,2012-11-19
70.30999755859375,2012-11-20
69.87000274658203,2012-11-21
70.0,2012-11-23
70.27999877929688,2012-11-26
70.29000091552734,2012-11-27
70.29000091552734,2012-11-28
71.30999755859375,2012-11-29
70.8499984741211,2012-11-30
70.44999694824219,2012-12-03
70.44999694824219,2012-12-04
69.73999786376953,2012-12-05
69.5999984741211,2012-12-06
70.43000030517578,2012-12-07
69.76000213623047,2012-12-10
69.58999633789062,2012-12-11
69.61000061035156,2012-12-12
69.08000183105469,2012-12-13
68.68000030517578,2012-12-14
70.77999877929688,2012-12-17
74.13999938964844,2012-12-18
74.05000305175781,2012-12-19
73.20999908447266,2012-12-20
73.43000030517578,2012-12-21
73.43000030517578,2012-12-24
73.23999786376953,2012-12-26
73.66999816894531,2012-12-27
73.58000183105469,2012-12-28
76.23999786376953,2012-12-31
78.0999984741211,2013-01-02
77.9800033569336,2013-01-03
77.5999984741211,2013-01-04
77.4000015258789,2013-01-07
77.19999694824219,2013-01-08
78.5999984741211,2013-01-09
79.0,2013-01-10
78.38999938964844,2013-01-11
78.18000030517578,2013-01-14
78.31999969482422,2013-01-15
78.33999633789062,2013-01-16
78.94999694824219,2013-01-17
78.83000183105469,2013-01-18
78.81999969482422,2013-01-22
78.94999694824219,2013-01-23
79.22000122070312,2013-01-24
80.68000030517578,2013-01-25
82.23999786376953,2013-01-28
81.5,2013-01-29
81.62999725341797,2013-01-30
77.97000122070312,2013-01-31
78.04000091552734,2013-02-01
76.66999816894531,2013-02-04
81.52999877929688,2013-02-05
81.05000305175781,2013-02-06
80.62999725341797,2013-02-07
80.88999938964844,2013-02-08
79.30999755859375,2013-02-11
80.0,2013-02-12
80.02999877929688,2013-02-13
79.4800033569336,2013-02-14
79.54000091552734,2013-02-15
79.38999938964844,2013-02-19
77.98999786376953,2013-02-20
77.02999877929688,2013-02-21
85.0199966430664,2013-02-22
83.30000305175781,2013-02-25
86.73999786376953,2013-02-26
87.12999725341797,2013-02-27
86.38999938964844,2013-02-28
86.48999786376953,2013-03-01
86.98999786376953,2013-03-04
87.61000061035156,2013-03-05
89.9800033569336,2013-03-06
89.80000305175781,2013-03-07
89.05999755859375,2013-03-08
88.94999694824219,2013-03-11
89.5,2013-03-12
89.87999725341797,2013-03-13
90.11000061035156,2013-03-14
90.08999633789062,2013-03-15
98.04000091552734,2013-03-18
100.37999725341797,2013-03-19
105.7699966430664,2013-03-20
102.36000061035156,2013-03-21
103.27999877929688,2013-03-22
102.44000244140625,2013-03-25
102.98999786376953,2013-03-26
104.29000091552734,2013-03-27
104.18000030517578,2013-03-28
103.77999877929688,2013-04-01
103.80000305175781,2013-04-02
102.27999877929688,2013-04-03
104.55000305175781,2013-04-04
105.48999786376953,2013-04-05
104.75,2013-04-08
103.58000183105469,2013-04-09
103.66999816894531,2013-04-10
104.83999633789062,2013-04-11
105.05999755859375,2013-04-12
103.08000183105469,2013-04-15
104.91000366210938,2013-04-16
104.02999877929688,2013-04-17
102.7300033569336,2013-04-18
103.04000091552734,2013-04-19
103.8499984741211,2013-04-22
104.41000366210938,2013-04-23
103.05000305175781,2013-04-24
101.11000061035156,2013-04-25
101.63999938964844,2013-04-26
101.62000274658203,2013-04-29
100.73999786376953,2013-04-30
101.16999816894531,2013-05-01
103.12999725341797,2013-05-02
104.61000061035156,2013-05-03
105.02999877929688,2013-05-06
109.69000244140625,2013-05-07
110.04000091552734,2013-05-08
110.12999725341797,2013-05-09
110.05999755859375,2013-05-10
111.6500015258789,2013-05-13
113.77999877929688,2013-05-14
114.52999877929688,2013-05-15
113.61000061035156,2013-05-16
112.13999938964844,2013-05-17
111.41000366210938,2013-05-20
114.0,2013-05-21
112.94000244140625,2013-05-22
113.54000091552734,2013-05-23
112.8499984741211,2013-05-24
114.0999984741211,2013-05-28
112.6500015258789,2013-05-29
111.80999755859375,2013-05-30
112.0,2013-05-31
111.62000274658203,2013-06-03
114.94999694824219,2013-06-04
113.91999816894531,2013-06-05
112.62999725341797,2013-06-06
113.91000366210938,2013-06-07
112.52999877929688,2013-06-10
112.45999908447266,2013-06-11
111.38999938964844,2013-06-12
110.88999938964844,2013-06-13
116.61000061035156,2013-06-14
117.72000122070312,2013-06-17
117.94999694824219,2013-06-18
117.80000305175781,2013-06-19
114.05000305175781,2013-06-20
119.68000030517578,2013-06-21
118.44000244140625,2013-06-24
117.7699966430664,2013-06-25
119.0,2013-06-26
123.80999755859375,2013-06-27
123.8499984741211,2013-06-28
122.22000122070312,2013-07-01
125.13999938964844,2013-07-02
127.63999938964844,2013-07-03
127.37999725341797,2013-07-05
127.83999633789062,2013-07-08
125.66999816894531,2013-07-09
125.3499984741211,2013-07-10
125.19999694824219,2013-07-11
124.66999816894531,2013-07-12
124.58000183105469,2013-07-15
123.81999969482422,2013-07-16
124.1500015258789,2013-07-17
124.56999969482422,2013-07-18
128.30999755859375,2013-07-19
128.19000244140625,2013-07-22
127.7699966430664,2013-07-23
128.22000122070312,2013-07-24
127.75,2013-07-25
126.61000061035156,2013-07-26
125.69000244140625,2013-07-29
123.77999877929688,2013-07-30
125.73999786376953,2013-07-31
127.95999908447266,2013-08-01
134.0,2013-08-02
130.14999389648438,2013-08-05
127.05000305175781,2013-08-06
129.6300048828125,2013-08-07
128.05999755859375,2013-08-08
128.27000427246094,2013-08-09
126.55999755859375,2013-08-12
126.0999984741211,2013-08-13
124.45999908447266,2013-08-14
123.12000274658203,2013-08-15
122.5999984741211,2013-08-16
123.25,2013-08-19
124.88999938964844,2013-08-20
123.2300033569336,2013-08-21
123.94999694824219,2013-08-22
122.69999694824219,2013-08-23
122.16999816894531,2013-08-26
121.01000213623047,2013-08-27
120.0,2013-08-28
120.9000015258789,2013-08-29
121.41999816894531,2013-08-30
123.05000305175781,2013-09-03
124.55999755859375,2013-09-04
124.66000366210938,2013-09-05
125.0199966430664,2013-09-06
126.69999694824219,2013-09-09
127.44000244140625,2013-09-10
129.11000061035156,2013-09-11
128.27999877929688,2013-09-12
128.75,2013-09-13
129.17999267578125,2013-09-16
130.25999450683594,2013-09-17
132.38999938964844,2013-09-18
133.22999572753906,2013-09-19
133.83999633789062,2013-09-20
133.44000244140625,2013-09-23
131.14999389648438,2013-09-24
134.00999450683594,2013-09-25
135.99000549316406,2013-09-26
133.57000732421875,2013-09-27
134.75999450683594,2013-09-30
135.47000122070312,2013-10-01
133.7899932861328,2013-10-02
131.5500030517578,2013-10-03
132.63999938964844,2013-10-04
132.49000549316406,2013-10-07
131.61000061035156,2013-10-08
131.5,2013-10-09
136.08999633789062,2013-10-10
136.22999572753906,2013-10-11
137.19000244140625,2013-10-14
137.44000244140625,2013-10-15
139.00999450683594,2013-10-16
137.7100067138672,2013-10-17
137.30999755859375,2013-10-18
137.10000610351562,2013-10-21
136.7100067138672,2013-10-22
135.22000122070312,2013-10-23
137.97000122070312,2013-10-24
138.5800018310547,2013-10-25
136.5399932861328,2013-10-28
137.22999572753906,2013-10-29
135.02000427246094,2013-10-30
134.0399932861328,2013-10-31
138.07000732421875,2013-11-01
135.77000427246094,2013-11-04
131.05999755859375,2013-11-05
128.9199981689453,2013-11-06
127.47000122070312,2013-11-07
128.05999755859375,2013-11-08
127.04000091552734,2013-11-11
128.4600067138672,2013-11-12
128.75999450683594,2013-11-13
128.07000732421875,2013-11-14
128.69000244140625,2013-11-15
129.5399932861328,2013-11-18
129.07000732421875,2013-11-19
126.95999908447266,2013-11-20
126.95999908447266,2013-11-21
134.66000366210938,2013-11-22
