LUMN,Date
0.27940866351127625,1980-11-24
0.27552780508995056,1980-11-25
0.267766535282135,1980-11-26
0.267766535282135,1980-11-28
0.2638859450817108,1980-12-01
0.26000532507896423,1980-12-02
0.26000532507896423,1980-12-03
0.25612467527389526,1980-12-04
0.25612467527389526,1980-12-05
0.24836312234401703,1980-12-08
0.24836312234401703,1980-12-09
0.2522440254688263,1980-12-10
0.2444825917482376,1980-12-11
0.2406018078327179,1980-12-12
0.2444825917482376,1980-12-15
0.2444825917482376,1980-12-16
0.2444825917482376,1980-12-17
0.2444825917482376,1980-12-18
0.24836312234401703,1980-12-19
0.24836312234401703,1980-12-22
0.2444825917482376,1980-12-23
0.23672111332416534,1980-12-24
0.23672111332416534,1980-12-26
0.2289598286151886,1980-12-29
0.23284049332141876,1980-12-30
