TT,Date
1.025231957435608,1981-09-01
1.046326994895935,1981-09-02
1.0189036130905151,1981-09-03
1.0041366815567017,1981-09-04
0.9956984519958496,1981-09-08
1.0020273923873901,1981-09-09
1.012575387954712,1981-09-10
1.0231221914291382,1981-09-11
1.0231221914291382,1981-09-14
1.0083562135696411,1981-09-15
0.9935898184776306,1981-09-16
0.9872604012489319,1981-09-17
0.9788229465484619,1981-09-18
0.9914793968200684,1981-09-21
0.9893696904182434,1981-09-22
0.9851510524749756,1981-09-23
0.9872604012489319,1981-09-24
0.9893696904182434,1981-09-25
0.99991774559021,1981-09-28
1.0041366815567017,1981-09-29
0.9872604012489319,1981-09-30
0.9746034741401672,1981-10-01
0.9619466662406921,1981-10-02
0.9450694918632507,1981-10-05
0.9281942844390869,1981-10-06
0.9366313219070435,1981-10-07
0.9724932312965393,1981-10-08
0.98093181848526,1981-10-09
0.99991774559021,1981-10-12
0.9893696904182434,1981-10-13
0.9935898184776306,1981-10-14
0.9956984519958496,1981-10-15
0.9956984519958496,1981-10-16
1.0020273923873901,1981-10-19
0.9872604012489319,1981-10-20
0.976713240146637,1981-10-21
0.976713240146637,1981-10-22
0.9788229465484619,1981-10-23
0.9914793968200684,1981-10-26
0.976713240146637,1981-10-27
0.9956984519958496,1981-10-28
0.9935898184776306,1981-10-29
1.0062466859817505,1981-10-30
1.0083562135696411,1981-11-02
1.0041366815567017,1981-11-03
0.9956984519958496,1981-11-04
0.9872604012489319,1981-11-05
0.98093181848526,1981-11-06
0.966164767742157,1981-11-09
0.9387413859367371,1981-11-10
0.9450694918632507,1981-11-11
0.9640554189682007,1981-11-12
0.949288547039032,1981-11-13
0.9429609179496765,1981-11-16
0.940851628780365,1981-11-17
0.9197558164596558,1981-11-18
0.9239746332168579,1981-11-19
0.9113174080848694,1981-11-20
0.8944416046142578,1981-11-23
0.9113174080848694,1981-11-24
0.9345225691795349,1981-11-25
0.9598367214202881,1981-11-27
0.9978078603744507,1981-11-30
1.0020273923873901,1981-12-01
0.9893696904182434,1981-12-02
0.9978078603744507,1981-12-03
0.9935898184776306,1981-12-04
0.9935898184776306,1981-12-07
0.9893696904182434,1981-12-08
0.9893696904182434,1981-12-09
1.0020273923873901,1981-12-10
0.9978078603744507,1981-12-11
0.9830411076545715,1981-12-14
0.9956984519958496,1981-12-15
0.9872604012489319,1981-12-16
0.9830411076545715,1981-12-17
1.012575387954712,1981-12-18
1.0104650259017944,1981-12-21
1.0020273923873901,1981-12-22
0.9830411076545715,1981-12-23
0.9746034741401672,1981-12-24
0.9724932312965393,1981-12-28
0.9619466662406921,1981-12-29
0.9619466662406921,1981-12-30
0.9535079598426819,1981-12-31
0.9724932312965393,1982-01-04
0.9746034741401672,1982-01-05
0.9682742357254028,1982-01-06
0.9535079598426819,1982-01-07
0.9535079598426819,1982-01-08
0.9450694918632507,1982-01-11
0.940851628780365,1982-01-12
0.9197558164596558,1982-01-13
0.9176455140113831,1982-01-14
0.9239746332168579,1982-01-15
0.9134268760681152,1982-01-18
0.8986599445343018,1982-01-19
0.8860024213790894,1982-01-20
0.8796740770339966,1982-01-21
0.8691270351409912,1982-01-22
0.8649072647094727,1982-01-25
0.852250337600708,1982-01-26
0.8438122272491455,1982-01-27
0.8606888055801392,1982-01-28
0.9070982336997986,1982-01-29
0.940851628780365,1982-02-01
0.9113174080848694,1982-02-02
0.9070982336997986,1982-02-03
0.8965509533882141,1982-02-04
0.9049888849258423,1982-02-05
0.9134268760681152,1982-02-08
0.8923320174217224,1982-02-09
0.9007695317268372,1982-02-10
0.9007695317268372,1982-02-11
0.8965509533882141,1982-02-12
0.8944416046142578,1982-02-16
0.8923320174217224,1982-02-17
0.8923320174217224,1982-02-18
0.8860024213790894,1982-02-19
0.8817839622497559,1982-02-22
0.8712366819381714,1982-02-23
0.8649072647094727,1982-02-24
0.8627982139587402,1982-02-25
0.8585793972015381,1982-02-26
0.8395936489105225,1982-03-01
0.8480318188667297,1982-03-02
0.8395936489105225,1982-03-03
0.8227168917655945,1982-03-04
0.8100601434707642,1982-03-05
0.7763074040412903,1982-03-08
0.7847461104393005,1982-03-09
0.7847461104393005,1982-03-10
0.7868549227714539,1982-03-11
0.7763074040412903,1982-03-12
0.7784173488616943,1982-03-15
0.7847461104393005,1982-03-16
0.7552122473716736,1982-03-17
0.7784173488616943,1982-03-18
0.7805265188217163,1982-03-19
0.814279317855835,1982-03-22
0.814279317855835,1982-03-23
0.805840790271759,1982-03-24
0.7910744547843933,1982-03-25
0.7826361060142517,1982-03-26
0.7720879316329956,1982-03-29
0.7720879316329956,1982-03-30
0.7720879316329956,1982-03-31
0.7763074040412903,1982-04-01
0.7847461104393005,1982-04-02
0.7931836843490601,1982-04-05
0.7805265188217163,1982-04-06
0.7931836843490601,1982-04-07
0.7931836843490601,1982-04-08
0.7847461104393005,1982-04-12
0.7931836843490601,1982-04-13
0.7910744547843933,1982-04-14
0.7805265188217163,1982-04-15
0.7931836843490601,1982-04-16
0.7910744547843933,1982-04-19
0.7805265188217163,1982-04-20
0.7826361060142517,1982-04-21
0.7784173488616943,1982-04-22
0.7995125651359558,1982-04-23
0.8311553001403809,1982-04-26
0.8227168917655945,1982-04-27
0.8184981346130371,1982-04-28
0.8269362449645996,1982-04-29
0.8269362449645996,1982-04-30
0.8438122272491455,1982-05-03
0.8438122272491455,1982-05-04
0.852250337600708,1982-05-05
0.8691270351409912,1982-05-06
0.8606888055801392,1982-05-07
0.8374843001365662,1982-05-10
0.8395936489105225,1982-05-11
0.8438122272491455,1982-05-12
0.8374843001365662,1982-05-13
0.8438122272491455,1982-05-14
0.8290455341339111,1982-05-17
0.814279317855835,1982-05-18
0.7889647483825684,1982-05-19
0.7889647483825684,1982-05-20
0.7868549227714539,1982-05-21
0.7868549227714539,1982-05-24
0.7763074040412903,1982-05-25
0.7699788808822632,1982-05-26
0.7657593488693237,1982-05-27
0.7594311237335205,1982-05-28
0.7509927153587341,1982-06-01
0.7467741370201111,1982-06-02
0.7573214769363403,1982-06-03
0.7509927153587341,1982-06-04
0.7446646690368652,1982-06-07
0.7425551414489746,1982-06-08
0.7214590907096863,1982-06-09
0.7383358478546143,1982-06-10
0.7404454350471497,1982-06-11
0.7383358478546143,1982-06-14
0.7256788015365601,1982-06-15
0.7172409296035767,1982-06-16
0.6834881901741028,1982-06-17
0.670831024646759,1982-06-18
0.6792691349983215,1982-06-21
0.6771600246429443,1982-06-22
0.6412979364395142,1982-06-23
0.6581739187240601,1982-06-24
0.670831024646759,1982-06-25
0.6750501394271851,1982-06-28
0.666611909866333,1982-06-29
0.666611909866333,1982-06-30
0.6623927354812622,1982-07-01
0.6645021438598633,1982-07-02
0.666611909866333,1982-07-06
0.666611909866333,1982-07-07
0.6687217354774475,1982-07-08
0.6750501394271851,1982-07-09
0.6813786029815674,1982-07-12
0.6792691349983215,1982-07-13
0.700364351272583,1982-07-14
0.7130220532417297,1982-07-15
0.7045833468437195,1982-07-16
0.7066932916641235,1982-07-19
0.7341167330741882,1982-07-20
0.7446646690368652,1982-07-21
0.7235689759254456,1982-07-22
0.7109119296073914,1982-07-23
0.6834881901741028,1982-07-26
0.6792691349983215,1982-07-27
