PXD,Date
8.069243431091309,1999-06-03
8.116432189941406,1999-06-04
8.352376937866211,1999-06-07
8.352376937866211,1999-06-08
8.352376937866211,1999-06-09
8.446752548217773,1999-06-10
8.493941307067871,1999-06-11
8.257999420166016,1999-06-14
8.399560928344727,1999-06-15
8.493941307067871,1999-06-16
8.588316917419434,1999-06-17
8.54112720489502,1999-06-18
8.399560928344727,1999-06-21
8.305185317993164,1999-06-22
8.116432189941406,1999-06-23
7.786113739013672,1999-06-24
7.738923072814941,1999-06-25
7.786113739013672,1999-06-28
8.163623809814453,1999-06-29
8.305185317993164,1999-06-30
8.635504722595215,1999-07-01
8.588316917419434,1999-07-02
8.965826988220215,1999-07-06
8.588316917419434,1999-07-07
8.824262619018555,1999-07-08
8.682695388793945,1999-07-09
8.493941307067871,1999-07-12
8.54112720489502,1999-07-13
8.682695388793945,1999-07-14
8.446752548217773,1999-07-15
8.305185317993164,1999-07-16
8.257999420166016,1999-07-19
8.257999420166016,1999-07-20
8.305185317993164,1999-07-21
8.257999420166016,1999-07-22
8.352376937866211,1999-07-23
8.257999420166016,1999-07-26
8.399560928344727,1999-07-27
8.352376937866211,1999-07-28
8.777069091796875,1999-07-29
8.777069091796875,1999-07-30
8.588316917419434,1999-08-02
8.446752548217773,1999-08-03
8.257999420166016,1999-08-04
8.493941307067871,1999-08-05
8.493941307067871,1999-08-06
8.777069091796875,1999-08-09
8.682695388793945,1999-08-10
9.060200691223145,1999-08-11
9.484902381896973,1999-08-12
9.532088279724121,1999-08-13
9.34333324432373,1999-08-16
9.484902381896973,1999-08-17
9.390522956848145,1999-08-18
9.390522956848145,1999-08-19
9.390522956848145,1999-08-20
9.390522956848145,1999-08-23
9.29614543914795,1999-08-24
9.060200691223145,1999-08-25
8.9186372756958,1999-08-26
8.54112720489502,1999-08-27
8.446752548217773,1999-08-30
8.588316917419434,1999-08-31
8.588316917419434,1999-09-01
8.305185317993164,1999-09-02
8.257999420166016,1999-09-03
8.305185317993164,1999-09-07
8.210809707641602,1999-09-08
8.588316917419434,1999-09-09
8.399560928344727,1999-09-10
8.210809707641602,1999-09-13
8.257999420166016,1999-09-14
8.305185317993164,1999-09-15
8.257999420166016,1999-09-16
8.257999420166016,1999-09-17
8.069243431091309,1999-09-20
7.927674770355225,1999-09-21
7.880488395690918,1999-09-22
7.738923072814941,1999-09-23
7.64454460144043,1999-09-24
7.691730976104736,1999-09-27
7.550168514251709,1999-09-28
7.502979755401611,1999-09-29
8.022053718566895,1999-09-30
8.116432189941406,1999-10-01
7.786113739013672,1999-10-04
7.64454460144043,1999-10-05
7.927674770355225,1999-10-06
7.691730976104736,1999-10-07
7.5973591804504395,1999-10-08
7.927674770355225,1999-10-11
7.927674770355225,1999-10-12
8.210809707641602,1999-10-13
8.210809707641602,1999-10-14
8.210809707641602,1999-10-15
8.069243431091309,1999-10-18
8.069243431091309,1999-10-19
7.927674770355225,1999-10-20
7.880488395690918,1999-10-21
8.022053718566895,1999-10-22
8.116432189941406,1999-10-25
7.691730976104736,1999-10-26
7.786113739013672,1999-10-27
7.550168514251709,1999-10-28
7.078283786773682,1999-10-29
7.5973591804504395,1999-11-01
7.455792427062988,1999-11-02
7.502979755401611,1999-11-03
7.927674770355225,1999-11-04
8.257999420166016,1999-11-05
8.022053718566895,1999-11-08
8.116432189941406,1999-11-09
7.550168514251709,1999-11-10
7.361413955688477,1999-11-11
7.5973591804504395,1999-11-12
7.550168514251709,1999-11-15
7.691730976104736,1999-11-16
7.738923072814941,1999-11-17
7.738923072814941,1999-11-18
7.550168514251709,1999-11-19
7.455792427062988,1999-11-22
7.031092643737793,1999-11-23
7.031092643737793,1999-11-24
6.889528751373291,1999-11-26
6.512021541595459,1999-11-29
6.276079177856445,1999-11-30
6.3232645988464355,1999-12-01
6.700773239135742,1999-12-02
6.889528751373291,1999-12-03
6.3232645988464355,1999-12-06
6.134512901306152,1999-12-07
6.370455741882324,1999-12-08
5.898568153381348,1999-12-09
5.851380825042725,1999-12-10
6.087325096130371,1999-12-13
6.040135860443115,1999-12-14
6.370455741882324,1999-12-15
6.4176411628723145,1999-12-16
7.078283786773682,1999-12-17
6.512021541595459,1999-12-20
6.134512901306152,1999-12-21
6.040135860443115,1999-12-22
5.992947578430176,1999-12-23
5.945759296417236,1999-12-27
5.992947578430176,1999-12-28
6.606398582458496,1999-12-29
6.464831829071045,1999-12-30
6.747962951660156,1999-12-31
6.370455741882324,2000-01-03
6.464831829071045,2000-01-04
6.276079177856445,2000-01-05
6.4176411628723145,2000-01-06
6.606398582458496,2000-01-07
6.4176411628723145,2000-01-10
6.512021541595459,2000-01-11
6.181702136993408,2000-01-12
6.370455741882324,2000-01-13
6.559208393096924,2000-01-14
7.031092643737793,2000-01-18
6.889528751373291,2000-01-19
6.795152187347412,2000-01-20
7.1254706382751465,2000-01-21
7.1726603507995605,2000-01-24
7.361413955688477,2000-01-25
7.408602714538574,2000-01-26
6.6535868644714355,2000-01-27
6.512021541595459,2000-01-28
6.464831829071045,2000-01-31
6.747962951660156,2000-02-01
7.031092643737793,2000-02-02
6.795152187347412,2000-02-03
6.700773239135742,2000-02-04
6.559208393096924,2000-02-07
6.3232645988464355,2000-02-08
6.134512901306152,2000-02-09
6.276079177856445,2000-02-10
6.134512901306152,2000-02-11
5.945759296417236,2000-02-14
6.087325096130371,2000-02-15
5.851380825042725,2000-02-16
5.804193496704102,2000-02-17
5.190741062164307,2000-02-18
5.615438461303711,2000-02-22
5.804193496704102,2000-02-23
5.851380825042725,2000-02-24
5.615438461303711,2000-02-25
5.804193496704102,2000-02-28
6.276079177856445,2000-02-29
6.370455741882324,2000-03-01
6.606398582458496,2000-03-02
6.181702136993408,2000-03-03
