RL,Date
17.306671142578125,1997-12-23
17.69449806213379,1997-12-24
17.54906463623047,1997-12-26
17.01580238342285,1997-12-29
17.985363006591797,1997-12-30
18.809486389160156,1997-12-31
18.61557960510254,1998-01-02
19.100357055664062,1998-01-05
18.906444549560547,1998-01-06
18.7125244140625,1998-01-07
18.7125244140625,1998-01-08
18.179285049438477,1998-01-09
17.839923858642578,1998-01-12
18.033843994140625,1998-01-13
19.19732093811035,1998-01-14
19.100357055664062,1998-01-15
19.439708709716797,1998-01-16
20.06991958618164,1998-01-20
20.360790252685547,1998-01-21
20.26383399963379,1998-01-22
19.488187789916992,1998-01-23
20.021438598632812,1998-01-26
19.682092666625977,1998-01-27
19.536653518676758,1998-01-28
19.682092666625977,1998-01-29
19.97296714782715,1998-01-30
21.427305221557617,1998-02-02
20.797090530395508,1998-02-03
20.991003036499023,1998-02-04
20.84556770324707,1998-02-05
20.84556770324707,1998-02-06
21.039480209350586,1998-02-09
20.991003036499023,1998-02-10
21.039480209350586,1998-02-11
21.57274055480957,1998-02-12
21.33034324645996,1998-02-13
21.23339080810547,1998-02-17
20.942520141601562,1998-02-18
21.427305221557617,1998-02-19
22.057523727416992,1998-02-20
21.718172073364258,1998-02-23
21.815134048461914,1998-02-24
22.057523727416992,1998-02-25
22.15447235107422,1998-02-26
21.912086486816406,1998-02-27
21.718172073364258,1998-03-02
21.621212005615234,1998-03-03
21.718172073364258,1998-03-04
21.524269104003906,1998-03-05
21.718172073364258,1998-03-06
21.960561752319336,1998-03-09
22.833171844482422,1998-03-10
22.590774536132812,1998-03-11
23.17251968383789,1998-03-12
22.97859764099121,1998-03-13
23.60881996154785,1998-03-16
22.784690856933594,1998-03-17
22.68773651123047,1998-03-18
23.463380813598633,1998-03-19
23.17251968383789,1998-03-20
23.4149112701416,1998-03-23
23.899682998657227,1998-03-24
23.463380813598633,1998-03-25
23.4149112701416,1998-03-26
23.17251968383789,1998-03-27
23.220989227294922,1998-03-30
23.31794548034668,1998-03-31
23.220989227294922,1998-04-01
22.784690856933594,1998-04-02
22.881643295288086,1998-04-03
23.027090072631836,1998-04-06
22.881643295288086,1998-04-07
22.68773651123047,1998-04-08
22.590774536132812,1998-04-09
22.590774536132812,1998-04-13
22.10599708557129,1998-04-14
21.669694900512695,1998-04-15
