FSLR,Date
62.70000076293945,2014-06-02
62.93000030517578,2014-06-03
65.38999938964844,2014-06-04
64.0199966430664,2014-06-05
62.880001068115234,2014-06-06
62.56999969482422,2014-06-09
62.31999969482422,2014-06-10
63.540000915527344,2014-06-11
63.900001525878906,2014-06-12
64.47000122070312,2014-06-13
66.8499984741211,2014-06-16
69.12999725341797,2014-06-17
69.75,2014-06-18
68.2699966430664,2014-06-19
68.9000015258789,2014-06-20
70.1500015258789,2014-06-23
68.70999908447266,2014-06-24
70.18000030517578,2014-06-25
71.47000122070312,2014-06-26
71.4000015258789,2014-06-27
71.05999755859375,2014-06-30
70.69000244140625,2014-07-01
69.8499984741211,2014-07-02
69.5,2014-07-03
67.72000122070312,2014-07-07
64.38999938964844,2014-07-08
64.41999816894531,2014-07-09
63.66999816894531,2014-07-10
63.43000030517578,2014-07-11
63.27000045776367,2014-07-14
62.95000076293945,2014-07-15
63.459999084472656,2014-07-16
61.45000076293945,2014-07-17
62.36000061035156,2014-07-18
62.900001525878906,2014-07-21
63.470001220703125,2014-07-22
62.810001373291016,2014-07-23
63.29999923706055,2014-07-24
64.05000305175781,2014-07-25
65.52999877929688,2014-07-28
65.38999938964844,2014-07-29
65.58000183105469,2014-07-30
63.11000061035156,2014-07-31
62.029998779296875,2014-08-01
63.13999938964844,2014-08-04
63.65999984741211,2014-08-05
65.5999984741211,2014-08-06
68.16999816894531,2014-08-07
67.83000183105469,2014-08-08
69.16999816894531,2014-08-11
69.06999969482422,2014-08-12
69.5,2014-08-13
69.20999908447266,2014-08-14
69.12000274658203,2014-08-15
70.27999877929688,2014-08-18
70.16000366210938,2014-08-19
70.83000183105469,2014-08-20
70.69999694824219,2014-08-21
70.45999908447266,2014-08-22
71.16000366210938,2014-08-25
71.0199966430664,2014-08-26
70.0,2014-08-27
69.1500015258789,2014-08-28
69.68000030517578,2014-08-29
69.41000366210938,2014-09-02
71.66000366210938,2014-09-03
71.55000305175781,2014-09-04
71.47000122070312,2014-09-05
71.79000091552734,2014-09-08
70.9000015258789,2014-09-09
70.97000122070312,2014-09-10
71.62000274658203,2014-09-11
72.77999877929688,2014-09-12
69.91999816894531,2014-09-15
70.69000244140625,2014-09-16
71.69000244140625,2014-09-17
71.69000244140625,2014-09-18
70.87000274658203,2014-09-19
67.16999816894531,2014-09-22
67.75,2014-09-23
68.43000030517578,2014-09-24
67.19999694824219,2014-09-25
67.97000122070312,2014-09-26
67.5199966430664,2014-09-29
65.80999755859375,2014-09-30
63.709999084472656,2014-10-01
63.83000183105469,2014-10-02
64.0999984741211,2014-10-03
62.369998931884766,2014-10-06
60.41999816894531,2014-10-07
62.189998626708984,2014-10-08
56.4900016784668,2014-10-09
53.720001220703125,2014-10-10
50.5099983215332,2014-10-13
52.0,2014-10-14
53.2400016784668,2014-10-15
54.220001220703125,2014-10-16
53.22999954223633,2014-10-17
54.369998931884766,2014-10-20
56.349998474121094,2014-10-21
54.75,2014-10-22
56.27000045776367,2014-10-23
56.439998626708984,2014-10-24
54.290000915527344,2014-10-27
57.380001068115234,2014-10-28
56.15999984741211,2014-10-29
56.099998474121094,2014-10-30
58.900001525878906,2014-10-31
58.310001373291016,2014-11-03
56.869998931884766,2014-11-04
56.2599983215332,2014-11-05
56.40999984741211,2014-11-06
50.290000915527344,2014-11-07
51.959999084472656,2014-11-10
50.9900016784668,2014-11-11
49.59000015258789,2014-11-12
47.560001373291016,2014-11-13
48.4900016784668,2014-11-14
47.95000076293945,2014-11-17
