LW,Date
57.9257926940918,2019-06-20
57.4536247253418,2019-06-21
57.37806701660156,2019-06-24
59.05900192260742,2019-06-25
59.49339294433594,2019-06-26
58.265750885009766,2019-06-27
59.83335876464844,2019-06-28
59.04954528808594,2019-07-01
59.13454055786133,2019-07-02
60.173316955566406,2019-07-03
60.75880813598633,2019-07-05
60.806026458740234,2019-07-08
61.45761489868164,2019-07-09
62.5152702331543,2019-07-10
63.8184700012207,2019-07-11
62.260311126708984,2019-07-12
62.67582702636719,2019-07-15
63.07243347167969,2019-07-16
63.34630584716797,2019-07-17
64.17732238769531,2019-07-18
64.75335693359375,2019-07-19
63.799591064453125,2019-07-22
60.11664581298828,2019-07-23
59.95611572265625,2019-07-24
61.18376159667969,2019-07-25
61.07988739013672,2019-07-26
61.90145492553711,2019-07-29
63.780704498291016,2019-07-30
63.38406753540039,2019-07-31
63.033626556396484,2019-08-01
63.516666412353516,2019-08-02
61.906497955322266,2019-08-05
61.51816177368164,2019-08-06
62.15276336669922,2019-08-07
63.30829620361328,2019-08-08
63.516666412353516,2019-08-09
64.31230926513672,2019-08-12
63.743995666503906,2019-08-13
63.27040100097656,2019-08-14
64.31230926513672,2019-08-15
65.17422485351562,2019-08-16
66.41500091552734,2019-08-19
64.64380645751953,2019-08-20
64.82376098632812,2019-08-21
65.83722686767578,2019-08-22
64.785888671875,2019-08-23
65.23104858398438,2019-08-26
64.83321380615234,2019-08-27
65.1363296508789,2019-08-28
66.22555541992188,2019-08-29
66.67072296142578,2019-08-30
67.58946990966797,2019-09-03
68.5555648803711,2019-09-04
67.99674224853516,2019-09-05
67.4568862915039,2019-09-06
67.30531311035156,2019-09-09
66.84121704101562,2019-09-10
67.79783630371094,2019-09-11
68.1482925415039,2019-09-12
68.33770751953125,2019-09-13
69.32276916503906,2019-09-16
70.08997344970703,2019-09-17
69.85318756103516,2019-09-18
69.739501953125,2019-09-19
69.63533782958984,2019-09-20
70.22257995605469,2019-09-23
69.95736694335938,2019-09-24
69.95736694335938,2019-09-25
69.70162963867188,2019-09-26
69.4837875366211,2019-09-27
68.87762451171875,2019-09-30
69.68270111083984,2019-10-01
69.47431945800781,2019-10-02
73.76496887207031,2019-10-03
73.66077423095703,2019-10-04
71.89906311035156,2019-10-07
72.5241928100586,2019-10-08
71.94641876220703,2019-10-09
72.37263488769531,2019-10-10
72.0695571899414,2019-10-11
71.83274841308594,2019-10-14
71.51071166992188,2019-10-15
72.20215606689453,2019-10-16
72.97883605957031,2019-10-17
72.9030532836914,2019-10-18
72.76097106933594,2019-10-21
71.34971618652344,2019-10-22
70.85717010498047,2019-10-23
70.65824890136719,2019-10-24
71.03714752197266,2019-10-25
72.01271057128906,2019-10-28
72.95040130615234,2019-10-29
73.64183807373047,2019-10-30
74.10713958740234,2019-10-31
73.66083526611328,2019-11-01
73.3189697265625,2019-11-04
72.98660278320312,2019-11-05
75.0852279663086,2019-11-06
75.01876831054688,2019-11-07
74.97128295898438,2019-11-08
76.43367004394531,2019-11-11
76.08232879638672,2019-11-12
76.91796875,2019-11-13
76.95597076416016,2019-11-14
78.76020812988281,2019-11-15
79.15904235839844,2019-11-18
79.52938079833984,2019-11-19
79.28248596191406,2019-11-20
78.66523742675781,2019-11-21
78.73171997070312,2019-11-22
79.22551727294922,2019-11-25
79.62434387207031,2019-11-26
79.78578186035156,2019-11-27
79.7477798461914,2019-11-29
79.79528045654297,2019-12-02
80.15613555908203,2019-12-03
79.89022064208984,2019-12-04
80.15613555908203,2019-12-05
79.9757080078125,2019-12-06
79.9187240600586,2019-12-09
79.78578186035156,2019-12-10
80.12763214111328,2019-12-11
79.87124633789062,2019-12-12
79.86176300048828,2019-12-13
79.73831939697266,2019-12-16
79.85223388671875,2019-12-17
79.92821502685547,2019-12-18
79.95670318603516,2019-12-19
81.50457000732422,2019-12-20
81.19120025634766,2019-12-23
80.8493423461914,2019-12-24
81.80842590332031,2019-12-26
81.73245239257812,2019-12-27
81.14371490478516,2019-12-30
81.69448852539062,2019-12-31
79.85223388671875,2020-01-02
88.84502410888672,2020-01-03
86.1291275024414,2020-01-06
86.61341857910156,2020-01-07
86.66091918945312,2020-01-08
86.214599609375,2020-01-09
85.92022705078125,2020-01-10
86.63243865966797,2020-01-13
86.10064697265625,2020-01-14
86.30005645751953,2020-01-15
86.41401672363281,2020-01-16
