EQT,Date
0.5877346992492676,1980-11-21
0.5788294672966003,1980-11-24
0.5758614540100098,1980-11-25
0.5758614540100098,1980-11-26
0.5817980766296387,1980-11-28
0.5758614540100098,1980-12-01
0.5728930830955505,1980-12-02
0.5699247121810913,1980-12-03
0.5743768811225891,1980-12-04
0.5743768811225891,1980-12-05
0.5669559836387634,1980-12-08
0.5595354437828064,1980-12-09
0.5535986423492432,1980-12-10
0.5461775064468384,1980-12-11
0.549146294593811,1980-12-12
0.5521146059036255,1980-12-15
0.5565670728683472,1980-12-16
0.5610195398330688,1980-12-17
0.5728930830955505,1980-12-18
0.5936713814735413,1980-12-19
0.6010927557945251,1980-12-22
0.6010927557945251,1980-12-23
0.6010927557945251,1980-12-24
0.6010927557945251,1980-12-26
0.6010927557945251,1980-12-29
