SBNY,Date
118.01679992675781,2018-07-03
117.58106231689453,2018-07-05
119.14784240722656,2018-07-06
123.19914245605469,2018-07-09
120.0285415649414,2018-07-10
119.22199249267578,2018-07-11
115.64346313476562,2018-07-12
114.42901611328125,2018-07-13
114.8183822631836,2018-07-16
115.54150390625,2018-07-17
116.14411163330078,2018-07-18
110.05320739746094,2018-07-19
111.12863159179688,2018-07-20
108.61624145507812,2018-07-23
106.67864990234375,2018-07-24
106.14093780517578,2018-07-25
105.09333801269531,2018-07-26
103.71202850341797,2018-07-27
103.3597183227539,2018-07-30
102.22296142578125,2018-07-31
102.74476623535156,2018-08-01
103.4249267578125,2018-08-02
102.4000015258789,2018-08-03
102.15774536132812,2018-08-06
102.09252166748047,2018-08-07
103.63925170898438,2018-08-08
104.15170288085938,2018-08-09
103.93742370605469,2018-08-10
103.3876724243164,2018-08-13
106.35997009277344,2018-08-14
105.05552673339844,2018-08-15
109.50930786132812,2018-08-16
109.51863861083984,2018-08-17
109.90996551513672,2018-08-20
111.5684814453125,2018-08-21
111.05603790283203,2018-08-22
110.76716613769531,2018-08-23
109.7329330444336,2018-08-24
109.7329330444336,2018-08-27
109.17387390136719,2018-08-28
108.98751831054688,2018-08-29
107.64580535888672,2018-08-30
107.84146118164062,2018-08-31
109.22046661376953,2018-09-04
109.39749145507812,2018-09-05
111.01875305175781,2018-09-06
110.8230972290039,2018-09-07
110.74853515625,2018-09-10
111.22376251220703,2018-09-11
109.0806884765625,2018-09-12
109.75157165527344,2018-09-13
111.49394989013672,2018-09-14
111.12124633789062,2018-09-17
109.83541107177734,2018-09-18
111.2889633178711,2018-09-19
111.78279876708984,2018-09-20
110.31062316894531,2018-09-21
106.86312866210938,2018-09-24
107.4314956665039,2018-09-25
104.86915588378906,2018-09-26
106.1083984375,2018-09-27
107.00286865234375,2018-09-28
105.7356948852539,2018-10-01
105.93135833740234,2018-10-02
108.0091781616211,2018-10-03
107.82282257080078,2018-10-04
106.88175201416016,2018-10-05
108.08373260498047,2018-10-08
108.46575164794922,2018-10-09
107.64580535888672,2018-10-10
104.23558807373047,2018-10-11
101.7850341796875,2018-10-12
103.788330078125,2018-10-15
104.31942749023438,2018-10-16
104.93439483642578,2018-10-17
108.31665802001953,2018-10-18
105.10210418701172,2018-10-19
100.46196746826172,2018-10-22
100.72284698486328,2018-10-23
98.85000610351562,2018-10-24
100.61102294921875,2018-10-25
100.66693878173828,2018-10-26
105.6611557006836,2018-10-29
104.46851348876953,2018-10-30
102.91402435302734,2018-10-31
104.10328674316406,2018-11-01
103.8879165649414,2018-11-02
107.8958511352539,2018-11-05
107.25907135009766,2018-11-06
107.17478942871094,2018-11-07
108.85099029541016,2018-11-08
108.3827896118164,2018-11-09
106.63167572021484,2018-11-12
108.22357940673828,2018-11-13
107.21226501464844,2018-11-14
108.69182586669922,2018-11-15
110.2088394165039,2018-11-16
109.64697265625,2018-11-19
107.88648223876953,2018-11-20
108.75737762451172,2018-11-21
108.00822448730469,2018-11-23
110.80815887451172,2018-11-26
108.79483795166016,2018-11-27
111.37001037597656,2018-11-28
