ZTS,Date
99.341552734375,2019-05-24
98.97289276123047,2019-05-28
98.1288833618164,2019-05-29
99.27362823486328,2019-05-30
98.03186798095703,2019-05-31
100.84524536132812,2019-06-03
104.89070129394531,2019-06-04
105.25934600830078,2019-06-05
105.63771057128906,2019-06-06
106.77275848388672,2019-06-07
106.92796325683594,2019-06-10
106.86976623535156,2019-06-11
108.11153411865234,2019-06-12
106.74365234375,2019-06-13
107.48094940185547,2019-06-14
107.5003433227539,2019-06-17
109.99359130859375,2019-06-18
110.86670684814453,2019-06-19
109.59581756591797,2019-06-20
109.5085220336914,2019-06-21
110.0809097290039,2019-06-24
110.45926666259766,2019-06-25
109.67345428466797,2019-06-26
109.39212036132812,2019-06-27
110.10029602050781,2019-06-28
110.17792510986328,2019-07-01
111.16744232177734,2019-07-02
111.89506530761719,2019-07-03
110.76970672607422,2019-07-05
110.69208526611328,2019-07-08
109.87718963623047,2019-07-09
111.14806365966797,2019-07-10
110.93462371826172,2019-07-11
109.9256820678711,2019-07-12
110.17792510986328,2019-07-15
110.09062194824219,2019-07-16
110.28462982177734,2019-07-17
111.66810607910156,2019-07-18
110.84227752685547,2019-07-19
112.63963317871094,2019-07-22
112.63963317871094,2019-07-23
112.15386199951172,2019-07-24
111.38636779785156,2019-07-25
111.83326721191406,2019-07-26
112.2607421875,2019-07-29
112.49388885498047,2019-07-30
111.6195297241211,2019-07-31
112.40645599365234,2019-08-01
113.04768371582031,2019-08-02
109.36556243896484,2019-08-05
117.72074127197266,2019-08-06
117.44871520996094,2019-08-07
120.57706451416016,2019-08-08
121.50972747802734,2019-08-09
120.43134307861328,2019-08-12
121.1502685546875,2019-08-13
118.3231201171875,2019-08-14
120.15931701660156,2019-08-15
121.80119323730469,2019-08-16
123.14192962646484,2019-08-19
122.46185302734375,2019-08-20
124.00657653808594,2019-08-21
123.03504180908203,2019-08-22
119.56666564941406,2019-08-23
122.60755920410156,2019-08-26
121.67489624023438,2019-08-27
122.1897964477539,2019-08-28
123.07390594482422,2019-08-29
122.8213119506836,2019-08-30
123.42366027832031,2019-09-03
123.95801544189453,2019-09-04
124.42433166503906,2019-09-05
124.77407836914062,2019-09-06
123.05448150634766,2019-09-09
119.52781677246094,2019-09-10
117.26412200927734,2019-09-11
118.22595977783203,2019-09-12
117.57501983642578,2019-09-13
116.23432922363281,2019-09-16
118.93517303466797,2019-09-17
119.7318115234375,2019-09-18
120.73251342773438,2019-09-19
122.04408264160156,2019-09-20
121.51946258544922,2019-09-23
121.49031066894531,2019-09-24
121.22799682617188,2019-09-25
122.47154235839844,2019-09-26
120.37305450439453,2019-09-27
121.04338836669922,2019-09-30
121.55831909179688,2019-10-01
118.80889129638672,2019-10-02
120.74220275878906,2019-10-03
123.43338012695312,2019-10-04
122.48125457763672,2019-10-07
121.81090545654297,2019-10-08
122.83101654052734,2019-10-09
123.78312683105469,2019-10-10
124.81295776367188,2019-10-11
122.98646545410156,2019-10-14
125.04612731933594,2019-10-15
124.28831481933594,2019-10-16
124.81295776367188,2019-10-17
124.47291564941406,2019-10-18
123.00789642333984,2019-10-21
119.46700286865234,2019-10-22
118.48448181152344,2019-10-23
119.60318756103516,2019-10-24
120.97480773925781,2019-10-25
121.72383880615234,2019-10-28
122.72579956054688,2019-10-29
124.12660217285156,2019-10-30
124.43788146972656,2019-10-31
121.9281234741211,2019-11-01
121.3639144897461,2019-11-04
116.97669219970703,2019-11-05
118.16346740722656,2019-11-06
117.73544311523438,2019-11-07
114.6517562866211,2019-11-08
113.8443374633789,2019-11-11
114.00971221923828,2019-11-12
113.28013610839844,2019-11-13
113.0855484008789,2019-11-14
114.7101058959961,2019-11-15
115.566162109375,2019-11-18
117.05451202392578,2019-11-19
116.30545806884766,2019-11-20
116.94749450683594,2019-11-21
116.54866027832031,2019-11-22
117.3268814086914,2019-11-25
118.57205200195312,2019-11-26
118.31909942626953,2019-11-27
117.23931884765625,2019-11-29
116.64594268798828,2019-12-02
117.2490463256836,2019-12-03
116.4805679321289,2019-12-04
116.84049987792969,2019-12-05
118.40666961669922,2019-12-06
117.93001556396484,2019-12-09
119.43781280517578,2019-12-10
120.19658660888672,2019-12-11
120.94562530517578,2019-12-12
121.06236267089844,2019-12-13
123.01765441894531,2019-12-16
123.64020538330078,2019-12-17
123.53321838378906,2019-12-18
125.23556518554688,2019-12-19
129.06832885742188,2019-12-20
128.76673889160156,2019-12-23
129.30178833007812,2019-12-24
129.40878295898438,2019-12-26
129.622802734375,2019-12-27
128.61111450195312,2019-12-30
128.74734497070312,2019-12-31
130.48858642578125,2020-01-02
130.50808715820312,2020-01-03
129.506103515625,2020-01-06
129.9438018798828,2020-01-07
129.66172790527344,2020-01-08
131.383544921875,2020-01-09
131.87966918945312,2020-01-10
132.7940673828125,2020-01-13
133.5333709716797,2020-01-14
134.76882934570312,2020-01-15
135.64559936523438,2020-01-16
136.54180908203125,2020-01-17
138.26611328125,2020-01-21
137.8472137451172,2020-01-22
134.76881408691406,2020-01-23
132.7912139892578,2020-01-24
132.45028686523438,2020-01-27
134.6908721923828,2020-01-28
134.93441772460938,2020-01-29
134.466796875,2020-01-30
130.74542236328125,2020-01-31
132.02163696289062,2020-02-03
135.3825225830078,2020-02-04
134.33042907714844,2020-02-05
135.3825225830078,2020-02-06
135.3143310546875,2020-02-07
138.87014770507812,2020-02-10
140.31190490722656,2020-02-11
139.28903198242188,2020-02-12
141.1984405517578,2020-02-13
140.44833374023438,2020-02-14
139.94171142578125,2020-02-18
140.3411407470703,2020-02-19
139.84432983398438,2020-02-20
138.55836486816406,2020-02-21
134.81753540039062,2020-02-24
131.33966064453125,2020-02-25
132.6353302001953,2020-02-26
130.49212646484375,2020-02-27
129.79071044921875,2020-02-28
135.3240966796875,2020-03-02
133.6972198486328,2020-03-03
139.91250610351562,2020-03-04
135.95729064941406,2020-03-05
133.51211547851562,2020-03-06
126.37133026123047,2020-03-09
129.29388427734375,2020-03-10
126.90715026855469,2020-03-11
117.17501831054688,2020-03-12
122.24078369140625,2020-03-13
104.27680969238281,2020-03-16
108.18328857421875,2020-03-17
103.08831024169922,2020-03-18
99.68839263916016,2020-03-19
98.33428192138672,2020-03-20
90.26802062988281,2020-03-23
101.08148193359375,2020-03-24
105.41659545898438,2020-03-25
114.8662109375,2020-03-26
108.88470458984375,2020-03-27
113.66795349121094,2020-03-30
114.65188598632812,2020-03-31
109.03082275390625,2020-04-01
113.03474426269531,2020-04-02
111.6513900756836,2020-04-03
123.51696014404297,2020-04-06
122.85453796386719,2020-04-07
123.96510314941406,2020-04-08
125.42636108398438,2020-04-09
119.77609252929688,2020-04-13
124.5203857421875,2020-04-14
120.6138916015625,2020-04-15
124.36082458496094,2020-04-16
127.55158233642578,2020-04-17
124.30228424072266,2020-04-20
121.677490234375,2020-04-21
122.76057434082031,2020-04-22
120.6431655883789,2020-04-23
122.85816192626953,2020-04-24
124.33155822753906,2020-04-27
120.01869201660156,2020-04-28
122.50687408447266,2020-04-29
126.17575073242188,2020-04-30
124.43888854980469,2020-05-01
124.35108184814453,2020-05-04
128.1175079345703,2020-05-05
122.64349365234375,2020-05-06
121.2286376953125,2020-05-07
122.4288101196289,2020-05-08
123.3265151977539,2020-05-11
121.00421142578125,2020-05-12
120.04795837402344,2020-05-13
122.97525024414062,2020-05-14
124.39984130859375,2020-05-15
128.23460388183594,2020-05-18
131.08380126953125,2020-05-19
130.10806274414062,2020-05-20
127.17102813720703,2020-05-21
126.95636749267578,2020-05-22
127.28811645507812,2020-05-26
132.35231018066406,2020-05-27
134.76242065429688,2020-05-28
136.0113983154297,2020-05-29
134.9868927001953,2020-06-01
138.0507354736328,2020-06-02
139.0753173828125,2020-06-03
137.1140594482422,2020-06-04
137.59214782714844,2020-06-05
137.8751220703125,2020-06-08
135.43572998046875,2020-06-09
136.51882934570312,2020-06-10
127.8833236694336,2020-06-11
130.82037353515625,2020-06-12
130.0690155029297,2020-06-15
132.9377899169922,2020-06-16
133.47439575195312,2020-06-17
134.0696563720703,2020-06-18
134.0696563720703,2020-06-19
133.6208038330078,2020-06-22
134.76242065429688,2020-06-23
131.0447998046875,2020-06-24
132.03030395507812,2020-06-25
