NDX,Date
11291.26953125,2020-10-06
11503.1904296875,2020-10-07
11550.9404296875,2020-10-08
11725.849609375,2020-10-09
12088.1103515625,2020-10-12
12083.169921875,2020-10-13
11985.3603515625,2020-10-14
11898.5703125,2020-10-15
11852.169921875,2020-10-16
11634.349609375,2020-10-19
11677.83984375,2020-10-20
11665.3701171875,2020-10-21
11662.91015625,2020-10-22
11692.5703125,2020-10-23
11504.51953125,2020-10-26
11598.9501953125,2020-10-27
11350.740234375,2020-10-29
11052.9501953125,2020-10-30
11084.759765625,2020-11-02
11279.91015625,2020-11-03
11777.01953125,2020-11-04
12078.0703125,2020-11-05
12091.349609375,2020-11-06
11830.3896484375,2020-11-09
11624.2900390625,2020-11-10
11892.9296875,2020-11-11
11827.1396484375,2020-11-12
11937.83984375,2020-11-13
12013.3798828125,2020-11-16
11977.490234375,2020-11-17
11894.7099609375,2020-11-18
11985.4296875,2020-11-19
11906.4404296875,2020-11-20
11905.9404296875,2020-11-23
12079.8095703125,2020-11-24
12258.2099609375,2020-11-27
12268.3203125,2020-11-30
12455.330078125,2020-12-01
12456.41015625,2020-12-02
12467.1298828125,2020-12-03
12528.48046875,2020-12-04
12596.4697265625,2020-12-07
12635.7197265625,2020-12-08
12364.6396484375,2020-12-09
12401.740234375,2020-12-10
12375.41015625,2020-12-11
12462.2099609375,2020-12-14
12595.919921875,2020-12-15
12668.16015625,2020-12-16
12752.0595703125,2020-12-17
12738.1796875,2020-12-18
12690.259765625,2020-12-21
12717.5595703125,2020-12-22
12711.009765625,2020-12-24
12838.8603515625,2020-12-28
12843.490234375,2020-12-29
12845.3603515625,2020-12-30
12888.2802734375,2020-12-31
12694.66015625,2021-01-04
12802.3798828125,2021-01-05
12623.349609375,2021-01-06
12939.5703125,2021-01-07
13105.2001953125,2021-01-08
12902.490234375,2021-01-11
12892.08984375,2021-01-12
12973.6298828125,2021-01-13
12898.6904296875,2021-01-14
12803.9296875,2021-01-15
12996.5400390625,2021-01-19
13296.4501953125,2021-01-20
13404.990234375,2021-01-21
13366.400390625,2021-01-22
13483.2900390625,2021-01-25
13490.1904296875,2021-01-26
13112.650390625,2021-01-27
13201.5302734375,2021-01-28
12925.3798828125,2021-01-29
13248.900390625,2021-02-01
13456.1201171875,2021-02-02
13402.3701171875,2021-02-03
13560.8896484375,2021-02-04
13603.9599609375,2021-02-05
13695.01953125,2021-02-08
13687.080078125,2021-02-09
13655.26953125,2021-02-10
13734.349609375,2021-02-11
13807.7001953125,2021-02-12
13773.76953125,2021-02-16
13699.7099609375,2021-02-17
13637.509765625,2021-02-18
13580.7802734375,2021-02-19
13223.740234375,2021-02-22
13194.7099609375,2021-02-23
13302.1904296875,2021-02-24
12828.3095703125,2021-02-25
12909.4404296875,2021-02-26
13282.9501953125,2021-03-01
13059.9501953125,2021-03-02
12683.330078125,2021-03-03
12464.0,2021-03-04
12668.509765625,2021-03-05
12299.080078125,2021-03-08
12794.490234375,2021-03-09
12752.0703125,2021-03-10
13052.900390625,2021-03-11
13082.5400390625,2021-03-15
13152.2802734375,2021-03-16
13202.3798828125,2021-03-17
12866.990234375,2021-03-19
13086.509765625,2021-03-22
13017.7900390625,2021-03-23
12798.8798828125,2021-03-24
12780.509765625,2021-03-25
12979.1201171875,2021-03-26
12965.740234375,2021-03-29
12896.5302734375,2021-03-30
13091.4404296875,2021-03-31
13598.16015625,2021-04-05
13578.4599609375,2021-04-06
13616.7001953125,2021-04-07
13758.509765625,2021-04-08
13845.0498046875,2021-04-09
13819.349609375,2021-04-12
13986.490234375,2021-04-13
13803.91015625,2021-04-14
14026.1904296875,2021-04-15
14041.91015625,2021-04-16
13907.669921875,2021-04-19
13809.2998046875,2021-04-20
13935.150390625,2021-04-21
13762.3603515625,2021-04-22
13941.4404296875,2021-04-23
14026.16015625,2021-04-26
13960.2802734375,2021-04-27
13901.6201171875,2021-04-28
13970.2001953125,2021-04-29
13860.759765625,2021-04-30
13799.7197265625,2021-05-03
13544.669921875,2021-05-04
13503.3701171875,2021-05-05
13613.73046875,2021-05-06
13719.6298828125,2021-05-07
13359.080078125,2021-05-10
13351.26953125,2021-05-11
13001.6298828125,2021-05-12
13109.150390625,2021-05-13
