TSN,Date
9.058455467224121,1992-08-04
9.058455467224121,1992-08-05
9.284915924072266,1992-08-06
9.284915924072266,1992-08-07
9.228300094604492,1992-08-10
9.341537475585938,1992-08-11
9.398144721984863,1992-08-12
9.4547700881958,1992-08-13
9.4547700881958,1992-08-14
9.511377334594727,1992-08-17
9.567994117736816,1992-08-18
9.511377334594727,1992-08-19
9.567994117736816,1992-08-20
9.398144721984863,1992-08-21
9.228300094604492,1992-08-24
9.171690940856934,1992-08-25
9.176218032836914,1992-08-26
9.119572639465332,1992-08-27
9.176218032836914,1992-08-28
9.006291389465332,1992-08-31
8.8930025100708,1992-09-01
9.119572639465332,1992-09-02
9.006291389465332,1992-09-03
9.006291389465332,1992-09-04
8.836359977722168,1992-09-08
8.949644088745117,1992-09-09
8.949644088745117,1992-09-10
8.949644088745117,1992-09-11
8.949644088745117,1992-09-14
8.836359977722168,1992-09-15
8.8930025100708,1992-09-16
8.836359977722168,1992-09-17
8.949644088745117,1992-09-18
8.949644088745117,1992-09-21
9.176218032836914,1992-09-22
9.34614372253418,1992-09-23
9.572725296020508,1992-09-24
9.742653846740723,1992-09-25
9.629362106323242,1992-09-28
9.68600845336914,1992-09-29
10.139156341552734,1992-09-30
9.855938911437988,1992-10-01
9.742653846740723,1992-10-02
9.629362106323242,1992-10-05
9.402793884277344,1992-10-06
9.34614372253418,1992-10-07
9.629362106323242,1992-10-08
9.34614372253418,1992-10-09
9.45943832397461,1992-10-12
9.45943832397461,1992-10-13
9.34614372253418,1992-10-14
9.34614372253418,1992-10-15
9.45943832397461,1992-10-16
9.572725296020508,1992-10-19
9.51607894897461,1992-10-20
9.45943832397461,1992-10-21
9.51607894897461,1992-10-22
9.45943832397461,1992-10-23
9.51607894897461,1992-10-26
9.402793884277344,1992-10-27
9.34614372253418,1992-10-28
9.45943832397461,1992-10-29
9.45943832397461,1992-10-30
9.629362106323242,1992-11-02
9.51607894897461,1992-11-03
9.742653846740723,1992-11-04
9.45943832397461,1992-11-05
9.912588119506836,1992-11-06
9.969225883483887,1992-11-09
10.082514762878418,1992-11-10
10.36572551727295,1992-11-11
10.535660743713379,1992-11-12
10.42237377166748,1992-11-13
10.36572551727295,1992-11-16
10.252440452575684,1992-11-17
10.082514762878418,1992-11-18
10.195801734924316,1992-11-19
10.36572551727295,1992-11-20
10.42237377166748,1992-11-23
10.59691333770752,1992-11-24
10.653578758239746,1992-11-25
10.540243148803711,1992-11-27
10.710248947143555,1992-11-30
