TLAB,Date
0.47925999760627747,1981-03-24
0.47925999760627747,1981-03-25
0.5052499771118164,1981-03-26
0.5104399919509888,1981-03-27
0.5156400203704834,1981-03-30
0.5156400203704834,1981-03-31
0.5261399745941162,1981-04-01
0.5313299894332886,1981-04-02
0.5261399745941162,1981-04-03
0.5208399891853333,1981-04-06
0.5156400203704834,1981-04-07
0.5208399891853333,1981-04-08
0.5208399891853333,1981-04-09
0.5365300178527832,1981-04-10
0.5313299894332886,1981-04-13
0.5313299894332886,1981-04-14
0.5625200271606445,1981-04-15
0.5730100274085999,1981-04-16
0.5730100274085999,1981-04-20
0.5730100274085999,1981-04-21
0.5730100274085999,1981-04-22
0.5730100274085999,1981-04-23
0.5677199959754944,1981-04-24
0.5677199959754944,1981-04-27
0.5677199959754944,1981-04-28
