MSI,Date
0.44292113184928894,1962-09-11
0.4576858580112457,1962-09-12
0.45214924216270447,1962-09-13
0.4604540467262268,1962-09-14
0.46322187781333923,1962-09-17
0.4641449749469757,1962-09-18
0.4613771140575409,1962-09-19
0.4466129541397095,1962-09-20
0.4447672665119171,1962-09-21
0.42815759778022766,1962-09-24
0.4346451759338379,1962-09-25
0.4059159755706787,1962-09-26
0.4003552198410034,1962-09-27
0.4133296012878418,1962-09-28
0.4059159755706787,1962-10-01
0.4151836633682251,1962-10-02
0.4096229672431946,1962-10-03
0.4225972890853882,1962-10-04
0.4300112724304199,1962-10-05
0.42445045709609985,1962-10-08
0.43742555379867554,1962-10-09
0.4225972890853882,1962-10-10
0.4225972890853882,1962-10-11
0.42074358463287354,1962-10-12
0.42630425095558167,1962-10-15
