DOW,Date
43.26634216308594,2019-12-13
43.98907470703125,2019-12-16
44.3869743347168,2019-12-17
44.054039001464844,2019-12-18
44.27328872680664,2019-12-19
44.34636688232422,2019-12-20
44.606239318847656,2019-12-23
44.581878662109375,2019-12-24
44.841732025146484,2019-12-26
44.5250358581543,2019-12-27
44.12712860107422,2019-12-30
44.443824768066406,2019-12-31
43.648006439208984,2020-01-02
42.56797409057617,2020-01-03
42.39744186401367,2020-01-06
42.381202697753906,2020-01-07
42.81970977783203,2020-01-08
42.381202697753906,2020-01-09
41.820884704589844,2020-01-10
42.51112747192383,2020-01-13
42.42179870605469,2020-01-14
42.4461784362793,2020-01-15
42.61669921875,2020-01-16
43.3150634765625,2020-01-17
42.714141845703125,2020-01-21
41.309288024902344,2020-01-22
