Date,CTXS
2005-01-31,17.078
2005-02-01,17.4841
2005-02-02,17.7229
2005-02-03,17.4283
2005-02-04,17.5398
2005-02-07,17.4761
2005-02-08,17.4841
2005-02-09,17.1895
2005-02-10,17.1178
2005-02-11,17.086
2005-02-14,16.871
2005-02-15,17.3408
2005-02-16,17.2532
2005-02-17,17.1019
2005-02-18,17.1497
2005-02-22,16.7755
2005-02-23,16.8631
2005-02-24,17.2054
2005-02-25,17.5239
2005-02-28,17.914
2005-03-01,18.0892
2005-03-02,18.7341
2005-03-03,18.3917
2005-03-04,18.2962
2005-03-07,18.7341
2005-03-08,18.9331
2005-03-09,18.7978
2005-03-10,18.949
2005-03-11,18.6306
2005-03-14,18.9172
2005-03-15,18.949
2005-03-16,18.7102
2005-03-17,18.3599
2005-03-18,18.4873
2005-03-21,18.7182
2005-03-22,18.5271
2005-03-23,18.543
2005-03-24,18.8376
2005-03-28,18.7818
2005-03-29,18.3758
2005-03-30,18.8376
2005-03-31,18.965
2005-04-01,18.4713
2005-04-04,18.1768
2005-04-05,18.3121
2005-04-06,18.3519
2005-04-07,18.6863
2005-04-08,18.8615
2005-04-11,18.9172
2005-04-12,18.9092
2005-04-13,18.5589
2005-04-14,18.3121
2005-04-15,17.6831
2005-04-18,17.7548
2005-04-19,18.2962
2005-04-20,18.3599
2005-04-21,18.2643
2005-04-22,17.7787
2005-04-25,17.8025
2005-04-26,17.6274
2005-04-27,17.6672
2005-04-28,17.7627
2005-04-29,17.914
2005-05-02,18.0812
2005-05-03,18.1529
2005-05-04,18.1688
2005-05-05,17.8185
2005-05-06,18.0334
2005-05-09,18.121
2005-05-10,17.8185
2005-05-11,18.1369
2005-05-12,18.5111
2005-05-13,18.6624
2005-05-16,18.8854
2005-05-17,19.0844
2005-05-18,19.2038
2005-05-19,19.4825
2005-05-20,19.4984
2005-05-23,19.6656
2005-05-24,19.9045
2005-05-25,19.7611
2005-05-26,20.0398
2005-05-27,20.0239
2005-05-31,20.0318
