ATVI,Date
0.365480899810791,1994-07-14
0.3746396601200104,1994-07-15
0.3289184868335724,1994-07-18
0.3289184868335724,1994-07-19
0.3563799560070038,1994-07-20
0.3106587827205658,1994-07-21
0.3106587827205658,1994-07-22
0.3746396601200104,1994-07-25
0.3746396601200104,1994-07-26
0.3746396601200104,1994-07-27
0.31981056928634644,1994-07-28
0.3472290635108948,1994-07-29
0.3472290635108948,1994-08-01
0.3289184868335724,1994-08-02
0.3289184868335724,1994-08-03
0.365480899810791,1994-08-04
0.3289184868335724,1994-08-05
0.3289184868335724,1994-08-08
0.2923850417137146,1994-08-09
0.2923850417137146,1994-08-10
0.2923850417137146,1994-08-11
0.2923850417137146,1994-08-12
0.365480899810791,1994-08-15
0.365480899810791,1994-08-16
0.3152565658092499,1994-08-17
