MDB,Date
133.27999877929688,2019-05-07
133.10000610351562,2019-05-08
134.8800048828125,2019-05-09
135.6999969482422,2019-05-10
127.83999633789062,2019-05-13
133.33999633789062,2019-05-14
138.44000244140625,2019-05-15
146.86000061035156,2019-05-16
145.74000549316406,2019-05-17
145.0500030517578,2019-05-20
144.39999389648438,2019-05-21
142.4600067138672,2019-05-22
138.82000732421875,2019-05-23
139.77000427246094,2019-05-24
141.39999389648438,2019-05-28
137.49000549316406,2019-05-29
139.99000549316406,2019-05-30
140.33999633789062,2019-05-31
130.55999755859375,2019-06-03
138.2100067138672,2019-06-04
148.8699951171875,2019-06-05
147.74000549316406,2019-06-06
169.97000122070312,2019-06-07
172.36000061035156,2019-06-10
163.02999877929688,2019-06-11
166.32000732421875,2019-06-12
166.9600067138672,2019-06-13
165.67999267578125,2019-06-14
164.97000122070312,2019-06-17
166.36000061035156,2019-06-18
174.00999450683594,2019-06-19
173.74000549316406,2019-06-20
169.8699951171875,2019-06-21
165.3000030517578,2019-06-24
158.58999633789062,2019-06-25
150.69000244140625,2019-06-26
151.49000549316406,2019-06-27
152.08999633789062,2019-06-28
147.6699981689453,2019-07-01
154.0500030517578,2019-07-02
154.97999572753906,2019-07-03
155.89999389648438,2019-07-05
157.0399932861328,2019-07-08
157.72000122070312,2019-07-09
157.22999572753906,2019-07-10
158.0399932861328,2019-07-11
153.10000610351562,2019-07-12
153.1699981689453,2019-07-15
151.7899932861328,2019-07-16
160.7899932861328,2019-07-17
162.92999267578125,2019-07-18
164.0,2019-07-19
160.86000061035156,2019-07-22
155.97000122070312,2019-07-23
156.02000427246094,2019-07-24
155.6999969482422,2019-07-25
158.05999755859375,2019-07-26
144.88999938964844,2019-07-29
142.02999877929688,2019-07-30
143.22000122070312,2019-07-31
143.66000366210938,2019-08-01
140.77999877929688,2019-08-02
135.8800048828125,2019-08-05
139.0,2019-08-06
142.6300048828125,2019-08-07
149.50999450683594,2019-08-08
148.89999389648438,2019-08-09
143.50999450683594,2019-08-12
146.22999572753906,2019-08-13
142.27999877929688,2019-08-14
141.64999389648438,2019-08-15
143.7899932861328,2019-08-16
140.5800018310547,2019-08-19
139.19000244140625,2019-08-20
148.0800018310547,2019-08-21
142.33999633789062,2019-08-22
139.3699951171875,2019-08-23
146.64999389648438,2019-08-26
150.2100067138672,2019-08-27
147.97999572753906,2019-08-28
154.36000061035156,2019-08-29
152.30999755859375,2019-08-30
149.94000244140625,2019-09-03
158.66000366210938,2019-09-04
150.44000244140625,2019-09-05
140.6300048828125,2019-09-06
131.3699951171875,2019-09-09
129.02000427246094,2019-09-10
130.5800018310547,2019-09-11
128.52999877929688,2019-09-12
123.29000091552734,2019-09-13
132.0,2019-09-16
136.0,2019-09-17
134.27999877929688,2019-09-18
131.4600067138672,2019-09-19
131.82000732421875,2019-09-20
131.35000610351562,2019-09-23
124.0199966430664,2019-09-24
125.0,2019-09-25
126.66000366210938,2019-09-26
117.33000183105469,2019-09-27
120.4800033569336,2019-09-30
120.47000122070312,2019-10-01
120.73999786376953,2019-10-02
129.05999755859375,2019-10-03
131.2100067138672,2019-10-04
136.72000122070312,2019-10-07
127.5,2019-10-08
133.47000122070312,2019-10-09
132.47000122070312,2019-10-10
136.30999755859375,2019-10-11
137.5449981689453,2019-10-14
134.89999389648438,2019-10-15
121.47000122070312,2019-10-16
120.36000061035156,2019-10-17
116.86000061035156,2019-10-18
118.4800033569336,2019-10-21
114.7699966430664,2019-10-22
115.47000122070312,2019-10-23
122.43000030517578,2019-10-24
125.77999877929688,2019-10-25
128.02000427246094,2019-10-28
125.48999786376953,2019-10-29
132.6699981689453,2019-10-30
127.7699966430664,2019-10-31
128.16000366210938,2019-11-01
126.87999725341797,2019-11-04
125.05999755859375,2019-11-05
127.02999877929688,2019-11-06
123.76000213623047,2019-11-07
126.12999725341797,2019-11-08
126.80000305175781,2019-11-11
128.72000122070312,2019-11-12
130.92999267578125,2019-11-13
131.7899932861328,2019-11-14
134.77000427246094,2019-11-15
137.08999633789062,2019-11-18
140.99000549316406,2019-11-19
147.75,2019-11-20
146.47000122070312,2019-11-21
147.9199981689453,2019-11-22
146.8800048828125,2019-11-25
149.6300048828125,2019-11-26
149.77000427246094,2019-11-27
148.6999969482422,2019-11-29
137.42999267578125,2019-12-02
142.67999267578125,2019-12-03
136.47999572753906,2019-12-04
131.3699951171875,2019-12-05
131.1699981689453,2019-12-06
131.00999450683594,2019-12-09
129.17999267578125,2019-12-10
128.0,2019-12-11
124.7300033569336,2019-12-12
128.41000366210938,2019-12-13
132.25999450683594,2019-12-16
129.38999938964844,2019-12-17
129.17999267578125,2019-12-18
130.9600067138672,2019-12-19
130.67999267578125,2019-12-20
132.36000061035156,2019-12-23
132.5500030517578,2019-12-24
135.02000427246094,2019-12-26
134.1300048828125,2019-12-27
128.92999267578125,2019-12-30
131.61000061035156,2019-12-31
134.3300018310547,2020-01-02
135.2899932861328,2020-01-03
140.5,2020-01-06
138.86000061035156,2020-01-07
140.27000427246094,2020-01-08
149.9600067138672,2020-01-09
149.22999572753906,2020-01-10
152.91000366210938,2020-01-13
152.8300018310547,2020-01-14
152.3800048828125,2020-01-15
151.89999389648438,2020-01-16
149.38999938964844,2020-01-17
148.67999267578125,2020-01-21
149.9600067138672,2020-01-22
148.57000732421875,2020-01-23
152.11000061035156,2020-01-24
148.77000427246094,2020-01-27
152.57000732421875,2020-01-28
159.30999755859375,2020-01-29
167.42999267578125,2020-01-30
163.91000366210938,2020-01-31
163.3300018310547,2020-02-03
172.14999389648438,2020-02-04
163.2100067138672,2020-02-05
163.61000061035156,2020-02-06
164.11000061035156,2020-02-07
166.25,2020-02-10
166.80999755859375,2020-02-11
170.58999633789062,2020-02-12
169.91000366210938,2020-02-13
171.3300018310547,2020-02-14
176.89999389648438,2020-02-18
180.08999633789062,2020-02-19
178.10000610351562,2020-02-20
164.89999389648438,2020-02-21
153.85000610351562,2020-02-24
149.3800048828125,2020-02-25
151.25999450683594,2020-02-26
150.18499755859375,2020-02-27
152.5,2020-02-28
155.63999938964844,2020-03-02
155.16000366210938,2020-03-03
159.32000732421875,2020-03-04
159.05999755859375,2020-03-05
150.11000061035156,2020-03-06
127.8499984741211,2020-03-09
133.85000610351562,2020-03-10
123.8499984741211,2020-03-11
111.55000305175781,2020-03-12
115.16999816894531,2020-03-13
98.97000122070312,2020-03-16
114.5199966430664,2020-03-17
105.7300033569336,2020-03-18
122.18000030517578,2020-03-19
120.5,2020-03-20
125.56999969482422,2020-03-23
136.42999267578125,2020-03-24
134.3000030517578,2020-03-25
133.11000061035156,2020-03-26
132.11000061035156,2020-03-27
136.42999267578125,2020-03-30
136.5399932861328,2020-03-31
126.13999938964844,2020-04-01
125.08000183105469,2020-04-02
120.47000122070312,2020-04-03
132.4499969482422,2020-04-06
131.82000732421875,2020-04-07
135.32000732421875,2020-04-08
140.33999633789062,2020-04-09
141.89999389648438,2020-04-13
149.0,2020-04-14
149.91000366210938,2020-04-15
153.97999572753906,2020-04-16
154.19000244140625,2020-04-17
160.27999877929688,2020-04-20
152.24000549316406,2020-04-21
158.3300018310547,2020-04-22
158.08999633789062,2020-04-23
159.94000244140625,2020-04-24
160.375,2020-04-27
154.75,2020-04-28
159.07000732421875,2020-04-29
162.1300048828125,2020-04-30
155.9199981689453,2020-05-01
159.9499969482422,2020-05-04
167.82000732421875,2020-05-05
170.61000061035156,2020-05-06
175.42999267578125,2020-05-07
176.49000549316406,2020-05-08
187.44000244140625,2020-05-11
193.0,2020-05-12
194.11000061035156,2020-05-13
194.32000732421875,2020-05-14
196.27999877929688,2020-05-15
194.1699981689453,2020-05-18
200.22000122070312,2020-05-19
206.6199951171875,2020-05-20
208.9199981689453,2020-05-21
220.27999877929688,2020-05-22
216.4600067138672,2020-05-26
211.88999938964844,2020-05-27
215.60000610351562,2020-05-28
232.11000061035156,2020-05-29
238.3800048828125,2020-06-01
234.9199981689453,2020-06-02
233.9600067138672,2020-06-03
220.0399932861328,2020-06-04
197.97999572753906,2020-06-05
203.8800048828125,2020-06-08
201.6999969482422,2020-06-09
208.17999267578125,2020-06-10
196.83999633789062,2020-06-11
193.6699981689453,2020-06-12
201.74000549316406,2020-06-15
203.75,2020-06-16
208.17999267578125,2020-06-17
209.05999755859375,2020-06-18
205.94000244140625,2020-06-19
216.55999755859375,2020-06-22
216.7899932861328,2020-06-23
217.83999633789062,2020-06-24
224.02999877929688,2020-06-25
224.50999450683594,2020-06-26
220.4199981689453,2020-06-29
226.33999633789062,2020-06-30
228.77999877929688,2020-07-01
225.17999267578125,2020-07-02
222.02000427246094,2020-07-06
225.49000549316406,2020-07-07
234.0500030517578,2020-07-08
236.60000610351562,2020-07-09
228.33999633789062,2020-07-10
207.38999938964844,2020-07-13
209.9499969482422,2020-07-14
206.9600067138672,2020-07-15
204.92999267578125,2020-07-16
208.97000122070312,2020-07-17
222.0,2020-07-20
218.38999938964844,2020-07-21
216.7899932861328,2020-07-22
206.5399932861328,2020-07-23
204.63999938964844,2020-07-24
207.0,2020-07-27
201.5,2020-07-28
216.3000030517578,2020-07-29
228.5800018310547,2020-07-30
229.0800018310547,2020-07-31
219.6199951171875,2020-08-03
214.66000366210938,2020-08-04
217.74000549316406,2020-08-05
213.75,2020-08-06
199.64999389648438,2020-08-07
191.8000030517578,2020-08-10
191.67999267578125,2020-08-11
195.0,2020-08-12
199.47000122070312,2020-08-13
199.1300048828125,2020-08-14
204.99000549316406,2020-08-17
209.75,2020-08-18
212.69000244140625,2020-08-19
219.8000030517578,2020-08-20
216.66000366210938,2020-08-21
210.99000549316406,2020-08-24
216.3300018310547,2020-08-25
228.83999633789062,2020-08-26
227.2100067138672,2020-08-27
225.91000366210938,2020-08-28
