SANM,Date
14.296875,1995-06-27
13.6875,1995-06-28
14.71875,1995-06-29
14.25,1995-06-30
14.25,1995-07-03
14.4375,1995-07-05
14.53125,1995-07-06
14.8125,1995-07-07
15.46875,1995-07-10
16.03125,1995-07-11
17.25,1995-07-12
17.4375,1995-07-13
17.34375,1995-07-14
17.4375,1995-07-17
16.78125,1995-07-18
15.65625,1995-07-19
16.5,1995-07-20
17.625,1995-07-21
17.90625,1995-07-24
18.65625,1995-07-25
18.1875,1995-07-26
18.0,1995-07-27
18.0,1995-07-28
18.0,1995-07-31
17.8125,1995-08-01
17.34375,1995-08-02
16.78125,1995-08-03
17.109375,1995-08-04
17.0625,1995-08-07
17.15625,1995-08-08
17.25,1995-08-09
16.78125,1995-08-10
16.96875,1995-08-11
17.0625,1995-08-14
17.53125,1995-08-15
17.8125,1995-08-16
17.53125,1995-08-17
17.625,1995-08-18
17.34375,1995-08-21
17.4375,1995-08-22
17.296875,1995-08-23
17.15625,1995-08-24
17.34375,1995-08-25
17.4375,1995-08-28
17.0625,1995-08-29
17.203125,1995-08-30
17.0625,1995-08-31
17.15625,1995-09-01
17.25,1995-09-05
17.90625,1995-09-06
17.53125,1995-09-07
17.625,1995-09-08
18.46875,1995-09-11
18.65625,1995-09-12
18.328125,1995-09-13
18.1875,1995-09-14
17.8125,1995-09-15
17.71875,1995-09-18
18.09375,1995-09-19
17.484375,1995-09-20
17.015625,1995-09-21
16.40625,1995-09-22
16.078125,1995-09-25
15.75,1995-09-26
16.21875,1995-09-27
17.15625,1995-09-28
17.90625,1995-09-29
18.1875,1995-10-02
17.8125,1995-10-03
17.25,1995-10-04
16.78125,1995-10-05
16.40625,1995-10-06
15.65625,1995-10-09
14.8125,1995-10-10
15.164063453674316,1995-10-11
16.5,1995-10-12
16.59375,1995-10-13
16.5,1995-10-16
16.78125,1995-10-17
16.78125,1995-10-18
16.828125,1995-10-19
17.0625,1995-10-20
16.59375,1995-10-23
16.5,1995-10-24
16.96875,1995-10-25
17.53125,1995-10-26
18.5625,1995-10-27
19.6875,1995-10-30
20.25,1995-10-31
20.390625,1995-11-01
19.875,1995-11-02
19.40625,1995-11-03
19.875,1995-11-06
19.875,1995-11-07
19.3125,1995-11-08
19.078125,1995-11-09
18.703125,1995-11-10
18.65625,1995-11-13
18.796875,1995-11-14
18.890625,1995-11-15
19.125,1995-11-16
20.8125,1995-11-17
20.71875,1995-11-20
19.875,1995-11-21
18.65625,1995-11-22
18.28125,1995-11-24
18.5625,1995-11-27
18.75,1995-11-28
19.40625,1995-11-29
19.359375,1995-11-30
19.125,1995-12-01
19.40625,1995-12-04
18.984375,1995-12-05
19.125,1995-12-06
18.84375,1995-12-07
18.84375,1995-12-08
20.4375,1995-12-11
20.53125,1995-12-12
20.4375,1995-12-13
20.15625,1995-12-14
19.21875,1995-12-15
18.46875,1995-12-18
18.1875,1995-12-19
18.75,1995-12-20
18.796875,1995-12-21
19.3125,1995-12-22
19.40625,1995-12-26
19.78125,1995-12-27
19.552734375,1995-12-28
19.453125,1995-12-29
19.5,1996-01-02
18.796875,1996-01-03
17.53125,1996-01-04
18.28125,1996-01-05
17.8125,1996-01-08
17.4609375,1996-01-09
17.390625,1996-01-10
17.25,1996-01-11
17.8125,1996-01-12
16.875,1996-01-15
16.5,1996-01-16
17.71875,1996-01-17
17.90625,1996-01-18
17.8125,1996-01-19
17.765625,1996-01-22
18.28125,1996-01-23
19.875,1996-01-24
20.34375,1996-01-25
20.34375,1996-01-26
20.15625,1996-01-29
19.875,1996-01-30
19.78125,1996-01-31
20.34375,1996-02-01
21.46875,1996-02-02
21.375,1996-02-05
20.953125,1996-02-06
21.1875,1996-02-07
20.71875,1996-02-08
20.15625,1996-02-09
20.25,1996-02-12
19.6875,1996-02-13
19.59375,1996-02-14
20.34375,1996-02-15
20.625,1996-02-16
19.875,1996-02-20
19.96875,1996-02-21
20.34375,1996-02-22
19.875,1996-02-23
20.71875,1996-02-26
19.6875,1996-02-27
19.78125,1996-02-28
20.0625,1996-02-29
19.6875,1996-03-01
19.96875,1996-03-04
20.25,1996-03-05
19.78125,1996-03-06
19.21875,1996-03-07
18.1875,1996-03-08
19.3125,1996-03-11
18.5625,1996-03-12
18.65625,1996-03-13
19.96875,1996-03-14
19.875,1996-03-15
20.4375,1996-03-18
20.625,1996-03-19
21.0,1996-03-20
20.625,1996-03-21
20.8125,1996-03-22
20.8125,1996-03-25
21.375,1996-03-26
23.34375,1996-03-27
21.84375,1996-03-28
22.3125,1996-03-29
22.125,1996-04-01
22.5,1996-04-02
22.875,1996-04-03
21.84375,1996-04-04
21.5625,1996-04-08
21.84375,1996-04-09
22.3125,1996-04-10
22.875,1996-04-11
22.125,1996-04-12
22.875,1996-04-15
23.90625,1996-04-16
24.46875,1996-04-17
23.0625,1996-04-18
23.53125,1996-04-19
24.9375,1996-04-22
24.75,1996-04-23
25.5,1996-04-24
25.40625,1996-04-25
25.3125,1996-04-26
26.625,1996-04-29
26.625,1996-04-30
26.625,1996-05-01
25.6875,1996-05-02
26.0625,1996-05-03
26.25,1996-05-06
24.75,1996-05-07
24.1875,1996-05-08
25.3125,1996-05-09
25.875,1996-05-10
26.25,1996-05-13
26.4375,1996-05-14
26.25,1996-05-15
26.625,1996-05-16
26.4375,1996-05-17
26.71875,1996-05-20
26.4375,1996-05-21
26.25,1996-05-22
26.25,1996-05-23
26.8125,1996-05-24
28.3125,1996-05-28
27.9375,1996-05-29
27.375,1996-05-30
27.65625,1996-05-31
27.65625,1996-06-03
27.5625,1996-06-04
26.90625,1996-06-05
26.25,1996-06-06
24.9375,1996-06-07
24.5625,1996-06-10
24.5625,1996-06-11
24.1875,1996-06-12
24.0,1996-06-13
23.625,1996-06-14
22.96875,1996-06-17
22.3125,1996-06-18
22.6875,1996-06-19
23.25,1996-06-20
21.5625,1996-06-21
21.75,1996-06-24
21.28125,1996-06-25
21.0,1996-06-26
20.53125,1996-06-27
20.25,1996-06-28
20.4375,1996-07-01
21.375,1996-07-02
21.1875,1996-07-03
20.53125,1996-07-05
21.375,1996-07-08
22.125,1996-07-09
21.984375,1996-07-10
19.5,1996-07-11
18.5625,1996-07-12
17.25,1996-07-15
17.8125,1996-07-16
19.78125,1996-07-17
19.3125,1996-07-18
19.3125,1996-07-19
19.125,1996-07-22
19.5,1996-07-23
21.375,1996-07-24
22.5,1996-07-25
24.1875,1996-07-26
24.0,1996-07-29
24.09375,1996-07-30
23.8125,1996-07-31
24.1875,1996-08-01
24.515625,1996-08-02
23.71875,1996-08-05
24.09375,1996-08-06
23.71875,1996-08-07
23.71875,1996-08-08
23.625,1996-08-09
23.34375,1996-08-12
23.0625,1996-08-13
22.5,1996-08-14
23.25,1996-08-15
23.4375,1996-08-16
24.1875,1996-08-19
23.8125,1996-08-20
24.5625,1996-08-21
26.34375,1996-08-22
27.0,1996-08-23
25.359375,1996-08-26
26.625,1996-08-27
26.34375,1996-08-28
26.0625,1996-08-29
26.25,1996-08-30
26.0625,1996-09-03
25.59375,1996-09-04
24.9375,1996-09-05
24.375,1996-09-06
23.25,1996-09-09
23.4375,1996-09-10
23.25,1996-09-11
23.25,1996-09-12
24.46875,1996-09-13
26.4375,1996-09-16
25.96875,1996-09-17
26.0625,1996-09-18
26.109375,1996-09-19
26.671875,1996-09-20
27.65625,1996-09-23
29.53125,1996-09-24
29.625,1996-09-25
29.0625,1996-09-26
30.375,1996-09-27
30.1875,1996-09-30
29.34375,1996-10-01
28.78125,1996-10-02
28.59375,1996-10-03
29.34375,1996-10-04
30.375,1996-10-07
30.65625,1996-10-08
31.875,1996-10-09
31.3125,1996-10-10
32.4375,1996-10-11
32.90625,1996-10-14
33.65625,1996-10-15
33.0,1996-10-16
32.625,1996-10-17
32.625,1996-10-18
31.5,1996-10-21
30.75,1996-10-22
30.09375,1996-10-23
31.875,1996-10-24
34.6875,1996-10-25
35.0625,1996-10-28
35.0625,1996-10-29
34.6875,1996-10-30
34.3125,1996-10-31
35.0625,1996-11-01
34.6875,1996-11-04
34.125,1996-11-05
34.6875,1996-11-06
35.34375,1996-11-07
35.0625,1996-11-08
35.625,1996-11-11
34.40625,1996-11-12
34.40625,1996-11-13
34.5,1996-11-14
34.5,1996-11-15
34.59375,1996-11-18
34.5,1996-11-19
34.5,1996-11-20
33.5625,1996-11-21
32.25,1996-11-22
32.671875,1996-11-25
32.625,1996-11-26
32.625,1996-11-27
32.71875,1996-11-29
33.9375,1996-12-02
34.875,1996-12-03
34.78125,1996-12-04
35.25,1996-12-05
36.84375,1996-12-06
38.25,1996-12-09
39.375,1996-12-10
39.1875,1996-12-11
39.65625,1996-12-12
37.21875,1996-12-13
35.90625,1996-12-16
36.375,1996-12-17
38.625,1996-12-18
41.25,1996-12-19
39.5625,1996-12-20
40.21875,1996-12-23
39.609375,1996-12-24
39.5625,1996-12-26
40.5,1996-12-27
41.4375,1996-12-30
42.375,1996-12-31
41.25,1997-01-02
39.375,1997-01-03
39.84375,1997-01-06
39.375,1997-01-07
39.5625,1997-01-08
40.875,1997-01-09
42.9375,1997-01-10
43.21875,1997-01-13
41.0625,1997-01-14
41.0625,1997-01-15
41.25,1997-01-16
42.5625,1997-01-17
43.96875,1997-01-20
44.25,1997-01-21
44.0625,1997-01-22
44.4375,1997-01-23
45.0,1997-01-24
45.9375,1997-01-27
48.0,1997-01-28
44.4375,1997-01-29
44.625,1997-01-30
44.625,1997-01-31
43.96875,1997-02-03
43.78125,1997-02-04
41.71875,1997-02-05
40.125,1997-02-06
38.0625,1997-02-07
37.21875,1997-02-10
35.8125,1997-02-11
38.0625,1997-02-12
39.0,1997-02-13
36.75,1997-02-14
37.5,1997-02-18
37.5,1997-02-19
37.875,1997-02-20
38.25,1997-02-21
38.0625,1997-02-24
39.375,1997-02-25
39.1875,1997-02-26
36.0,1997-02-27
34.6875,1997-02-28
34.5,1997-03-03
36.84375,1997-03-04
36.796875,1997-03-05
34.96875,1997-03-06
33.84375,1997-03-07
33.328125,1997-03-10
32.625,1997-03-11
32.34375,1997-03-12
31.875,1997-03-13
33.375,1997-03-14
33.9375,1997-03-17
32.90625,1997-03-18
30.09375,1997-03-19
31.5,1997-03-20
33.75,1997-03-21
33.375,1997-03-24
33.375,1997-03-25
34.96875,1997-03-26
34.125,1997-03-27
33.5625,1997-03-31
33.421875,1997-04-01
32.8125,1997-04-02
35.296875,1997-04-03
38.25,1997-04-04
38.5546875,1997-04-07
39.09375,1997-04-08
38.53125,1997-04-09
35.25,1997-04-10
35.625,1997-04-11
38.25,1997-04-14
34.734375,1997-04-15
33.65625,1997-04-16
34.359375,1997-04-17
34.3125,1997-04-18
33.5625,1997-04-21
34.125,1997-04-22
35.859375,1997-04-23
35.71875,1997-04-24
33.75,1997-04-25
34.875,1997-04-28
37.125,1997-04-29
37.5,1997-04-30
37.5,1997-05-01
40.3125,1997-05-02
42.46875,1997-05-05
42.28125,1997-05-06
42.65625,1997-05-07
44.296875,1997-05-08
44.015625,1997-05-09
44.34375,1997-05-12
43.78125,1997-05-13
42.84375,1997-05-14
42.890625,1997-05-15
41.71875,1997-05-16
40.6875,1997-05-19
42.1875,1997-05-20
43.3125,1997-05-21
42.65625,1997-05-22
43.359375,1997-05-23
44.25,1997-05-27
44.203125,1997-05-28
44.0625,1997-05-29
43.453125,1997-05-30
43.59375,1997-06-02
42.984375,1997-06-03
41.8125,1997-06-04
43.21875,1997-06-05
42.5625,1997-06-06
43.125,1997-06-09
40.03125,1997-06-10
39.9375,1997-06-11
39.5625,1997-06-12
41.4375,1997-06-13
42.65625,1997-06-16
44.625,1997-06-17
49.5,1997-06-18
47.8125,1997-06-19
46.125,1997-06-20
46.3125,1997-06-23
47.4375,1997-06-24
45.75,1997-06-25
45.9375,1997-06-26
46.96875,1997-06-27
47.625,1997-06-30
45.8203125,1997-07-01
46.453125,1997-07-02
46.6875,1997-07-03
46.5,1997-07-07
48.65625,1997-07-08
48.375,1997-07-09
50.8125,1997-07-10
52.3125,1997-07-11
51.46875,1997-07-14
50.0625,1997-07-15
52.21875,1997-07-16
51.5625,1997-07-17
50.25,1997-07-18
49.59375,1997-07-21
50.484375,1997-07-22
56.0625,1997-07-23
54.75,1997-07-24
55.96875,1997-07-25
54.65625,1997-07-28
54.703125,1997-07-29
54.09375,1997-07-30
55.03125,1997-07-31
55.0546875,1997-08-01
56.53125,1997-08-04
58.5,1997-08-05
60.75,1997-08-06
60.0,1997-08-07
59.25,1997-08-08
58.6875,1997-08-11
56.71875,1997-08-12
57.1875,1997-08-13
56.25,1997-08-14
54.5625,1997-08-15
55.21875,1997-08-18
55.453125,1997-08-19
56.71875,1997-08-20
55.6875,1997-08-21
57.0703125,1997-08-22
58.125,1997-08-25
57.46875,1997-08-26
58.40625,1997-08-27
60.0,1997-08-28
59.4375,1997-08-29
59.625,1997-09-02
57.65625,1997-09-03
60.0,1997-09-04
61.5,1997-09-05
62.8125,1997-09-08
61.640625,1997-09-09
62.296875,1997-09-10
61.546875,1997-09-11
62.15625,1997-09-12
62.34375,1997-09-15
63.9375,1997-09-16
64.453125,1997-09-17
64.3125,1997-09-18
64.921875,1997-09-19
67.59375,1997-09-22
66.890625,1997-09-23
64.265625,1997-09-24
62.8125,1997-09-25
61.78125,1997-09-26
63.84375,1997-09-29
64.921875,1997-09-30
64.125,1997-10-01
63.234375,1997-10-02
62.296875,1997-10-03
62.0625,1997-10-06
63.28125,1997-10-07
65.0625,1997-10-08
66.0,1997-10-09
63.84375,1997-10-10
61.03125,1997-10-13
55.875,1997-10-14
57.046875,1997-10-15
55.21875,1997-10-16
54.375,1997-10-17
57.9375,1997-10-20
57.75,1997-10-21
57.9375,1997-10-22
56.25,1997-10-23
55.78125,1997-10-24
48.46875,1997-10-27
59.0625,1997-10-28
57.28125,1997-10-29
56.4375,1997-10-30
56.0625,1997-10-31
56.25,1997-11-03
58.03125,1997-11-04
57.375,1997-11-05
57.1875,1997-11-06
53.8125,1997-11-07
53.90625,1997-11-10
54.9375,1997-11-11
52.40625,1997-11-12
53.578125,1997-11-13
55.6875,1997-11-14
56.34375,1997-11-17
56.71875,1997-11-18
55.875,1997-11-19
56.4375,1997-11-20
55.125,1997-11-21
52.5,1997-11-24
50.90625,1997-11-25
51.5625,1997-11-26
51.0,1997-11-28
52.78125,1997-12-01
50.296875,1997-12-02
47.8125,1997-12-03
48.703125,1997-12-04
49.96875,1997-12-05
54.1875,1997-12-08
51.1875,1997-12-09
48.0,1997-12-10
45.796875,1997-12-11
43.078125,1997-12-12
45.09375,1997-12-15
45.890625,1997-12-16
48.5625,1997-12-17
46.828125,1997-12-18
47.578125,1997-12-19
48.1875,1997-12-22
45.375,1997-12-23
43.78125,1997-12-24
