TPR,Date
4.816868782043457,2002-05-21
4.60438346862793,2002-05-22
4.567981719970703,2002-05-23
4.665334224700928,2002-05-24
4.476555824279785,2002-05-28
4.325867176055908,2002-05-29
4.275076866149902,2002-05-30
4.42406702041626,2002-05-31
4.244600296020508,2002-06-03
4.051587104797363,2002-06-04
4.402059078216553,2002-06-05
4.472322463989258,2002-06-06
4.639091968536377,2002-06-07
4.767767429351807,2002-06-10
4.608615875244141,2002-06-11
4.587451934814453,2002-06-12
4.440998554229736,2002-06-13
4.440998554229736,2002-06-14
4.633166313171387,2002-06-17
4.676340103149414,2002-06-18
4.67888069152832,2002-06-19
4.593376636505127,2002-06-20
4.656021595001221,2002-06-21
4.497716903686523,2002-06-24
4.3275604248046875,2002-06-25
4.503643989562988,2002-06-26
4.664487838745117,2002-06-27
4.647556781768799,2002-06-28
4.461316108703613,2002-07-01
4.330948352813721,2002-07-02
4.269149303436279,2002-07-03
4.369890213012695,2002-07-05
4.358035564422607,2002-07-08
4.170103549957275,2002-07-09
3.927990436553955,2002-07-10
3.9296822547912598,2002-07-11
3.8433351516723633,2002-07-12
3.6824893951416016,2002-07-15
3.5555078983306885,2002-07-16
3.5047149658203125,2002-07-17
3.4505364894866943,2002-07-18
3.3049299716949463,2002-07-19
3.2541377544403076,2002-07-22
3.0695879459381104,2002-07-23
3.557201623916626,2002-07-24
3.5233402252197266,2002-07-25
3.7078888416290283,2002-07-26
4.1853413581848145,2002-07-29
3.9821693897247314,2002-07-30
3.8602664470672607,2002-07-31
3.778996706008911,2002-08-01
3.778996706008911,2002-08-02
3.6740245819091797,2002-08-05
3.9787826538085938,2002-08-06
3.927990436553955,2002-08-07
3.9737038612365723,2002-08-08
4.156558513641357,2002-08-09
4.02280330657959,2002-08-12
4.2073516845703125,2002-08-13
4.317403316497803,2002-08-14
4.567981719970703,2002-08-15
4.615388870239258,2002-08-16
4.6136932373046875,2002-08-19
4.622160911560059,2002-08-20
4.567981719970703,2002-08-21
4.571368217468262,2002-08-22
4.49009895324707,2002-08-23
4.556129455566406,2002-08-26
4.49009895324707,2002-08-27
4.354650497436523,2002-08-28
4.234439849853516,2002-08-29
4.170103549957275,2002-08-30
4.422374248504639,2002-09-03
4.8930559158325195,2002-09-04
4.693270206451416,2002-09-05
4.940463542938232,2002-09-06
4.970940589904785,2002-09-09
4.969246864318848,2002-09-10
