PFE,Date
0.17294053733348846,1973-02-12
0.1765541285276413,1973-02-13
0.17397311329841614,1973-02-14
0.17603802680969238,1973-02-15
0.17603802680969238,1973-02-16
0.17707036435604095,1973-02-20
0.1786191165447235,1973-02-21
0.17965154349803925,1973-02-22
0.1775866001844406,1973-02-23
0.1765541285276413,1973-02-26
0.1775866001844406,1973-02-27
0.1756591647863388,1973-02-28
0.1756591647863388,1973-03-01
0.17514097690582275,1973-03-02
0.17462296783924103,1973-03-05
0.17514097690582275,1973-03-06
0.17876802384853363,1973-03-07
0.18084082007408142,1973-03-08
0.18187715113162994,1973-03-09
0.17980459332466125,1973-03-12
0.17928634583950043,1973-03-13
0.17876802384853363,1973-03-14
0.1772136092185974,1973-03-15
0.17876802384853363,1973-03-16
0.1772136092185974,1973-03-19
