PEP,Date
0.27822908759117126,1974-04-05
0.2758356034755707,1974-04-08
0.27822908759117126,1974-04-09
0.27822908759117126,1974-04-10
0.27822908759117126,1974-04-11
0.28421249985694885,1974-04-15
0.2925889492034912,1974-04-16
0.2925889492034912,1974-04-17
0.3009658753871918,1974-04-18
0.2955811321735382,1974-04-19
0.2925889492034912,1974-04-22
0.28421249985694885,1974-04-23
0.27822908759117126,1974-04-24
0.27822908759117126,1974-04-25
0.2866055965423584,1974-04-26
0.2866055965423584,1974-04-29
0.28421249985694885,1974-04-30
0.2866055965423584,1974-05-01
0.28421249985694885,1974-05-02
0.2758356034755707,1974-05-03
0.2758356034755707,1974-05-06
0.2758356034755707,1974-05-07
0.2674587368965149,1974-05-08
0.2758356034755707,1974-05-09
0.27284398674964905,1974-05-10
0.2584836483001709,1974-05-13
0.2584836483001709,1974-05-14
0.2644669711589813,1974-05-15
0.2674587368965149,1974-05-16
0.2584836483001709,1974-05-17
0.250107079744339,1974-05-20
0.250107079744339,1974-05-21
0.250107079744339,1974-05-22
0.250107079744339,1974-05-23
0.2644669711589813,1974-05-24
0.2674587368965149,1974-05-28
0.27284398674964905,1974-05-29
0.2674587368965149,1974-05-30
0.2674587368965149,1974-05-31
0.26890257000923157,1974-06-03
0.2857467234134674,1974-06-04
0.294168621301651,1974-06-05
0.2971768081188202,1974-06-06
0.30259081721305847,1974-06-07
0.30259081721305847,1974-06-10
0.3055987060070038,1974-06-11
0.3055987060070038,1974-06-12
0.30800488591194153,1974-06-13
0.30800488591194153,1974-06-14
0.30800488591194153,1974-06-17
0.3055987060070038,1974-06-18
0.30259081721305847,1974-06-19
0.2971768081188202,1974-06-20
0.2881530225276947,1974-06-21
0.2881530225276947,1974-06-24
0.30259081721305847,1974-06-25
0.2971768081188202,1974-06-26
0.294168621301651,1974-06-27
0.294168621301651,1974-06-28
0.294168621301651,1974-07-01
0.2857467234134674,1974-07-02
0.2857467234134674,1974-07-03
0.2773248553276062,1974-07-05
0.2743169665336609,1974-07-08
0.2773248553276062,1974-07-09
0.2743169665336609,1974-07-10
0.2743169665336609,1974-07-11
0.2773248553276062,1974-07-12
0.27973103523254395,1974-07-15
0.2743169665336609,1974-07-16
0.2743169665336609,1974-07-17
0.25747302174568176,1974-07-18
0.25747302174568176,1974-07-19
0.25747302174568176,1974-07-22
0.25145748257637024,1974-07-23
0.2490505576133728,1974-07-24
0.25145748257637024,1974-07-25
0.2406286895275116,1974-07-26
0.2376210242509842,1974-07-29
0.2376210242509842,1974-07-30
0.2376210242509842,1974-07-31
0.2376210242509842,1974-08-01
0.2376210242509842,1974-08-02
0.2376210242509842,1974-08-05
0.2376210242509842,1974-08-06
0.24303504824638367,1974-08-07
0.2376210242509842,1974-08-08
0.22919899225234985,1974-08-09
0.22919899225234985,1974-08-12
0.21476151049137115,1974-08-13
0.20633910596370697,1974-08-14
0.20333130657672882,1974-08-15
0.20092494785785675,1974-08-16
0.20333130657672882,1974-08-19
0.20333130657672882,1974-08-20
0.20333130657672882,1974-08-21
0.20333130657672882,1974-08-22
0.20092494785785675,1974-08-23
0.19490934908390045,1974-08-26
0.20092494785785675,1974-08-27
0.20333130657672882,1974-08-28
0.19490934908390045,1974-08-29
0.20092494785785675,1974-08-30
0.20262356102466583,1974-09-03
0.19655700027942657,1974-09-04
0.20505021512508392,1974-09-05
0.20505021512508392,1974-09-06
0.20505021512508392,1974-09-09
0.20505021512508392,1974-09-10
0.20505021512508392,1974-09-11
0.20262356102466583,1974-09-12
0.19655700027942657,1974-09-13
0.19655700027942657,1974-09-16
0.19655700027942657,1974-09-17
0.19413059949874878,1974-09-18
0.19655700027942657,1974-09-19
0.19655700027942657,1974-09-20
0.18806388974189758,1974-09-23
0.18563713133335114,1974-09-24
0.17957058548927307,1974-09-25
0.17653724551200867,1974-09-26
0.16561740636825562,1974-09-27
0.15105770528316498,1974-09-30
0.1571243703365326,1974-10-01
0.15105770528316498,1974-10-02
0.14256444573402405,1974-10-03
0.14802442491054535,1974-10-04
0.1571243703365326,1974-10-07
0.1571243703365326,1974-10-08
0.16561740636825562,1974-10-09
0.1741107851266861,1974-10-10
0.18806388974189758,1974-10-11
0.19655700027942657,1974-10-14
0.19413059949874878,1974-10-15
0.19413059949874878,1974-10-16
0.18806388974189758,1974-10-17
0.19413059949874878,1974-10-18
0.19655700027942657,1974-10-21
0.21415014564990997,1974-10-22
0.20262356102466583,1974-10-23
0.19655700027942657,1974-10-24
0.19655700027942657,1974-10-25
0.19655700027942657,1974-10-28
0.19655700027942657,1974-10-29
0.19655700027942657,1974-10-30
0.20505021512508392,1974-10-31
0.20808331668376923,1974-11-01
0.20808331668376923,1974-11-04
0.2226434051990509,1974-11-05
0.2250697910785675,1974-11-06
0.21657678484916687,1974-11-07
0.20808331668376923,1974-11-08
0.20808331668376923,1974-11-11
0.20505021512508392,1974-11-12
0.19655700027942657,1974-11-13
0.19413059949874878,1974-11-14
0.19413059949874878,1974-11-15
0.18563713133335114,1974-11-18
0.18563713133335114,1974-11-19
0.18563713133335114,1974-11-20
0.18806388974189758,1974-11-21
0.18806388974189758,1974-11-22
0.18806388974189758,1974-11-25
0.19413059949874878,1974-11-26
0.19413059949874878,1974-11-27
0.19413059949874878,1974-11-29
0.18563713133335114,1974-12-02
0.17957058548927307,1974-12-03
0.18740972876548767,1974-12-04
0.18740972876548767,1974-12-05
0.1812853366136551,1974-12-06
0.1812853366136551,1974-12-09
0.1898597776889801,1974-12-10
0.1898597776889801,1974-12-11
0.1898597776889801,1974-12-12
0.1898597776889801,1974-12-13
0.1898597776889801,1974-12-16
0.19598433375358582,1974-12-17
0.19598433375358582,1974-12-18
0.19598433375358582,1974-12-19
0.19598433375358582,1974-12-20
0.1898597776889801,1974-12-23
0.1898597776889801,1974-12-24
0.1898597776889801,1974-12-26
0.1898597776889801,1974-12-27
0.19598433375358582,1974-12-30
0.1984340101480484,1974-12-31
0.2100704312324524,1975-01-02
0.20700803399085999,1975-01-03
0.21864476799964905,1975-01-06
0.21619513630867004,1975-01-07
0.2100704312324524,1975-01-08
0.21619513630867004,1975-01-09
0.21619513630867004,1975-01-10
0.22476926445960999,1975-01-13
0.22476926445960999,1975-01-14
0.22476926445960999,1975-01-15
0.23334349691867828,1975-01-16
0.23334349691867828,1975-01-17
0.22721900045871735,1975-01-20
0.21864476799964905,1975-01-21
0.21864476799964905,1975-01-22
0.22476926445960999,1975-01-23
0.21864476799964905,1975-01-24
0.2357936054468155,1975-01-27
0.2419179528951645,1975-01-28
0.24498024582862854,1975-01-29
0.24498024582862854,1975-01-30
0.24498024582862854,1975-01-31
0.2474299520254135,1975-02-03
0.2474299520254135,1975-02-04
0.25355446338653564,1975-02-05
0.26212891936302185,1975-02-06
0.26457852125167847,1975-02-07
0.26212891936302185,1975-02-10
0.26212891936302185,1975-02-11
0.26457852125167847,1975-02-12
0.2823396921157837,1975-02-13
0.29091405868530273,1975-02-14
0.2933638095855713,1975-02-18
0.2823396921157837,1975-02-19
0.2737654447555542,1975-02-20
0.2737654447555542,1975-02-21
0.2737654447555542,1975-02-24
0.25355446338653564,1975-02-25
0.26212891936302185,1975-02-26
0.26212891936302185,1975-02-27
0.25355446338653564,1975-02-28
0.26212891936302185,1975-03-03
0.27556806802749634,1975-03-04
0.28111645579338074,1975-03-05
0.27556806802749634,1975-03-06
0.27556806802749634,1975-03-07
0.27556806802749634,1975-03-10
0.28111645579338074,1975-03-11
0.27556806802749634,1975-03-12
