WMT,Date
0.02409810572862625,1973-05-09
0.02409810572862625,1973-05-10
0.023830490186810493,1973-05-11
0.02289331704378128,1973-05-14
0.02275952510535717,1973-05-15
0.02275952510535717,1973-05-16
0.023027140647172928,1973-05-17
0.023160941898822784,1973-05-18
0.02289331704378128,1973-05-21
0.02289331704378128,1973-05-22
0.022491930052638054,1973-05-23
0.02222377061843872,1973-05-24
0.023027140647172928,1973-05-25
0.024231893941760063,1973-05-29
0.023562883958220482,1973-05-30
0.023562883958220482,1973-05-31
0.023562883958220482,1973-06-01
0.023562883958220482,1973-06-04
0.023294731974601746,1973-06-05
0.021420955657958984,1973-06-06
0.021286610513925552,1973-06-07
0.021286610513925552,1973-06-08
0.021019011735916138,1973-06-11
0.02008185349404812,1973-06-12
0.018743274733424187,1973-06-13
