UBER,Date
45.720001220703125,2021-11-03
45.27000045776367,2021-11-04
47.189998626708984,2021-11-05
45.88999938964844,2021-11-08
45.5099983215332,2021-11-09
43.380001068115234,2021-11-10
43.279998779296875,2021-11-11
45.119998931884766,2021-11-12
43.61000061035156,2021-11-15
45.7599983215332,2021-11-16
44.11000061035156,2021-11-17
45.0,2021-11-18
44.22999954223633,2021-11-19
42.599998474121094,2021-11-22
42.68000030517578,2021-11-23
42.08000183105469,2021-11-24
40.52000045776367,2021-11-26
39.70000076293945,2021-11-29
38.0,2021-11-30
36.02000045776367,2021-12-01
38.119998931884766,2021-12-02
35.849998474121094,2021-12-03
38.4900016784668,2021-12-06
38.08000183105469,2021-12-07
38.810001373291016,2021-12-08
37.540000915527344,2021-12-09
36.66999816894531,2021-12-10
35.72999954223633,2021-12-13
37.2599983215332,2021-12-14
37.83000183105469,2021-12-15
37.70000076293945,2021-12-16
39.68000030517578,2021-12-17
39.70000076293945,2021-12-20
41.970001220703125,2021-12-21
43.02000045776367,2021-12-22
43.90999984741211,2021-12-23
42.959999084472656,2021-12-27
42.540000915527344,2021-12-28
42.459999084472656,2021-12-29
42.65999984741211,2021-12-30
41.93000030517578,2021-12-31
43.95000076293945,2022-01-03
44.41999816894531,2022-01-04
43.2400016784668,2022-01-05
42.029998779296875,2022-01-06
41.5099983215332,2022-01-07
42.599998474121094,2022-01-10
43.619998931884766,2022-01-11
43.040000915527344,2022-01-12
42.869998931884766,2022-01-13
41.5099983215332,2022-01-14
38.40999984741211,2022-01-18
37.86000061035156,2022-01-19
37.81999969482422,2022-01-20
35.939998626708984,2022-01-21
36.279998779296875,2022-01-24
34.81999969482422,2022-01-25
34.79999923706055,2022-01-26
34.09000015258789,2022-01-27
35.209999084472656,2022-01-28
37.400001525878906,2022-01-31
38.61000061035156,2022-02-01
37.16999816894531,2022-02-02
34.540000915527344,2022-02-03
37.04999923706055,2022-02-04
37.540000915527344,2022-02-07
38.34000015258789,2022-02-08
40.189998626708984,2022-02-09
37.75,2022-02-10
35.290000915527344,2022-02-11
34.59000015258789,2022-02-14
37.09000015258789,2022-02-15
36.58000183105469,2022-02-16
35.709999084472656,2022-02-17
34.68000030517578,2022-02-18
33.68000030517578,2022-02-22
32.38999938964844,2022-02-23
34.869998931884766,2022-02-24
34.97999954223633,2022-02-25
36.029998779296875,2022-02-28
33.88999938964844,2022-03-01
34.040000915527344,2022-03-02
31.719999313354492,2022-03-03
29.829999923706055,2022-03-04
28.56999969482422,2022-03-07
30.739999771118164,2022-03-08
31.5,2022-03-09
30.40999984741211,2022-03-10
30.760000228881836,2022-03-11
29.270000457763672,2022-03-14
29.799999237060547,2022-03-15
32.61000061035156,2022-03-16
32.849998474121094,2022-03-17
33.36000061035156,2022-03-18
31.979999542236328,2022-03-21
33.349998474121094,2022-03-22
33.060001373291016,2022-03-23
34.70000076293945,2022-03-24
34.060001373291016,2022-03-25
34.77000045776367,2022-03-28
37.189998626708984,2022-03-29
36.58000183105469,2022-03-30
35.68000030517578,2022-03-31
35.97999954223633,2022-04-01
36.5099983215332,2022-04-04
34.959999084472656,2022-04-05
33.40999984741211,2022-04-06
32.27000045776367,2022-04-07
32.04999923706055,2022-04-08
32.040000915527344,2022-04-11
31.989999771118164,2022-04-12
32.630001068115234,2022-04-13
32.68000030517578,2022-04-14
31.790000915527344,2022-04-18
33.79999923706055,2022-04-19
33.209999084472656,2022-04-20
31.68000030517578,2022-04-21
30.829999923706055,2022-04-22
32.439998626708984,2022-04-25
31.329999923706055,2022-04-26
30.68000030517578,2022-04-27
32.81999969482422,2022-04-28
