TXT,Date
24.797956466674805,1997-07-17
24.26590919494629,1997-07-18
24.728546142578125,1997-07-21
25.006134033203125,1997-07-22
25.006134033203125,1997-07-23
25.214338302612305,1997-07-24
25.237462997436523,1997-07-25
25.353134155273438,1997-07-28
25.60759162902832,1997-07-29
25.885162353515625,1997-07-30
25.93144416809082,1997-07-31
25.260597229003906,1997-08-01
25.16806983947754,1997-08-04
25.353134155273438,1997-08-05
25.283735275268555,1997-08-06
25.075542449951172,1997-08-07
24.12710189819336,1997-08-08
24.335309982299805,1997-08-11
24.034563064575195,1997-08-12
23.45627212524414,1997-08-13
23.47939682006836,1997-08-14
22.78543472290039,1997-08-15
22.600374221801758,1997-08-18
23.03988265991211,1997-08-19
23.618196487426758,1997-08-20
23.13241195678711,1997-08-21
23.68758773803711,1997-08-22
23.31747817993164,1997-08-25
23.17867660522461,1997-08-26
22.970489501953125,1997-08-27
23.340608596801758,1997-08-28
23.06302261352539,1997-08-29
23.803260803222656,1997-09-02
23.68758773803711,1997-09-03
23.872657775878906,1997-09-04
23.98831558227539,1997-09-05
24.12710189819336,1997-09-08
24.45095443725586,1997-09-09
23.61503791809082,1997-09-10
23.28994369506836,1997-09-11
23.824018478393555,1997-09-12
23.73112678527832,1997-09-15
25.03147315979004,1997-09-16
25.008249282836914,1997-09-17
25.054689407348633,1997-09-18
24.659948348999023,1997-09-19
24.590295791625977,1997-09-22
24.195547103881836,1997-09-23
24.195547103881836,1997-09-24
23.777568817138672,1997-09-25
23.8936824798584,1997-09-26
23.986557006835938,1997-09-29
24.149097442626953,1997-09-30
24.24197769165039,1997-10-01
24.172317504882812,1997-10-02
24.172317504882812,1997-10-03
24.288423538208008,1997-10-06
24.404523849487305,1997-10-07
24.03299903869629,1997-10-08
23.916902542114258,1997-10-09
23.40605354309082,1997-10-10
22.98809051513672,1997-10-13
23.591814041137695,1997-10-14
23.266725540161133,1997-10-15
22.941648483276367,1997-10-16
22.755884170532227,1997-10-17
23.336389541625977,1997-10-20
23.313173294067383,1997-10-21
22.98809051513672,1997-10-22
22.70944595336914,1997-10-23
22.546903610229492,1997-10-24
20.89826202392578,1997-10-27
21.362661361694336,1997-10-28
21.200124740600586,1997-10-29
21.26978302001953,1997-10-30
21.4787654876709,1997-10-31
21.80384063720703,1997-11-03
22.059274673461914,1997-11-04
22.128929138183594,1997-11-05
22.500457763671875,1997-11-06
21.734189987182617,1997-11-07
21.734189987182617,1997-11-10
21.850290298461914,1997-11-11
21.1536808013916,1997-11-12
20.619617462158203,1997-11-13
20.735715866088867,1997-11-14
21.130464553833008,1997-11-17
