OXY,Date
9.890315055847168,2003-09-22
9.887494087219238,2003-09-23
9.895949363708496,2003-09-24
9.859313011169434,2003-09-25
9.89876937866211,2003-09-26
9.876221656799316,2003-09-29
9.929770469665527,2003-09-30
10.158076286315918,2003-10-01
10.135526657104492,2003-10-02
10.189080238342285,2003-10-03
10.197538375854492,2003-10-06
10.239811897277832,2003-10-07
10.146801948547363,2003-10-08
10.174988746643066,2003-10-09
10.284912109375,2003-10-10
10.358190536499023,2003-10-13
10.335643768310547,2003-10-14
10.23136043548584,2003-10-15
10.25390338897705,2003-10-16
10.183443069458008,2003-10-17
10.019969940185547,2003-10-20
10.25390338897705,2003-10-21
10.177804946899414,2003-10-22
10.23136043548584,2003-10-23
10.270817756652832,2003-10-24
10.23136043548584,2003-10-27
10.053786277770996,2003-10-28
10.104520797729492,2003-10-29
9.957953453063965,2003-10-30
9.938228607177734,2003-10-31
10.00305461883545,2003-11-03
10.00305461883545,2003-11-04
10.039697647094727,2003-11-05
10.121432304382324,2003-11-06
10.166531562805176,2003-11-07
10.163715362548828,2003-11-10
10.062243461608887,2003-11-11
10.152440071105957,2003-11-12
10.174988746643066,2003-11-13
10.268000602722168,2003-11-14
10.248268127441406,2003-11-17
10.20317268371582,2003-11-18
10.152440071105957,2003-11-19
10.129891395568848,2003-11-20
10.093250274658203,2003-11-21
10.208812713623047,2003-11-24
10.31591796875,2003-11-25
10.335643768310547,2003-11-26
10.338458061218262,2003-11-28
10.614678382873535,2003-12-01
10.676690101623535,2003-12-02
10.625956535339355,2003-12-03
10.927538871765137,2003-12-04
10.958544731140137,2003-12-05
10.995434761047363,2003-12-08
11.100424766540527,2003-12-09
11.0294828414917,2003-12-10
11.245133399963379,2003-12-11
11.387015342712402,2003-12-12
11.313236236572266,2003-12-15
11.415385246276855,2003-12-16
11.574287414550781,2003-12-17
11.761565208435059,2003-12-18
11.676440238952637,2003-12-19
11.761565208435059,2003-12-22
11.727519035339355,2003-12-23
11.87507152557373,2003-12-24
11.9204683303833,2003-12-26
12.096399307250977,2003-12-29
12.079366683959961,2003-12-30
11.985733985900879,2003-12-31
11.928977012634277,2004-01-02
12.400009155273438,2004-01-05
12.275162696838379,2004-01-06
12.138957977294922,2004-01-07
12.23259162902832,2004-01-08
12.201385498046875,2004-01-09
12.527698516845703,2004-01-12
12.558916091918945,2004-01-13
12.624181747436523,2004-01-14
12.340423583984375,2004-01-15
12.536209106445312,2004-01-16
12.592965126037598,2004-01-20
12.768888473510742,2004-01-21
12.56175422668457,2004-01-22
12.661062240600586,2004-01-23
12.73483943939209,2004-01-26
12.649710655212402,2004-01-27
12.57593822479248,2004-01-28
12.57593822479248,2004-01-29
12.49932861328125,2004-01-30
12.428387641906738,2004-02-02
12.45959758758545,2004-02-03
12.300695419311523,2004-02-04
12.25812816619873,2004-02-05
12.360284805297852,2004-02-06
12.516348838806152,2004-02-09
12.7660551071167,2004-02-10
12.79443359375,2004-02-11
12.669573783874512,2004-02-12
12.68376350402832,2004-02-13
12.646876335144043,2004-02-17
12.513514518737793,2004-02-18
12.530537605285645,2004-02-19
12.587289810180664,2004-02-20
12.519192695617676,2004-02-23
12.553240776062012,2004-02-24
12.612823486328125,2004-02-25
12.581618309020996,2004-02-26
12.59864330291748,2004-02-27
13.174654960632324,2004-03-01
12.879551887512207,2004-03-02
12.848345756530762,2004-03-03
12.768888473510742,2004-03-04
13.083855628967285,2004-03-05
13.24799633026123,2004-03-08
13.079571723937988,2004-03-09
12.85977554321289,2004-03-10
12.7056245803833,2004-03-11
12.888312339782715,2004-03-12
12.831226348876953,2004-03-15
13.016773223876953,2004-03-16
13.176626205444336,2004-03-17
13.296521186828613,2004-03-18
13.216593742370605,2004-03-19
13.0253324508667,2004-03-22
12.768426895141602,2004-03-23
12.42873764038086,2004-03-24
12.42302417755127,2004-03-25
12.417313575744629,2004-03-26
12.671366691589355,2004-03-29
12.968247413635254,2004-03-30
13.145231246948242,2004-03-31
13.071009635925293,2004-04-01
13.119536399841309,2004-04-02
13.242276191711426,2004-04-05
13.208030700683594,2004-04-06
13.173770904541016,2004-04-07
13.316505432128906,2004-04-08
13.561991691589355,2004-04-12
13.285099983215332,2004-04-13
13.539155006408691,2004-04-14
13.74183177947998,2004-04-15
13.875995635986328,2004-04-16
13.987321853637695,2004-04-19
13.630497932434082,2004-04-20
13.616229057312012,2004-04-21
13.844590187072754,2004-04-22
13.716135025024414,2004-04-23
13.898833274841309,2004-04-26
13.95877742767334,2004-04-27
13.701864242553711,2004-04-28
13.433539390563965,2004-04-29
13.473502159118652,2004-04-30
13.9159574508667,2004-05-03
13.933089256286621,2004-05-04
13.838890075683594,2004-05-05
13.821759223937988,2004-05-06
13.49919605255127,2004-05-07
12.882607460021973,2004-05-10
13.013916015625,2004-05-11
13.005356788635254,2004-05-12
12.842649459838867,2004-05-13
13.208030700683594,2004-05-14
13.196605682373047,2004-05-17
13.1138277053833,2004-05-18
12.991080284118652,2004-05-19
12.942554473876953,2004-05-20
12.774139404296875,2004-05-21
12.973957061767578,2004-05-24
13.216593742370605,2004-05-25
13.039607048034668,2004-05-26
12.582884788513184,2004-05-27
12.617136001586914,2004-05-28
12.79982852935791,2004-06-01
12.665668487548828,2004-06-02
12.657105445861816,2004-06-03
12.619994163513184,2004-06-04
12.85977554321289,2004-06-07
12.950248718261719,2004-06-08
12.881315231323242,2004-06-09
13.128312110900879,2004-06-10
12.941628456115723,2004-06-14
13.162773132324219,2004-06-15
13.481585502624512,2004-06-16
13.63379955291748,2004-06-17
13.854948997497559,2004-06-18
13.837713241577148,2004-06-21
