NWSA,Date
12.607104301452637,2019-07-09
12.607104301452637,2019-07-10
12.531271934509277,2019-07-11
12.616581916809082,2019-07-12
12.663976669311523,2019-07-15
12.872516632080078,2019-07-16
12.531271934509277,2019-07-17
12.588146209716797,2019-07-18
12.455439567565918,2019-07-19
12.569186210632324,2019-07-22
12.682934761047363,2019-07-23
12.863037109375,2019-07-24
12.673457145690918,2019-07-25
12.730331420898438,2019-07-26
12.682934761047363,2019-07-29
12.682934761047363,2019-07-30
12.474395751953125,2019-07-31
12.351168632507324,2019-08-01
12.3037748336792,2019-08-02
12.095235824584961,2019-08-05
12.22794246673584,2019-08-06
12.123673439025879,2019-08-07
12.351168632507324,2019-08-08
12.986265182495117,2019-08-09
13.299073219299316,2019-08-12
13.308550834655762,2019-08-13
12.682934761047363,2019-08-14
12.938870429992676,2019-08-15
13.04313850402832,2019-08-16
13.26115608215332,2019-08-19
13.194802284240723,2019-08-20
13.365427017211914,2019-08-21
13.412820816040039,2019-08-22
12.834600448608398,2019-08-23
12.948348045349121,2019-08-26
12.806163787841797,2019-08-27
13.00522232055664,2019-08-28
13.081055641174316,2019-08-29
13.033659934997559,2019-08-30
12.84407901763916,2019-09-03
13.166366577148438,2019-09-04
13.270636558532715,2019-09-05
13.374903678894043,2019-09-06
13.621358871459961,2019-09-09
13.85045051574707,2019-09-10
13.888630867004395,2019-09-11
13.764541625976562,2019-09-12
13.888630867004395,2019-09-13
13.439994812011719,2019-09-16
13.602270126342773,2019-09-17
13.592723846435547,2019-09-18
13.315905570983887,2019-09-19
13.30635929107666,2019-09-20
13.373178482055664,2019-09-23
13.29681396484375,2019-09-24
13.401813507080078,2019-09-25
13.29681396484375,2019-09-26
13.229994773864746,2019-09-27
13.28726863861084,2019-09-30
13.2490873336792,2019-10-01
13.124996185302734,2019-10-02
13.06772232055664,2019-10-03
13.229994773864746,2019-10-04
13.086813926696777,2019-10-07
12.380451202392578,2019-10-08
12.485450744628906,2019-10-09
12.58090591430664,2019-10-10
12.886359214782715,2019-10-11
12.914995193481445,2019-10-14
12.8099946975708,2019-10-15
13.03908634185791,2019-10-16
13.048632621765137,2019-10-17
12.857723236083984,2019-10-18
13.029542922973633,2019-10-21
13.210906028747559,2019-10-22
13.220450401306152,2019-10-23
13.182269096374512,2019-10-24
13.172723770141602,2019-10-25
13.25863265991211,2019-10-28
13.32544994354248,2019-10-29
13.019996643066406,2019-10-30
13.086813926696777,2019-10-31
13.134541511535645,2019-11-01
13.182269096374512,2019-11-04
13.124996185302734,2019-11-05
12.934087753295898,2019-11-06
12.7145414352417,2019-11-07
12.313633918762207,2019-11-08
12.552268981933594,2019-11-11
12.523632049560547,2019-11-12
12.51408576965332,2019-11-13
12.323177337646484,2019-11-14
12.399540901184082,2019-11-15
12.304086685180664,2019-11-18
12.294540405273438,2019-11-19
12.151359558105469,2019-11-20
11.998631477355957,2019-11-21
12.132270812988281,2019-11-22
12.275449752807617,2019-11-25
12.447269439697266,2019-11-26
12.47590446472168,2019-11-27
12.294540405273438,2019-11-29
12.294540405273438,2019-12-02
12.094085693359375,2019-12-03
12.256360054016113,2019-12-04
12.409086227416992,2019-12-05
12.609541893005371,2019-12-06
12.628632545471191,2019-12-09
12.609541893005371,2019-12-10
12.704996109008789,2019-12-11
13.163178443908691,2019-12-12
12.972269058227539,2019-12-13
13.105904579162598,2019-12-16
13.163178443908691,2019-12-17
13.420905113220215,2019-12-18
13.28726863861084,2019-12-19
13.315905570983887,2019-12-20
13.363633155822754,2019-12-23
13.344541549682617,2019-12-24
13.52590560913086,2019-12-26
13.506814002990723,2019-12-27
13.430450439453125,2019-12-30
13.497269630432129,2019-12-31
13.783632278442383,2020-01-02
13.745450973510742,2020-01-03
13.707267761230469,2020-01-06
13.840906143188477,2020-01-07
13.8790864944458,2020-01-08
13.774086952209473,2020-01-09
13.697724342346191,2020-01-10
13.907724380493164,2020-01-13
14.003177642822266,2020-01-14
14.117721557617188,2020-01-15
14.232267379760742,2020-01-16
14.232267379760742,2020-01-17
13.831358909606934,2020-01-21
13.79317855834961,2020-01-22
13.697724342346191,2020-01-23
13.30635929107666,2020-01-24
13.03908634185791,2020-01-27
12.895905494689941,2020-01-28
12.762269020080566,2020-01-29
13.029542922973633,2020-01-30
13.000904083251953,2020-01-31
13.019996643066406,2020-02-03
13.182269096374512,2020-02-04
13.449542045593262,2020-02-05
13.812268257141113,2020-02-06
13.544995307922363,2020-02-07
13.134541511535645,2020-02-10
13.487723350524902,2020-02-11
13.783632278442383,2020-02-12
13.745450973510742,2020-02-13
13.936359405517578,2020-02-14
13.840906143188477,2020-02-18
13.945903778076172,2020-02-19
13.888630867004395,2020-02-20
13.688178062438965,2020-02-21
12.99135684967041,2020-02-24
12.275449752807617,2020-02-25
11.769540786743164,2020-02-26
11.387723922729492,2020-02-27
11.530903816223145,2020-02-28
11.864995956420898,2020-03-02
11.301815032958984,2020-03-03
11.234996795654297,2020-03-04
10.566814422607422,2020-03-05
10.519087791442871,2020-03-06
9.67908763885498,2020-03-09
10.411768913269043,2020-03-10
9.727291107177734,2020-03-11
8.888565063476562,2020-03-12
10.09363079071045,2020-03-13
9.775493621826172,2020-03-16
10.488892555236816,2020-03-17
9.524840354919434,2020-03-18
9.322388648986816,2020-03-19
8.695755004882812,2020-03-20
7.934152603149414,2020-03-23
8.367977142333984,2020-03-24
8.406538963317871,2020-03-25
8.830721855163574,2020-03-26
8.223368644714355,2020-03-27
8.50294303894043,2020-03-30
8.657191276550293,2020-03-31
8.329413414001465,2020-04-01
7.90523099899292,2020-04-02
7.885950088500977,2020-04-03
8.608989715576172,2020-04-06
8.474020957946777,2020-04-07
8.628271102905273,2020-04-08
9.148859024047852,2020-04-09
9.052454948425293,2020-04-13
9.071736335754395,2020-04-14
8.608989715576172,2020-04-15
8.136603355407715,2020-04-16
8.58006763458252,2020-04-17
8.454742431640625,2020-04-20
8.136603355407715,2020-04-21
8.136603355407715,2020-04-22
8.367977142333984,2020-04-23
8.51258373260498,2020-04-24
