T,Date
0.31066933274269104,1984-08-01
0.320650577545166,1984-08-02
0.31815508008003235,1984-08-03
0.3094215393066406,1984-08-06
0.3094215393066406,1984-08-07
0.30817386507987976,1984-08-08
0.31129300594329834,1984-08-09
0.31316450238227844,1984-08-10
0.31316450238227844,1984-08-13
0.3125406503677368,1984-08-14
0.311916708946228,1984-08-15
0.31316450238227844,1984-08-16
0.31316450238227844,1984-08-17
0.31753119826316833,1984-08-20
0.32127439975738525,1984-08-21
0.320650577545166,1984-08-22
0.31877896189689636,1984-08-23
0.31753119826316833,1984-08-24
0.3162837028503418,1984-08-27
0.3169076442718506,1984-08-28
0.3169076442718506,1984-08-29
0.3162837028503418,1984-08-30
0.3169076442718506,1984-08-31
0.3156600296497345,1984-09-04
0.31316450238227844,1984-09-05
0.3169076442718506,1984-09-06
