Date,LEXEA
2017-01-06,41.26
2017-01-05,40.27
2017-01-04,40.31
2017-01-03,39.86
2016-12-30,39.67
2016-12-29,39.47
2016-12-28,39.32
2016-12-27,40.22
2016-12-23,40.18
2016-12-22,40.29
2016-12-21,40.55
2016-12-20,41.1
2016-12-19,40.58
2016-12-16,40.68
2016-12-15,41.4
2016-12-14,41.02
2016-12-13,42.61
2016-12-12,42.29
2016-12-09,43.71
2016-12-08,43.97
2016-12-07,43.89
2016-12-06,44.07
2016-12-05,43.28
2016-12-02,42.95
2016-12-01,43.53
2016-11-30,43.96
2016-11-29,43.86
2016-11-28,43.61
2016-11-25,44.0
2016-11-23,43.63
2016-11-22,44.41
2016-11-21,44.26
2016-11-18,44.57
2016-11-17,44.47
2016-11-16,43.81
2016-11-15,42.15
2016-11-14,40.03
2016-11-11,41.1
2016-11-10,42.7
2016-11-09,43.6
2016-11-08,43.78
2016-11-07,43.21
