OKE,Date
0.5049144625663757,1981-06-12
0.5109732151031494,1981-06-15
0.5089538097381592,1981-06-16
0.5150126814842224,1981-06-17
0.533190131187439,1981-06-18
0.5170323848724365,1981-06-19
0.5170323848724365,1981-06-22
0.5210714340209961,1981-06-23
0.5170323848724365,1981-06-24
0.5028945803642273,1981-06-25
0.5089538097381592,1981-06-26
0.4948163628578186,1981-06-29
0.48875704407691956,1981-06-30
0.4786589443683624,1981-07-01
0.4867376983165741,1981-07-02
0.46856051683425903,1981-07-06
0.46856051683425903,1981-07-07
0.48269808292388916,1981-07-08
0.4988554120063782,1981-07-09
0.5210714340209961,1981-07-10
0.5210714340209961,1981-07-13
0.5170323848724365,1981-07-14
0.5230910181999207,1981-07-15
0.5352093577384949,1981-07-16
0.5372292399406433,1981-07-17
