K,Date
31.30242347717285,2012-04-26
31.327302932739258,2012-04-27
31.46417999267578,2012-04-30
31.109529495239258,2012-05-01
31.451732635498047,2012-05-02
31.576189041137695,2012-05-03
31.352184295654297,2012-05-04
31.433082580566406,2012-05-07
31.576189041137695,2012-05-08
31.5823974609375,2012-05-09
31.688173294067383,2012-05-10
31.725505828857422,2012-05-11
31.70683479309082,2012-05-14
31.719280242919922,2012-05-15
31.688173294067383,2012-05-16
31.551280975341797,2012-05-17
31.339740753173828,2012-05-18
31.339740753173828,2012-05-21
31.358413696289062,2012-05-22
31.17173957824707,2012-05-23
31.233976364135742,2012-05-24
31.27752685546875,2012-05-25
31.40818977355957,2012-05-29
30.99249267578125,2012-05-30
30.628324508666992,2012-05-31
30.276702880859375,2012-06-01
30.301815032958984,2012-06-04
30.276702880859375,2012-06-05
30.370891571044922,2012-06-06
30.38972282409668,2012-06-07
30.534128189086914,2012-06-08
30.465072631835938,2012-06-11
30.38344383239746,2012-06-12
30.377164840698242,2012-06-13
30.848079681396484,2012-06-14
30.923423767089844,2012-06-15
31.017602920532227,2012-06-18
31.143186569213867,2012-06-19
31.042722702026367,2012-06-20
30.647153854370117,2012-06-21
30.747623443603516,2012-06-22
30.59693145751953,2012-06-25
30.414833068847656,2012-06-26
30.57809066772461,2012-06-27
30.697391510009766,2012-06-28
30.973663330078125,2012-06-29
31.04900550842285,2012-07-02
31.105518341064453,2012-07-03
31.074115753173828,2012-07-05
30.841806411743164,2012-07-06
30.546688079833984,2012-07-09
30.75389289855957,2012-07-10
31.067834854125977,2012-07-11
30.848079681396484,2012-07-12
31.080394744873047,2012-07-13
30.358333587646484,2012-07-16
30.377164840698242,2012-07-17
30.176240921020508,2012-07-18
30.18251609802246,2012-07-19
29.912527084350586,2012-07-20
29.604860305786133,2012-07-23
29.215574264526367,2012-07-24
29.203020095825195,2012-07-25
29.265810012817383,2012-07-26
29.629974365234375,2012-07-27
29.7618408203125,2012-07-30
29.950204849243164,2012-07-31
30.01927375793457,2012-08-01
31.042722702026367,2012-08-02
31.61410140991211,2012-08-03
31.438297271728516,2012-08-06
31.551311492919922,2012-08-07
31.808746337890625,2012-08-08
31.865264892578125,2012-08-09
32.009666442871094,2012-08-10
31.8338565826416,2012-08-13
31.90291404724121,2012-08-14
32.00340270996094,2012-08-15
32.091285705566406,2012-08-16
32.085018157958984,2012-08-17
32.26082992553711,2012-08-20
32.26710510253906,2012-08-21
32.06618118286133,2012-08-22
32.122703552246094,2012-08-23
32.323604583740234,2012-08-24
32.430355072021484,2012-08-27
32.4366340637207,2012-08-28
32.28593444824219,2012-08-29
32.037925720214844,2012-08-30
32.094947814941406,2012-08-31
32.094947814941406,2012-09-04
31.8034725189209,2012-09-05
31.936542510986328,2012-09-06
31.930204391479492,2012-09-07
31.854169845581055,2012-09-10
31.955549240112305,2012-09-11
31.91752815246582,2012-09-12
32.20268249511719,2012-09-13
31.8034725189209,2012-09-14
31.980894088745117,2012-09-17
31.873165130615234,2012-09-18
32.278717041015625,2012-09-19
32.487831115722656,2012-09-20
32.60188674926758,2012-09-21
32.77931594848633,2012-09-24
32.861690521240234,2012-09-25
32.76029968261719,2012-09-26
32.72861099243164,2012-09-27
32.73495101928711,2012-09-28
32.906036376953125,2012-10-01
32.88704299926758,2012-10-02
32.83000946044922,2012-10-03
32.87437057495117,2012-10-04
32.91872787475586,2012-10-05
32.87437057495117,2012-10-08
32.684261322021484,2012-10-09
32.5892219543457,2012-10-10
32.69693374633789,2012-10-11
32.77931594848633,2012-10-12
32.76029968261719,2012-10-15
32.994754791259766,2012-10-16
33.48899841308594,2012-10-17
33.2672233581543,2012-10-18
33.007423400878906,2012-10-19
32.95673751831055,2012-10-22
32.72861099243164,2012-10-23
32.836334228515625,2012-10-24
33.30525207519531,2012-10-25
33.52068328857422,2012-10-26
33.15317153930664,2012-10-31
33.9008903503418,2012-11-01
34.02129364013672,2012-11-02
34.21138381958008,2012-11-05
34.69929885864258,2012-11-06
34.31910705566406,2012-11-07
34.00861358642578,2012-11-08
33.88821792602539,2012-11-09
34.00861358642578,2012-11-12
34.10365295410156,2012-11-13
34.014949798583984,2012-11-14
34.14801788330078,2012-11-15
34.32544708251953,2012-11-16
34.6866340637207,2012-11-19
34.73732376098633,2012-11-20
34.88306427001953,2012-11-21
35.0161247253418,2012-11-23
35.09852600097656,2012-11-26
35.13652420043945,2012-11-27
35.345638275146484,2012-11-28
35.530067443847656,2012-11-29
35.44060516357422,2012-11-30
35.312782287597656,2012-12-03
35.29363250732422,2012-12-04
35.56201171875,2012-12-05
35.61952590942383,2012-12-06
35.76649856567383,2012-12-07
35.86874771118164,2012-12-10
36.207435607910156,2012-12-11
36.169090270996094,2012-12-12
36.264957427978516,2012-12-13
36.24576950073242,2012-12-14
36.335235595703125,2012-12-17
36.169090270996094,2012-12-18
35.88153076171875,2012-12-19
36.16270065307617,2012-12-20
35.90070343017578,2012-12-21
35.87514114379883,2012-12-24
35.63869094848633,2012-12-26
35.61952590942383,2012-12-27
35.35752868652344,2012-12-28
35.68982696533203,2012-12-31
36.36720275878906,2013-01-02
36.11796569824219,2013-01-03
36.19466018676758,2013-01-04
36.207435607910156,2013-01-07
36.328853607177734,2013-01-08
36.41832733154297,2013-01-09
36.622798919677734,2013-01-10
36.43748474121094,2013-01-11
36.667537689208984,2013-01-14
36.50138854980469,2013-01-15
36.44388198852539,2013-01-16
36.910362243652344,2013-01-17
37.197933197021484,2013-01-18
37.18515396118164,2013-01-22
37.172367095947266,2013-01-23
37.440757751464844,2013-01-24
37.60052490234375,2013-01-25
37.32573318481445,2013-01-28
37.58775329589844,2013-01-29
37.5174446105957,2013-01-30
37.38325119018555,2013-01-31
37.47911071777344,2013-02-01
37.12762451171875,2013-02-04
37.38325119018555,2013-02-05
37.696388244628906,2013-02-06
37.70276641845703,2013-02-07
37.64523696899414,2013-02-08
37.779449462890625,2013-02-11
37.86252975463867,2013-02-12
37.88808822631836,2013-02-13
38.07339859008789,2013-02-14
38.194820404052734,2013-02-15
38.431251525878906,2013-02-19
38.194820404052734,2013-02-20
38.130916595458984,2013-02-21
38.348175048828125,2013-02-22
37.721946716308594,2013-02-25
38.309844970703125,2013-02-26
38.65492630004883,2013-02-27
38.96315383911133,2013-02-28
39.014678955078125,2013-03-01
39.31736373901367,2013-03-04
39.55564880371094,2013-03-05
39.55564880371094,2013-03-06
39.58784103393555,2013-03-07
39.62004089355469,2013-03-08
39.690887451171875,2013-03-11
39.75529098510742,2013-03-12
39.92917251586914,2013-03-13
40.077301025390625,2013-03-14
40.05796432495117,2013-03-15
40.10950469970703,2013-03-18
40.23186492919922,2013-03-19
40.73420715332031,2013-03-20
40.37355422973633,2013-03-21
40.8243522644043,2013-03-22
40.80503845214844,2013-03-25
41.217220306396484,2013-03-26
41.60361862182617,2013-03-27
41.494136810302734,2013-03-28
41.17213821411133,2013-04-01
41.403987884521484,2013-04-02
40.850120544433594,2013-04-03
41.22364807128906,2013-04-04
40.9853630065918,2013-04-05
41.1978874206543,2013-04-08
41.13349533081055,2013-04-09
41.61650466918945,2013-04-10
41.39754104614258,2013-04-11
41.668025970458984,2013-04-12
41.024009704589844,2013-04-15
41.82258987426758,2013-04-16
41.60361862182617,2013-04-17
