ROL,Date
0.18633073568344116,1980-11-21
0.1816578060388565,1980-11-24
0.18341031670570374,1980-11-25
0.18341031670570374,1980-11-26
0.18457871675491333,1980-11-28
0.18049004673957825,1980-12-01
0.17932190001010895,1980-12-02
0.177569180727005,1980-12-03
0.17406441271305084,1980-12-04
0.177569180727005,1980-12-05
0.16822345554828644,1980-12-08
0.16939152777194977,1980-12-09
0.1612139642238617,1980-12-10
0.16238228976726532,1980-12-11
0.16588687896728516,1980-12-12
0.16822345554828644,1980-12-15
0.16880770027637482,1980-12-16
0.16880770027637482,1980-12-17
0.16763949394226074,1980-12-18
0.16705504059791565,1980-12-19
0.16939152777194977,1980-12-22
0.16997595131397247,1980-12-23
0.17055977880954742,1980-12-24
0.16822345554828644,1980-12-26
0.16647133231163025,1980-12-29
