LOW,Date
0.39398789405822754,1980-11-24
0.39398789405822754,1980-11-25
0.40805917978286743,1980-11-26
0.4057134687900543,1980-11-28
0.398678183555603,1980-12-01
0.3869520127773285,1980-12-02
0.3846071660518646,1980-12-03
0.39398789405822754,1980-12-04
0.3892980217933655,1980-12-05
0.3752267360687256,1980-12-08
0.3681906759738922,1980-12-09
0.3611557185649872,1980-12-10
0.33066821098327637,1980-12-11
0.34942927956581116,1980-12-12
0.3517751693725586,1980-12-15
0.34708455204963684,1980-12-16
0.3517751693725586,1980-12-17
0.3564651608467102,1980-12-18
0.3447393774986267,1980-12-19
0.34942927956581116,1980-12-22
0.36584576964378357,1980-12-23
0.36584576964378357,1980-12-24
0.3705366849899292,1980-12-26
0.3611557185649872,1980-12-29
0.3564651608467102,1980-12-30
