MS,Date
40.82661819458008,2017-11-17
41.17034149169922,2017-11-20
41.39667510986328,2017-11-21
41.15357971191406,2017-11-22
41.12841796875,2017-11-24
41.078125,2017-11-27
42.25177764892578,2017-11-28
43.023040771484375,2017-11-29
43.26615905761719,2017-11-30
43.55119705200195,2017-12-01
44.163169860839844,2017-12-04
43.601497650146484,2017-12-05
43.33322525024414,2017-12-06
43.88652420043945,2017-12-07
44.3392219543457,2017-12-08
44.23862075805664,2017-12-11
45.14400863647461,2017-12-12
44.58232116699219,2017-12-13
44.12963104248047,2017-12-14
44.51526641845703,2017-12-15
44.63264083862305,2017-12-18
44.37275695800781,2017-12-19
44.020652770996094,2017-12-20
44.330841064453125,2017-12-21
44.19670867919922,2017-12-22
43.987117767333984,2017-12-26
44.07095718383789,2017-12-27
44.13802719116211,2017-12-28
43.987117767333984,2017-12-29
43.75238800048828,2018-01-02
43.869754791259766,2018-01-03
44.54042053222656,2018-01-04
44.52364730834961,2018-01-05
44.3392219543457,2018-01-08
44.68293380737305,2018-01-09
45.21107864379883,2018-01-10
45.43743896484375,2018-01-11
46.20869445800781,2018-01-12
45.772762298583984,2018-01-16
46.40150451660156,2018-01-17
46.812286376953125,2018-01-18
48.17038345336914,2018-01-19
48.086551666259766,2018-01-22
47.70930099487305,2018-01-23
47.98594665527344,2018-01-24
47.625465393066406,2018-01-25
48.28774642944336,2018-01-26
48.16200637817383,2018-01-29
47.656803131103516,2018-01-30
47.61470413208008,2018-01-31
48.372501373291016,2018-02-01
46.713775634765625,2018-02-02
44.246734619140625,2018-02-05
45.7454833984375,2018-02-06
45.930728912353516,2018-02-07
43.60681915283203,2018-02-08
43.90150833129883,2018-02-09
44.98768615722656,2018-02-12
44.95399475097656,2018-02-13
46.351715087890625,2018-02-14
46.64641571044922,2018-02-15
46.427494049072266,2018-02-16
46.360137939453125,2018-02-20
46.39381790161133,2018-02-21
46.19173812866211,2018-02-22
47.210548400878906,2018-02-23
48.00202560424805,2018-02-26
47.757843017578125,2018-02-27
47.16844177246094,2018-02-28
45.88020324707031,2018-03-01
46.09070587158203,2018-03-02
46.722198486328125,2018-03-05
47.62312316894531,2018-03-06
47.89256286621094,2018-03-07
47.959922790527344,2018-03-08
49.39973068237305,2018-03-09
49.601806640625,2018-03-12
48.86085510253906,2018-03-13
47.98518753051758,2018-03-14
48.17884063720703,2018-03-15
48.42301559448242,2018-03-16
47.95150375366211,2018-03-19
48.38935470581055,2018-03-20
48.08622360229492,2018-03-21
46.006500244140625,2018-03-22
43.84257507324219,2018-03-23
45.72022247314453,2018-03-26
44.751930236816406,2018-03-27
44.54985046386719,2018-03-28
45.43393325805664,2018-03-29
44.38987731933594,2018-04-02
44.76877212524414,2018-04-03
45.18975830078125,2018-04-04
46.19173812866211,2018-04-05
44.6593132019043,2018-04-06
44.920326232910156,2018-04-09
45.58550262451172,2018-04-10
44.406715393066406,2018-04-11
45.34132385253906,2018-04-12
44.608787536621094,2018-04-13
44.96242141723633,2018-04-16
44.82770538330078,2018-04-17
44.844547271728516,2018-04-18
46.05702590942383,2018-04-19
45.854942321777344,2018-04-20
45.16450500488281,2018-04-23
44.6845588684082,2018-04-24
43.817325592041016,2018-04-25
43.95203399658203,2018-04-26
43.875892639160156,2018-04-27
43.6728401184082,2018-04-30
43.833587646484375,2018-05-01
43.74052047729492,2018-05-02
43.21596908569336,2018-05-03
43.486717224121094,2018-05-04
44.32429885864258,2018-05-07
45.16188049316406,2018-05-08
45.804874420166016,2018-05-09
46.56631851196289,2018-05-10
46.70168685913086,2018-05-11
46.718605041503906,2018-05-14
46.40556716918945,2018-05-15
46.50708770751953,2018-05-16
46.4224853515625,2018-05-17
45.61874008178711,2018-05-18
45.99100875854492,2018-05-21
46.430946350097656,2018-05-22
45.9825439453125,2018-05-23
45.68642807006836,2018-05-24
44.84883499145508,2018-05-25
42.26839828491211,2018-05-29
43.1229133605957,2018-05-30
42.420692443847656,2018-05-31
43.32595443725586,2018-06-01
43.613616943359375,2018-06-04
42.962162017822266,2018-06-05
43.91819381713867,2018-06-06
44.11277770996094,2018-06-07
43.91819381713867,2018-06-08
43.808204650878906,2018-06-11
43.41903305053711,2018-06-12
43.65592575073242,2018-06-13
43.41057205200195,2018-06-14
43.283660888671875,2018-06-15
42.95370101928711,2018-06-18
42.23455810546875,2018-06-19
42.20917892456055,2018-06-20
42.12458038330078,2018-06-21
41.363128662109375,2018-06-22
40.55093765258789,2018-06-25
40.43248748779297,2018-06-26
39.92484664916992,2018-06-27
40.85551452636719,2018-06-28
40.102535247802734,2018-06-29
40.373268127441406,2018-07-02
39.781028747558594,2018-07-03
39.51029968261719,2018-07-05
39.84025192260742,2018-07-06
40.95703125,2018-07-09
40.69475555419922,2018-07-10
40.39864730834961,2018-07-11
40.62708282470703,2018-07-12
40.6778450012207,2018-07-13
41.37159729003906,2018-07-16
