D,Date
13.657078742980957,2002-07-01
13.46015453338623,2002-07-02
13.4077787399292,2002-07-03
13.46015453338623,2002-07-05
13.470623016357422,2002-07-08
13.227616310119629,2002-07-09
12.509038925170898,2002-07-10
12.904986381530762,2002-07-11
12.544651985168457,2002-07-12
12.773009300231934,2002-07-15
12.335159301757812,2002-07-16
12.167562484741211,2002-07-17
12.362387657165527,2002-07-18
11.815604209899902,2002-07-19
11.545353889465332,2002-07-22
10.468542098999023,2002-07-23
11.384040832519531,2002-07-24
11.798848152160645,2002-07-25
11.476225852966309,2002-07-26
12.069096565246582,2002-07-29
12.653594970703125,2002-07-30
12.452473640441895,2002-07-31
12.228316307067871,2002-08-01
12.167562484741211,2002-08-02
12.125659942626953,2002-08-05
12.475519180297852,2002-08-06
12.58027458190918,2002-08-07
12.685015678405762,2002-08-08
12.81908893585205,2002-08-09
13.051633834838867,2002-08-12
12.821195602416992,2002-08-13
13.240179061889648,2002-08-14
13.332362174987793,2002-08-15
13.292556762695312,2002-08-16
13.357500076293945,2002-08-19
13.305120468139648,2002-08-20
13.66336727142334,2002-08-21
13.638223648071289,2002-08-22
13.577468872070312,2002-08-23
13.795353889465332,2002-08-26
13.512529373168945,2002-08-27
13.431058883666992,2002-08-28
13.162313461303711,2002-08-29
13.270232200622559,2002-08-30
13.020529747009277,2002-09-03
13.098827362060547,2002-09-04
13.024757385253906,2002-09-05
13.079778671264648,2002-09-06
12.969742774963379,2002-09-09
12.438594818115234,2002-09-10
12.408968925476074,2002-09-11
11.865119934082031,2002-09-12
12.273536682128906,2002-09-13
11.073690414428711,2002-09-16
10.527725219726562,2002-09-17
10.81128978729248,2002-09-18
10.686439514160156,2002-09-19
10.580634117126465,2002-09-20
10.402881622314453,2002-09-23
10.303421020507812,2002-09-24
10.438851356506348,2002-09-25
10.771088600158691,2002-09-26
10.67374038696289,2002-09-27
10.735109329223633,2002-09-30
11.00385856628418,2002-10-01
10.868424415588379,2002-10-02
10.64411449432373,2002-10-03
10.203960418701172,2002-10-04
10.104507446289062,2002-10-07
8.853873252868652,2002-10-08
7.721745491027832,2002-10-09
8.225383758544922,2002-10-10
8.396790504455566,2002-10-11
8.326957702636719,2002-10-14
8.707859992980957,2002-10-15
8.46450424194336,2002-10-16
8.559736251831055,2002-10-17
8.71420955657959,2002-10-18
8.961800575256348,2002-10-21
8.898310661315918,2002-10-22
9.480249404907227,2002-10-23
9.56065845489502,2002-10-24
9.664346694946289,2002-10-25
9.871726989746094,2002-10-28
9.83575439453125,2002-10-29
10.017744064331055,2002-10-30
10.157405853271484,2002-10-31
10.318232536315918,2002-11-01
10.582745552062988,2002-11-04
10.790130615234375,2002-11-05
10.61872386932373,2002-11-06
10.153172492980957,2002-11-07
10.140480995178223,2002-11-08
10.12778091430664,2002-11-11
9.88019847869873,2002-11-12
9.875965118408203,2002-11-13
10.22512149810791,2002-11-14
10.468481063842773,2002-11-15
10.41345500946045,2002-11-18
10.515032768249512,2002-11-19
10.476944923400879,2002-11-20
10.60179328918457,2002-11-21
11.025020599365234,2002-11-22
10.92556095123291,2002-11-25
10.586979866027832,2002-11-26
10.860311508178711,2002-11-27
10.922479629516602,2002-11-29
10.76169490814209,2002-12-02
10.742403030395508,2002-12-03
10.740260124206543,2002-12-04
10.755269050598145,2002-12-05
10.768129348754883,2002-12-06
10.723111152648926,2002-12-09
11.014664649963379,2002-12-10
11.282634735107422,2002-12-11
11.357666015625,2002-12-12
11.578473091125488,2002-12-13
11.576330184936523,2002-12-16
11.503443717956543,2002-12-17
11.572040557861328,2002-12-18
11.5656099319458,2002-12-19
11.855019569396973,2002-12-20
11.664223670959473,2002-12-23
11.7070951461792,2002-12-24
11.807859420776367,2002-12-26
11.563465118408203,2002-12-27
11.8271484375,2002-12-30
