EW,Date
12.021666526794434,2014-03-21
11.823332786560059,2014-03-24
12.051667213439941,2014-03-25
12.1899995803833,2014-03-26
11.876667022705078,2014-03-27
11.859999656677246,2014-03-28
12.361666679382324,2014-03-31
12.369999885559082,2014-04-01
12.46500015258789,2014-04-02
12.53166675567627,2014-04-03
12.375,2014-04-04
12.283332824707031,2014-04-07
12.4399995803833,2014-04-08
12.498332977294922,2014-04-09
12.416666984558105,2014-04-10
12.161666870117188,2014-04-11
13.5,2014-04-14
13.453332901000977,2014-04-15
13.404999732971191,2014-04-16
13.548333168029785,2014-04-17
13.186667442321777,2014-04-21
13.289999961853027,2014-04-22
13.319999694824219,2014-04-23
13.37833309173584,2014-04-24
13.416666984558105,2014-04-25
13.529999732971191,2014-04-28
13.550000190734863,2014-04-29
13.578332901000977,2014-04-30
13.736666679382324,2014-05-01
13.71833324432373,2014-05-02
13.986666679382324,2014-05-05
13.876667022705078,2014-05-06
13.960000038146973,2014-05-07
13.979999542236328,2014-05-08
14.231666564941406,2014-05-09
14.364999771118164,2014-05-12
14.351667404174805,2014-05-13
14.33666706085205,2014-05-14
14.311667442321777,2014-05-15
14.338333129882812,2014-05-16
14.41333293914795,2014-05-19
14.191666603088379,2014-05-20
14.16333293914795,2014-05-21
13.566666603088379,2014-05-22
13.46166706085205,2014-05-23
13.25,2014-05-27
13.393333435058594,2014-05-28
13.423333168029785,2014-05-29
13.533332824707031,2014-05-30
13.44333267211914,2014-06-02
13.430000305175781,2014-06-03
13.41333293914795,2014-06-04
13.403332710266113,2014-06-05
13.399999618530273,2014-06-06
13.46833324432373,2014-06-09
13.451666831970215,2014-06-10
13.751667022705078,2014-06-11
13.3149995803833,2014-06-12
13.0600004196167,2014-06-13
13.073332786560059,2014-06-16
13.676667213439941,2014-06-17
13.816666603088379,2014-06-18
14.013333320617676,2014-06-19
14.216667175292969,2014-06-20
14.274999618530273,2014-06-23
14.133333206176758,2014-06-24
14.118332862854004,2014-06-25
14.31833267211914,2014-06-26
14.643333435058594,2014-06-27
14.30666732788086,2014-06-30
14.523332595825195,2014-07-01
14.626667022705078,2014-07-02
14.68166732788086,2014-07-03
14.571666717529297,2014-07-07
14.489999771118164,2014-07-08
14.648332595825195,2014-07-09
14.691666603088379,2014-07-10
14.65666675567627,2014-07-11
14.46500015258789,2014-07-14
14.59000015258789,2014-07-15
14.399999618530273,2014-07-16
14.173333168029785,2014-07-17
14.221667289733887,2014-07-18
14.220000267028809,2014-07-21
14.283332824707031,2014-07-22
14.256667137145996,2014-07-23
14.194999694824219,2014-07-24
14.166666984558105,2014-07-25
14.149999618530273,2014-07-28
14.073332786560059,2014-07-29
15.479999542236328,2014-07-30
15.041666984558105,2014-07-31
15.328332901000977,2014-08-01
15.566666603088379,2014-08-04
15.635000228881836,2014-08-05
15.835000038146973,2014-08-06
15.728333473205566,2014-08-07
15.78499984741211,2014-08-08
15.75,2014-08-11
15.831666946411133,2014-08-12
15.979999542236328,2014-08-13
15.948332786560059,2014-08-14
16.09666633605957,2014-08-15
16.315000534057617,2014-08-18
16.328332901000977,2014-08-19
16.261667251586914,2014-08-20
16.450000762939453,2014-08-21
16.40166664123535,2014-08-22
16.421667098999023,2014-08-25
16.46666717529297,2014-08-26
16.253332138061523,2014-08-27
16.376667022705078,2014-08-28
16.543333053588867,2014-08-29
16.26333236694336,2014-09-02
16.31833267211914,2014-09-03
16.406667709350586,2014-09-04
16.488332748413086,2014-09-05
16.485000610351562,2014-09-08
16.510000228881836,2014-09-09
16.751667022705078,2014-09-10
16.863332748413086,2014-09-11
16.613332748413086,2014-09-12
16.898332595825195,2014-09-15
16.833332061767578,2014-09-16
17.07666778564453,2014-09-17
17.219999313354492,2014-09-18
17.336666107177734,2014-09-19
17.331666946411133,2014-09-22
17.198333740234375,2014-09-23
17.264999389648438,2014-09-24
17.108333587646484,2014-09-25
17.125,2014-09-26
17.19499969482422,2014-09-29
17.024999618530273,2014-09-30
17.231666564941406,2014-10-01
17.3799991607666,2014-10-02
17.696666717529297,2014-10-03
17.81833267211914,2014-10-06
17.668333053588867,2014-10-07
17.781667709350586,2014-10-08
17.61166763305664,2014-10-09
17.43166732788086,2014-10-10
17.22166633605957,2014-10-13
17.078332901000977,2014-10-14
16.668333053588867,2014-10-15
16.338333129882812,2014-10-16
16.5,2014-10-17
16.97833251953125,2014-10-20
17.635000228881836,2014-10-21
17.543333053588867,2014-10-22
17.531667709350586,2014-10-23
19.459999084472656,2014-10-24
19.503332138061523,2014-10-27
19.713333129882812,2014-10-28
20.0,2014-10-29
20.046667098999023,2014-10-30
20.15333366394043,2014-10-31
19.988332748413086,2014-11-03
19.963333129882812,2014-11-04
20.183332443237305,2014-11-05
20.594999313354492,2014-11-06
20.459999084472656,2014-11-07
20.766666412353516,2014-11-10
20.79833221435547,2014-11-11
20.491666793823242,2014-11-12
20.758333206176758,2014-11-13
20.75,2014-11-14
21.038333892822266,2014-11-17
21.31333351135254,2014-11-18
20.93166732788086,2014-11-19
20.898332595825195,2014-11-20
20.583332061767578,2014-11-21
21.253332138061523,2014-11-24
21.261667251586914,2014-11-25
21.52666664123535,2014-11-26
21.613332748413086,2014-11-28
21.565000534057617,2014-12-01
22.066667556762695,2014-12-02
21.90999984741211,2014-12-03
21.666667938232422,2014-12-04
21.61833381652832,2014-12-05
22.02166748046875,2014-12-08
22.246667861938477,2014-12-09
21.72833251953125,2014-12-10
22.011667251586914,2014-12-11
21.47833251953125,2014-12-12
21.168333053588867,2014-12-15
20.906667709350586,2014-12-16
21.623332977294922,2014-12-17
21.899999618530273,2014-12-18
22.20166778564453,2014-12-19
22.078332901000977,2014-12-22
21.59666633605957,2014-12-23
21.791667938232422,2014-12-24
21.649999618530273,2014-12-26
21.56999969482422,2014-12-29
21.545000076293945,2014-12-30
21.229999542236328,2014-12-31
21.286666870117188,2015-01-02
21.296667098999023,2015-01-05
