YUM,Date
4.443716049194336,1998-07-22
4.396442890167236,1998-07-23
4.412199974060059,1998-07-24
4.624932289123535,1998-07-27
4.546142101287842,1998-07-28
4.522506237030029,1998-07-29
4.6012959480285645,1998-07-30
4.459472179412842,1998-07-31
4.4752302169799805,1998-08-03
4.349167346954346,1998-08-04
4.333409786224365,1998-08-05
4.270379066467285,1998-08-06
4.262500286102295,1998-08-07
4.349167346954346,1998-08-10
4.278257846832275,1998-08-11
4.443716049194336,1998-08-12
4.294015407562256,1998-08-13
4.325530529022217,1998-08-14
4.010375022888184,1998-08-17
4.097042560577393,1998-08-18
4.664327144622803,1998-08-19
4.995239734649658,1998-08-20
4.774630546569824,1998-08-21
4.963726043701172,1998-08-24
5.137060642242432,1998-08-25
5.050394535064697,1998-08-26
4.916451930999756,1998-08-27
4.829782009124756,1998-08-28
4.672204971313477,1998-08-31
4.987361907958984,1998-09-01
4.92432975769043,1998-09-02
4.806146621704102,1998-09-03
4.703721046447754,1998-09-04
4.955844879150391,1998-09-08
4.900694847106934,1998-09-09
4.687962532043457,1998-09-10
4.790387153625488,1998-09-11
4.87705659866333,1998-09-14
4.75887393951416,1998-09-15
4.908572673797607,1998-09-16
4.8691792488098145,1998-09-17
4.9479660987854,1998-09-18
4.9479660987854,1998-09-21
4.87705659866333,1998-09-22
5.0188775062561035,1998-09-23
4.750992774963379,1998-09-24
4.648568630218506,1998-09-25
4.656448841094971,1998-09-28
4.829782009124756,1998-09-29
4.932209014892578,1998-09-30
4.884936809539795,1998-10-01
4.845540523529053,1998-10-02
4.695840835571289,1998-10-05
4.687962532043457,1998-10-06
4.412199974060059,1998-10-07
4.191591262817383,1998-10-08
4.60917329788208,1998-10-09
4.6012959480285645,1998-10-12
4.565838813781738,1998-10-13
4.8691792488098145,1998-10-14
4.955844879150391,1998-10-15
5.050394535064697,1998-10-16
5.349794387817383,1998-10-19
5.625555992126465,1998-10-20
5.562523365020752,1998-10-21
5.515251159667969,1998-10-22
5.609796524047852,1998-10-23
5.531009197235107,1998-10-26
5.546765327453613,1998-10-27
5.483733654022217,1998-10-28
5.428582668304443,1998-10-29
5.483733654022217,1998-10-30
5.562523365020752,1998-11-02
5.5388875007629395,1998-11-03
5.578282356262207,1998-11-04
5.507370948791504,1998-11-05
5.4994916915893555,1998-11-06
5.546765327453613,1998-11-09
5.735860824584961,1998-11-10
5.672828674316406,1998-11-11
5.696465015411377,1998-11-12
5.917076110839844,1998-11-13
5.948591232299805,1998-11-16
5.806769847869873,1998-11-17
5.759498119354248,1998-11-18
5.767375469207764,1998-11-19
5.798892021179199,1998-11-20
5.9564738273620605,1998-11-23
5.8304057121276855,1998-11-24
5.8225274085998535,1998-11-25
5.72797966003418,1998-11-27
5.767375469207764,1998-11-30
5.791009902954102,1998-12-01
5.720099925994873,1998-12-02
5.854043483734131,1998-12-03
6.216473579406738,1998-12-04
6.224352836608887,1998-12-07
6.177080154418945,1998-12-08
6.240113258361816,1998-12-09
6.08253288269043,1998-12-10
6.090410232543945,1998-12-11
5.846165180206299,1998-12-14
5.8934407234191895,1998-12-15
5.964348793029785,1998-12-16
6.066774845123291,1998-12-17
6.200717449188232,1998-12-18
6.0510172843933105,1998-12-21
6.18496036529541,1998-12-22
6.090410232543945,1998-12-23
6.003744602203369,1998-12-24
6.011624336242676,1998-12-28
6.169201850891113,1998-12-29
6.381930351257324,1998-12-30
6.318900108337402,1998-12-31
6.066774845123291,1999-01-04
6.18496036529541,1999-01-05
6.279504299163818,1999-01-06
6.247988700866699,1999-01-07
6.2637481689453125,1999-01-08
6.429208278656006,1999-01-11
6.2873854637146,1999-01-12
6.350415229797363,1999-01-13
6.0510172843933105,1999-01-14
6.145564079284668,1999-01-15
6.114049434661865,1999-01-19
6.019500732421875,1999-01-20
5.87768030166626,1999-01-21
5.798892021179199,1999-01-22
5.8304057121276855,1999-01-25
6.0510172843933105,1999-01-26
6.106168270111084,1999-01-27
6.169201850891113,1999-01-28
5.995864391326904,1999-01-29
5.8304057121276855,1999-02-01
5.917076110839844,1999-02-02
6.224352836608887,1999-02-03
6.129807949066162,1999-02-04
6.177080154418945,1999-02-05
6.397690296173096,1999-02-08
6.45284366607666,1999-02-09
6.77587890625,1999-02-10
7.406190395355225,1999-02-11
7.185579776763916,1999-02-12
7.406190395355225,1999-02-16
7.437707424163818,1999-02-17
7.272253036499023,1999-02-18
7.335284233093262,1999-02-19
7.563775062561035,1999-02-22
7.571651458740234,1999-02-23
7.95771598815918,1999-02-24
7.800140857696533,1999-02-25
7.8316545486450195,1999-02-26
7.8316545486450195,1999-03-01
7.941959857940674,1999-03-02
7.847414970397949,1999-03-03
7.973477363586426,1999-03-04
8.249238014221191,1999-03-05
8.375301361083984,1999-03-08
8.28863525390625,1999-03-09
8.099536895751953,1999-03-10
8.209845542907715,1999-03-11
8.04438591003418,1999-03-12
7.863170623779297,1999-03-15
8.020750999450684,1999-03-16
8.320148468017578,1999-03-17
