J,Date
38.830387115478516,2012-10-05
38.481754302978516,2012-10-08
37.64313888549805,2012-10-09
37.48295211791992,2012-10-10
37.624298095703125,2012-10-11
37.65256881713867,2012-10-12
37.699676513671875,2012-10-15
38.330989837646484,2012-10-16
38.56655502319336,2012-10-17
38.547706604003906,2012-10-18
37.33218002319336,2012-10-19
37.24738693237305,2012-10-22
36.64435577392578,2012-10-23
36.46531295776367,2012-10-24
36.634925842285156,2012-10-25
36.210899353027344,2012-10-26
36.36167907714844,2012-10-31
37.20027160644531,2012-11-01
36.531272888183594,2012-11-02
37.426429748535156,2012-11-05
38.604248046875,2012-11-06
37.39814376831055,2012-11-07
36.719730377197266,2012-11-08
36.74800109863281,2012-11-09
37.021240234375,2012-11-12
36.74800109863281,2012-11-13
36.55012130737305,2012-11-14
36.766845703125,2012-11-15
36.70087432861328,2012-11-16
37.40757369995117,2012-11-19
37.16258239746094,2012-11-20
37.511234283447266,2012-11-21
38.04831314086914,2012-11-23
38.670196533203125,2012-11-26
38.42521286010742,2012-11-27
38.27445602416992,2012-11-28
38.641929626464844,2012-11-29
38.57597351074219,2012-11-30
38.27445602416992,2012-12-03
38.72673034667969,2012-12-04
38.92461013793945,2012-12-05
39.1601676940918,2012-12-06
39.67841339111328,2012-12-07
39.72552490234375,2012-12-10
39.970523834228516,2012-12-11
39.71609878540039,2012-12-12
39.310935974121094,2012-12-13
38.952877044677734,2012-12-14
39.612457275390625,2012-12-17
40.43221664428711,2012-12-18
40.11185073852539,2012-12-19
41.02583694458008,2012-12-20
40.43221664428711,2012-12-21
40.347412109375,2012-12-24
40.14954376220703,2012-12-26
39.90454864501953,2012-12-27
39.32035827636719,2012-12-28
40.11185073852539,2012-12-31
41.22371292114258,2013-01-02
41.02583694458008,2013-01-03
41.3838996887207,2013-01-04
41.49697494506836,2013-01-07
41.6383056640625,2013-01-08
41.864444732666016,2013-01-09
42.5805549621582,2013-01-10
42.35442352294922,2013-01-11
42.326148986816406,2013-01-14
42.919776916503906,2013-01-15
42.75960159301758,2013-01-16
43.39091110229492,2013-01-17
43.39091110229492,2013-01-18
44.10700225830078,2013-01-22
43.66415786743164,2013-01-23
44.31431198120117,2013-01-24
45.66173553466797,2013-01-25
45.91614532470703,2013-01-28
46.08576202392578,2013-01-29
45.2659912109375,2013-01-30
45.33195114135742,2013-01-31
45.53925704956055,2013-02-01
45.143497467041016,2013-02-04
45.69942855834961,2013-02-05
45.75596237182617,2013-02-06
45.24715042114258,2013-02-07
45.303688049316406,2013-02-08
45.077537536621094,2013-02-11
45.3602180480957,2013-02-12
45.87845993041992,2013-02-13
46.07633590698242,2013-02-14
46.500335693359375,2013-02-15
47.39549255371094,2013-02-19
46.538028717041016,2013-02-20
45.8125,2013-02-21
46.26477813720703,2013-02-22
44.832557678222656,2013-02-25
44.94562911987305,2013-02-26
45.7653923034668,2013-02-27
46.01979446411133,2013-02-28
45.228302001953125,2013-03-01
45.501564025878906,2013-03-04
47.141075134277344,2013-03-05
47.33894729614258,2013-03-06
47.4991340637207,2013-03-07
48.827720642089844,2013-03-08
49.1857795715332,2013-03-11
48.9973258972168,2013-03-12
49.43076705932617,2013-03-13
50.278804779052734,2013-03-14
50.60858154296875,2013-03-15
50.928951263427734,2013-03-18
51.06087112426758,2013-03-19
51.06087112426758,2013-03-20
50.8253059387207,2013-03-21
51.34355163574219,2013-03-22
51.173946380615234,2013-03-25
52.1161994934082,2013-03-26
52.323490142822266,2013-03-27
52.99249267578125,2013-03-28
51.946590423583984,2013-04-01
51.202205657958984,2013-04-02
49.50614547729492,2013-04-03
49.9301643371582,2013-04-04
50.269371032714844,2013-04-05
50.86298751831055,2013-04-08
50.46723937988281,2013-04-09
51.004329681396484,2013-04-10
51.4754524230957,2013-04-11
50.01497268676758,2013-04-12
47.44260787963867,2013-04-15
48.2529411315918,2013-04-16
46.62284469604492,2013-04-17
46.575721740722656,2013-04-18
47.15050506591797,2013-04-19
47.71586227416992,2013-04-22
48.1021842956543,2013-04-23
48.874839782714844,2013-04-24
49.1857795715332,2013-04-25
48.66754150390625,2013-04-26
49.025596618652344,2013-04-29
47.56509017944336,2013-04-30
46.18939971923828,2013-05-01
46.97148132324219,2013-05-02
47.706443786621094,2013-05-03
47.960845947265625,2013-05-06
48.1492919921875,2013-05-07
48.47908401489258,2013-05-08
47.61220169067383,2013-05-09
48.05507278442383,2013-05-10
47.301265716552734,2013-05-13
48.403717041015625,2013-05-14
49.33653259277344,2013-05-15
49.713436126708984,2013-05-16
50.966636657714844,2013-05-17
51.8240966796875,2013-05-20
51.871219635009766,2013-05-21
51.418922424316406,2013-05-22
51.8240966796875,2013-05-23
51.81468200683594,2013-05-24
53.18093490600586,2013-05-28
52.8228874206543,2013-05-29
53.859371185302734,2013-05-30
53.71802520751953,2013-05-31
54.08550262451172,2013-06-03
53.6143913269043,2013-06-04
52.52136993408203,2013-06-05
52.69096374511719,2013-06-06
53.64265060424805,2013-06-07
53.71802520751953,2013-06-10
52.8228874206543,2013-06-11
51.861785888671875,2013-06-12
52.323490142822266,2013-06-13
52.60616683959961,2013-06-14
53.539005279541016,2013-06-17
54.44356918334961,2013-06-18
53.43534851074219,2013-06-19
52.323490142822266,2013-06-20
52.63443374633789,2013-06-21
51.59794998168945,2013-06-24
52.20099639892578,2013-06-25
51.71102523803711,2013-06-26
52.48367691040039,2013-06-27
51.946590423583984,2013-06-28
52.2198371887207,2013-07-01
51.466041564941406,2013-07-02
51.40950393676758,2013-07-03
52.16331100463867,2013-07-05
51.748714447021484,2013-07-08
52.747501373291016,2013-07-09
52.81346130371094,2013-07-10
53.72745132446289,2013-07-11
54.42472457885742,2013-07-12
54.50952911376953,2013-07-15
54.17972946166992,2013-07-16
54.6131706237793,2013-07-17
55.772159576416016,2013-07-18
56.08309555053711,2013-07-19
56.06425094604492,2013-07-22
56.045406341552734,2013-07-23
55.960601806640625,2013-07-24
56.610755920410156,2013-07-25
55.583702087402344,2013-07-26
54.82988739013672,2013-07-29
54.54722595214844,2013-07-30
