EYE,Date
33.45000076293945,2020-02-07
32.93000030517578,2020-02-10
32.66999816894531,2020-02-11
32.59000015258789,2020-02-12
33.09000015258789,2020-02-13
33.75,2020-02-14
35.41999816894531,2020-02-18
35.52000045776367,2020-02-19
36.099998474121094,2020-02-20
35.95000076293945,2020-02-21
34.470001220703125,2020-02-24
33.83000183105469,2020-02-25
38.599998474121094,2020-02-26
35.18000030517578,2020-02-27
34.81999969482422,2020-02-28
36.33000183105469,2020-03-02
35.81999969482422,2020-03-03
36.790000915527344,2020-03-04
35.470001220703125,2020-03-05
34.939998626708984,2020-03-06
34.52000045776367,2020-03-09
34.70000076293945,2020-03-10
31.65999984741211,2020-03-11
27.65999984741211,2020-03-12
30.3700008392334,2020-03-13
23.25,2020-03-16
20.530000686645508,2020-03-17
16.670000076293945,2020-03-18
17.469999313354492,2020-03-19
14.0600004196167,2020-03-20
13.699999809265137,2020-03-23
18.09000015258789,2020-03-24
21.190000534057617,2020-03-25
22.149999618530273,2020-03-26
19.93000030517578,2020-03-27
19.579999923706055,2020-03-30
19.420000076293945,2020-03-31
16.479999542236328,2020-04-01
16.520000457763672,2020-04-02
16.670000076293945,2020-04-03
18.399999618530273,2020-04-06
19.940000534057617,2020-04-07
22.0,2020-04-08
24.3700008392334,2020-04-09
24.25,2020-04-13
25.079999923706055,2020-04-14
24.209999084472656,2020-04-15
24.030000686645508,2020-04-16
24.5,2020-04-17
24.190000534057617,2020-04-20
23.690000534057617,2020-04-21
24.329999923706055,2020-04-22
24.25,2020-04-23
25.670000076293945,2020-04-24
28.18000030517578,2020-04-27
27.6299991607666,2020-04-28
28.68000030517578,2020-04-29
26.5,2020-04-30
24.799999237060547,2020-05-01
24.68000030517578,2020-05-04
24.399999618530273,2020-05-05
24.0,2020-05-06
24.450000762939453,2020-05-07
26.40999984741211,2020-05-08
26.299999237060547,2020-05-11
24.520000457763672,2020-05-12
24.010000228881836,2020-05-13
23.81999969482422,2020-05-14
24.40999984741211,2020-05-15
26.360000610351562,2020-05-18
24.860000610351562,2020-05-19
24.34000015258789,2020-05-20
25.969999313354492,2020-05-21
25.3700008392334,2020-05-22
27.43000030517578,2020-05-26
28.510000228881836,2020-05-27
26.5,2020-05-28
26.780000686645508,2020-05-29
25.790000915527344,2020-06-01
27.350000381469727,2020-06-02
29.93000030517578,2020-06-03
29.68000030517578,2020-06-04
31.790000915527344,2020-06-05
31.760000228881836,2020-06-08
30.739999771118164,2020-06-09
30.049999237060547,2020-06-10
27.540000915527344,2020-06-11
28.145000457763672,2020-06-12
28.06999969482422,2020-06-15
29.469999313354492,2020-06-16
29.920000076293945,2020-06-17
30.68000030517578,2020-06-18
30.56999969482422,2020-06-19
31.549999237060547,2020-06-22
31.65999984741211,2020-06-23
30.440000534057617,2020-06-24
30.3799991607666,2020-06-25
28.799999237060547,2020-06-26
30.31999969482422,2020-06-29
30.520000457763672,2020-06-30
30.68000030517578,2020-07-01
30.6200008392334,2020-07-02
30.350000381469727,2020-07-06
29.149999618530273,2020-07-07
29.510000228881836,2020-07-08
27.899999618530273,2020-07-09
28.81999969482422,2020-07-10
28.790000915527344,2020-07-13
28.899999618530273,2020-07-14
30.489999771118164,2020-07-15
30.790000915527344,2020-07-16
30.1299991607666,2020-07-17
29.790000915527344,2020-07-20
31.06999969482422,2020-07-21
31.8799991607666,2020-07-22
32.029998779296875,2020-07-23
31.329999923706055,2020-07-24
32.290000915527344,2020-07-27
31.3799991607666,2020-07-28
32.150001525878906,2020-07-29
31.040000915527344,2020-07-30
31.989999771118164,2020-07-31
32.970001220703125,2020-08-03
33.66999816894531,2020-08-04
33.91999816894531,2020-08-05
33.25,2020-08-06
33.29999923706055,2020-08-07
35.16999816894531,2020-08-10
35.20000076293945,2020-08-11
35.529998779296875,2020-08-12
35.970001220703125,2020-08-13
35.720001220703125,2020-08-14
35.349998474121094,2020-08-17
35.68000030517578,2020-08-18
36.29999923706055,2020-08-19
36.7400016784668,2020-08-20
36.599998474121094,2020-08-21
37.279998779296875,2020-08-24
37.52000045776367,2020-08-25
38.22999954223633,2020-08-26
38.20000076293945,2020-08-27
37.189998626708984,2020-08-28
37.56999969482422,2020-08-31
39.65999984741211,2020-09-01
39.41999816894531,2020-09-02
39.220001220703125,2020-09-03
39.369998931884766,2020-09-04
38.41999816894531,2020-09-08
38.29999923706055,2020-09-09
38.27000045776367,2020-09-10
37.380001068115234,2020-09-11
37.22999954223633,2020-09-14
37.439998626708984,2020-09-15
38.20000076293945,2020-09-16
38.45000076293945,2020-09-17
38.349998474121094,2020-09-18
37.349998474121094,2020-09-21
39.11000061035156,2020-09-22
37.630001068115234,2020-09-23
36.63999938964844,2020-09-24
36.849998474121094,2020-09-25
38.2400016784668,2020-09-28
38.630001068115234,2020-09-29
38.2400016784668,2020-09-30
39.45000076293945,2020-10-01
39.68000030517578,2020-10-02
40.869998931884766,2020-10-05
39.33000183105469,2020-10-06
41.06999969482422,2020-10-07
39.599998474121094,2020-10-08
40.06999969482422,2020-10-09
39.93000030517578,2020-10-12
40.970001220703125,2020-10-13
40.810001373291016,2020-10-14
41.34000015258789,2020-10-15
40.810001373291016,2020-10-16
41.2400016784668,2020-10-19
41.95000076293945,2020-10-20
41.77000045776367,2020-10-21
42.59000015258789,2020-10-22
43.130001068115234,2020-10-23
42.2400016784668,2020-10-26
42.16999816894531,2020-10-27
41.75,2020-10-28
41.52000045776367,2020-10-29
40.33000183105469,2020-10-30
41.61000061035156,2020-11-02
42.5,2020-11-03
43.689998626708984,2020-11-04
45.20000076293945,2020-11-05
44.77000045776367,2020-11-06
48.27000045776367,2020-11-09
46.5,2020-11-10
45.66999816894531,2020-11-11
45.810001373291016,2020-11-12
44.13999938964844,2020-11-13
43.0,2020-11-16
41.97999954223633,2020-11-17
42.02000045776367,2020-11-18
42.25,2020-11-19
43.470001220703125,2020-11-20
44.91999816894531,2020-11-23
45.09000015258789,2020-11-24
44.279998779296875,2020-11-25
43.93000030517578,2020-11-27
42.810001373291016,2020-11-30
42.72999954223633,2020-12-01
42.64500045776367,2020-12-02
42.814998626708984,2020-12-03
42.7599983215332,2020-12-04
43.220001220703125,2020-12-07
44.0,2020-12-08
46.36000061035156,2020-12-09
45.72999954223633,2020-12-10
44.61000061035156,2020-12-11
45.56999969482422,2020-12-14
46.59000015258789,2020-12-15
46.20000076293945,2020-12-16
46.66999816894531,2020-12-17
45.849998474121094,2020-12-18
45.9900016784668,2020-12-21
47.720001220703125,2020-12-22
47.72999954223633,2020-12-23
47.310001373291016,2020-12-24
46.529998779296875,2020-12-28
45.790000915527344,2020-12-29
45.86000061035156,2020-12-30
45.290000915527344,2020-12-31
46.9900016784668,2021-01-04
47.2599983215332,2021-01-05
49.41999816894531,2021-01-06
50.03499984741211,2021-01-07
50.189998626708984,2021-01-08
49.7400016784668,2021-01-11
51.939998626708984,2021-01-12
50.90999984741211,2021-01-13
51.849998474121094,2021-01-14
48.63999938964844,2021-01-15
47.744998931884766,2021-01-19
48.58000183105469,2021-01-20
49.22999954223633,2021-01-21
48.150001525878906,2021-01-22
47.58000183105469,2021-01-25
47.40999984741211,2021-01-26
45.04999923706055,2021-01-27
46.540000915527344,2021-01-28
46.369998931884766,2021-01-29
45.290000915527344,2021-02-01
46.84000015258789,2021-02-02
48.72999954223633,2021-02-03
47.349998474121094,2021-02-04
49.06999969482422,2021-02-05
50.849998474121094,2021-02-08
51.38999938964844,2021-02-09
50.81999969482422,2021-02-10
51.209999084472656,2021-02-11
50.91999816894531,2021-02-12
50.54999923706055,2021-02-16
51.119998931884766,2021-02-17
49.959999084472656,2021-02-18
51.31999969482422,2021-02-19
51.209999084472656,2021-02-22
50.38999938964844,2021-02-23
49.13999938964844,2021-02-24
47.65999984741211,2021-02-25
47.4900016784668,2021-02-26
49.43000030517578,2021-03-01
47.79999923706055,2021-03-02
47.65999984741211,2021-03-03
44.220001220703125,2021-03-04
45.65999984741211,2021-03-05
45.63999938964844,2021-03-08
45.97999954223633,2021-03-09
46.59000015258789,2021-03-10
46.5,2021-03-11
47.810001373291016,2021-03-12
48.13999938964844,2021-03-15
45.650001525878906,2021-03-16
43.529998779296875,2021-03-17
43.029998779296875,2021-03-18
43.58000183105469,2021-03-19
43.599998474121094,2021-03-22
42.709999084472656,2021-03-23
42.529998779296875,2021-03-24
43.68000030517578,2021-03-25
45.369998931884766,2021-03-26
43.619998931884766,2021-03-29
45.13999938964844,2021-03-30
43.83000183105469,2021-03-31
45.18000030517578,2021-04-01
45.38999938964844,2021-04-05
46.790000915527344,2021-04-06
46.27000045776367,2021-04-07
47.380001068115234,2021-04-08
47.400001525878906,2021-04-09
47.810001373291016,2021-04-12
47.84000015258789,2021-04-13
46.97999954223633,2021-04-14
47.38999938964844,2021-04-15
47.58000183105469,2021-04-16
48.040000915527344,2021-04-19
47.33000183105469,2021-04-20
48.75,2021-04-21
49.720001220703125,2021-04-22
50.310001373291016,2021-04-23
50.86000061035156,2021-04-26
51.099998474121094,2021-04-27
51.349998474121094,2021-04-28
51.189998626708984,2021-04-29
50.40999984741211,2021-04-30
52.11000061035156,2021-05-03
50.630001068115234,2021-05-04
50.63999938964844,2021-05-05
50.400001525878906,2021-05-06
51.15999984741211,2021-05-07
51.33000183105469,2021-05-10
50.02000045776367,2021-05-11
46.90999984741211,2021-05-12
46.959999084472656,2021-05-13
49.939998626708984,2021-05-14
50.31999969482422,2021-05-17
49.869998931884766,2021-05-18
48.720001220703125,2021-05-19
48.63999938964844,2021-05-20
48.209999084472656,2021-05-21
48.36000061035156,2021-05-24
50.029998779296875,2021-05-25
49.459999084472656,2021-05-26
50.18000030517578,2021-05-27
49.66999816894531,2021-05-28
50.290000915527344,2021-06-01
49.68000030517578,2021-06-02
48.5099983215332,2021-06-03
48.18000030517578,2021-06-04
47.0099983215332,2021-06-07
48.939998626708984,2021-06-08
48.540000915527344,2021-06-09
48.459999084472656,2021-06-10
48.27000045776367,2021-06-11
48.77000045776367,2021-06-14
47.810001373291016,2021-06-15
48.470001220703125,2021-06-16
47.900001525878906,2021-06-17
47.29999923706055,2021-06-18
48.220001220703125,2021-06-21
49.279998779296875,2021-06-22
50.540000915527344,2021-06-23
51.25,2021-06-24
50.849998474121094,2021-06-25
51.25,2021-06-28
51.13999938964844,2021-06-29
51.130001068115234,2021-06-30
51.16999816894531,2021-07-01
50.779998779296875,2021-07-02
50.349998474121094,2021-07-06
50.380001068115234,2021-07-07
49.7400016784668,2021-07-08
50.540000915527344,2021-07-09
50.939998626708984,2021-07-12
50.91999816894531,2021-07-13
50.91999816894531,2021-07-14
50.66999816894531,2021-07-15
49.560001373291016,2021-07-16
49.95000076293945,2021-07-19
50.86000061035156,2021-07-20
51.5099983215332,2021-07-21
51.88999938964844,2021-07-22
52.83000183105469,2021-07-23
52.56999969482422,2021-07-26
52.25,2021-07-27
53.279998779296875,2021-07-28
53.619998931884766,2021-07-29
53.97999954223633,2021-07-30
53.209999084472656,2021-08-02
54.119998931884766,2021-08-03
53.7400016784668,2021-08-04
53.90999984741211,2021-08-05
54.29999923706055,2021-08-06
53.75,2021-08-09
54.459999084472656,2021-08-10
54.400001525878906,2021-08-11
54.88999938964844,2021-08-12
53.97999954223633,2021-08-13
54.63999938964844,2021-08-16
54.95000076293945,2021-08-17
55.040000915527344,2021-08-18
54.279998779296875,2021-08-19
55.5099983215332,2021-08-20
56.52000045776367,2021-08-23
55.11000061035156,2021-08-24
58.130001068115234,2021-08-25
57.31999969482422,2021-08-26
57.70000076293945,2021-08-27
59.189998626708984,2021-08-30
59.97999954223633,2021-08-31
59.77000045776367,2021-09-01
59.29999923706055,2021-09-02
59.40999984741211,2021-09-03
58.63999938964844,2021-09-07
58.9900016784668,2021-09-08
59.900001525878906,2021-09-09
58.619998931884766,2021-09-10
59.2400016784668,2021-09-13
57.79999923706055,2021-09-14
58.959999084472656,2021-09-15
59.79999923706055,2021-09-16
58.880001068115234,2021-09-17
57.7599983215332,2021-09-20
58.099998474121094,2021-09-21
58.900001525878906,2021-09-22
60.290000915527344,2021-09-23
60.70000076293945,2021-09-24
60.290000915527344,2021-09-27
58.470001220703125,2021-09-28
57.970001220703125,2021-09-29
56.77000045776367,2021-09-30
55.380001068115234,2021-10-01
55.9900016784668,2021-10-04
57.06999969482422,2021-10-05
57.47999954223633,2021-10-06
58.13999938964844,2021-10-07
57.25,2021-10-08
55.52000045776367,2021-10-11
56.630001068115234,2021-10-12
56.27000045776367,2021-10-13
59.41999816894531,2021-10-14
63.529998779296875,2021-10-15
61.7599983215332,2021-10-18
60.630001068115234,2021-10-19
59.209999084472656,2021-10-20
61.939998626708984,2021-10-21
60.5099983215332,2021-10-22
61.189998626708984,2021-10-25
60.290000915527344,2021-10-26
59.5,2021-10-27
60.5,2021-10-28
61.63999938964844,2021-10-29
62.439998626708984,2021-11-01
61.939998626708984,2021-11-02
64.16000366210938,2021-11-03
64.41999816894531,2021-11-04
64.94999694824219,2021-11-05
64.13999938964844,2021-11-08
63.52000045776367,2021-11-09
55.220001220703125,2021-11-10
53.130001068115234,2021-11-11
50.810001373291016,2021-11-12
49.36000061035156,2021-11-15
48.2400016784668,2021-11-16
48.68000030517578,2021-11-17
48.33000183105469,2021-11-18
48.65999984741211,2021-11-19
49.91999816894531,2021-11-22
49.83000183105469,2021-11-23
49.290000915527344,2021-11-24
47.77000045776367,2021-11-26
46.95000076293945,2021-11-29
48.040000915527344,2021-11-30
46.86000061035156,2021-12-01
48.779998779296875,2021-12-02
47.9900016784668,2021-12-03
47.2400016784668,2021-12-06
48.40999984741211,2021-12-07
48.220001220703125,2021-12-08
46.90999984741211,2021-12-09
48.380001068115234,2021-12-10
48.2599983215332,2021-12-13
47.779998779296875,2021-12-14
48.0099983215332,2021-12-15
46.439998626708984,2021-12-16
46.34000015258789,2021-12-17
45.58000183105469,2021-12-20
46.47999954223633,2021-12-21
47.0099983215332,2021-12-22
47.84000015258789,2021-12-23
48.810001373291016,2021-12-27
47.939998626708984,2021-12-28
48.220001220703125,2021-12-29
48.54999923706055,2021-12-30
47.9900016784668,2021-12-31
49.13999938964844,2022-01-03
48.119998931884766,2022-01-04
46.470001220703125,2022-01-05
45.86000061035156,2022-01-06
42.97999954223633,2022-01-07
42.11000061035156,2022-01-10
42.93000030517578,2022-01-11
41.31999969482422,2022-01-12
40.86000061035156,2022-01-13
39.439998626708984,2022-01-14
38.029998779296875,2022-01-18
37.650001525878906,2022-01-19
38.02000045776367,2022-01-20
37.86000061035156,2022-01-21
40.15999984741211,2022-01-24
39.869998931884766,2022-01-25
38.619998931884766,2022-01-26
38.56999969482422,2022-01-27
38.93000030517578,2022-01-28
40.880001068115234,2022-01-31
41.119998931884766,2022-02-01
39.90999984741211,2022-02-02
38.970001220703125,2022-02-03
39.150001525878906,2022-02-04
39.06999969482422,2022-02-07
39.439998626708984,2022-02-08
40.33000183105469,2022-02-09
39.13999938964844,2022-02-10
38.11000061035156,2022-02-11
38.45000076293945,2022-02-14
39.43000030517578,2022-02-15
37.11000061035156,2022-02-16
37.20000076293945,2022-02-17
38.22999954223633,2022-02-18
36.689998626708984,2022-02-22
35.63999938964844,2022-02-23
36.63999938964844,2022-02-24
38.25,2022-02-25
36.66999816894531,2022-02-28
36.459999084472656,2022-03-01
38.099998474121094,2022-03-02
38.709999084472656,2022-03-03
38.54999923706055,2022-03-04
38.119998931884766,2022-03-07
39.060001373291016,2022-03-08
39.47999954223633,2022-03-09
41.290000915527344,2022-03-10
40.77000045776367,2022-03-11
41.0,2022-03-14
41.709999084472656,2022-03-15
42.880001068115234,2022-03-16
43.15999984741211,2022-03-17
44.150001525878906,2022-03-18
42.959999084472656,2022-03-21
43.369998931884766,2022-03-22
43.0,2022-03-23
43.599998474121094,2022-03-24
43.4900016784668,2022-03-25
44.34000015258789,2022-03-28
45.06999969482422,2022-03-29
44.5099983215332,2022-03-30
43.56999969482422,2022-03-31
44.43000030517578,2022-04-01
45.529998779296875,2022-04-04
45.060001373291016,2022-04-05
43.439998626708984,2022-04-06
43.209999084472656,2022-04-07
43.130001068115234,2022-04-08
43.2599983215332,2022-04-11
42.0099983215332,2022-04-12
43.400001525878906,2022-04-13
42.630001068115234,2022-04-14
42.400001525878906,2022-04-18
43.25,2022-04-19
42.869998931884766,2022-04-20
42.220001220703125,2022-04-21
40.75,2022-04-22
40.310001373291016,2022-04-25
39.11000061035156,2022-04-26
38.25,2022-04-27
38.970001220703125,2022-04-28
37.650001525878906,2022-04-29
38.040000915527344,2022-05-02
37.709999084472656,2022-05-03
38.66999816894531,2022-05-04
37.470001220703125,2022-05-05
