GE,Date
2.6089134216308594,1981-05-27
2.599088430404663,1981-05-28
2.584351062774658,1981-05-29
2.5941762924194336,1981-06-01
2.589261054992676,1981-06-02
2.6040003299713135,1981-06-03
2.6059916019439697,1981-06-04
2.6258857250213623,1981-06-05
2.6308557987213135,1981-06-08
2.6109657287597656,1981-06-09
2.6358304023742676,1981-06-10
2.6606991291046143,1981-06-11
2.6358304023742676,1981-06-12
2.6358304023742676,1981-06-15
2.620910406112671,1981-06-16
2.6159374713897705,1981-06-17
2.5860977172851562,1981-06-18
2.5711774826049805,1981-06-19
2.546312093734741,1981-06-22
2.5662038326263428,1981-06-23
2.5662038326263428,1981-06-24
2.5562584400177,1981-06-25
2.5413384437561035,1981-06-26
2.5015532970428467,1981-06-29
2.4617667198181152,1981-06-30
2.4170072078704834,1981-07-01
2.407060146331787,1981-07-02
2.407060146331787,1981-07-06
2.4170072078704834,1981-07-07
2.4418742656707764,1981-07-08
2.4816598892211914,1981-07-09
2.521446466445923,1981-07-10
2.511500835418701,1981-07-13
2.526418685913086,1981-07-14
2.526418685913086,1981-07-15
2.5164718627929688,1981-07-16
2.4617667198181152,1981-07-17
2.3971126079559326,1981-07-20
2.382194757461548,1981-07-21
2.367274045944214,1981-07-22
2.367274045944214,1981-07-23
2.3772192001342773,1981-07-24
2.3921406269073486,1981-07-27
2.3772192001342773,1981-07-28
2.372246503829956,1981-07-29
2.3921406269073486,1981-07-30
2.426954507827759,1981-07-31
2.4020867347717285,1981-08-03
2.372246503829956,1981-08-04
2.4170072078704834,1981-08-05
2.407060146331787,1981-08-06
2.3871665000915527,1981-08-07
2.3623006343841553,1981-08-10
2.4170072078704834,1981-08-11
2.3871665000915527,1981-08-12
2.367274045944214,1981-08-13
2.3125693798065186,1981-08-14
2.3075952529907227,1981-08-17
2.2976486682891846,1981-08-18
2.2777557373046875,1981-08-19
2.2777557373046875,1981-08-20
2.2777557373046875,1981-08-21
2.2230498790740967,1981-08-24
2.2479164600372314,1981-08-25
2.242943525314331,1981-08-26
2.218076705932617,1981-08-27
2.252889633178711,1981-08-28
2.2230498790740967,1981-08-31
2.242943525314331,1981-09-01
2.237969160079956,1981-09-02
2.237969160079956,1981-09-03
2.208129405975342,1981-09-04
2.1882379055023193,1981-09-08
2.1583967208862305,1981-09-09
2.1385045051574707,1981-09-10
2.1782896518707275,1981-09-11
2.1782896518707275,1981-09-14
2.180307388305664,1981-09-15
2.160121202468872,1981-09-16
2.1247918605804443,1981-09-17
2.099557399749756,1981-09-18
2.160121202468872,1981-09-21
2.1853559017181396,1981-09-22
2.150026321411133,1981-09-23
2.1197447776794434,1981-09-24
2.104602336883545,1981-09-25
2.1853559017181396,1981-09-28
2.2156381607055664,1981-09-29
2.2156381607055664,1981-09-30
2.276202917098999,1981-10-01
2.266108512878418,1981-10-02
2.2812490463256836,1981-10-05
2.2560136318206787,1981-10-06
2.2913432121276855,1981-10-07
2.331719160079956,1981-10-08
2.2913432121276855,1981-10-09
2.245919942855835,1981-10-12
2.2862963676452637,1981-10-13
2.240873336791992,1981-10-14
2.2610597610473633,1981-10-15
2.250966787338257,1981-10-16
2.225731611251831,1981-10-19
2.225731611251831,1981-10-20
2.230778932571411,1981-10-21
2.1904029846191406,1981-10-22
2.170215129852295,1981-10-23
2.1853559017181396,1981-10-26
2.1904029846191406,1981-10-27
2.160121202468872,1981-10-28
2.144979238510132,1981-10-29
2.1904029846191406,1981-10-30
2.245919942855835,1981-11-02
2.250966787338257,1981-11-03
2.2812490463256836,1981-11-04
2.2610597610473633,1981-11-05
2.230778932571411,1981-11-06
2.245919942855835,1981-11-09
2.2610597610473633,1981-11-10
2.2913432121276855,1981-11-11
2.3064849376678467,1981-11-12
2.2812490463256836,1981-11-13
2.235826015472412,1981-11-16
2.2560136318206787,1981-11-17
2.235826015472412,1981-11-18
2.2610597610473633,1981-11-19
2.3014373779296875,1981-11-20
2.336766004562378,1981-11-23
2.3922836780548096,1981-11-24
2.407423734664917,1981-11-25
2.427612543106079,1981-11-27
2.4377059936523438,1981-11-30
2.444866895675659,1981-12-01
2.4192936420440674,1981-12-02
2.449982166290283,1981-12-03
2.449982166290283,1981-12-04
2.4550960063934326,1981-12-07
2.4295217990875244,1981-12-08
2.4346377849578857,1981-12-09
2.449982166290283,1981-12-10
2.4397518634796143,1981-12-11
2.373260021209717,1981-12-14
2.403949499130249,1981-12-15
2.388604164123535,1981-12-16
2.3937201499938965,1981-12-17
2.398834228515625,1981-12-18
2.373260021209717,1981-12-21
2.373260021209717,1981-12-22
2.3834891319274902,1981-12-23
2.373260021209717,1981-12-24
2.3681459426879883,1981-12-28
2.342571973800659,1981-12-29
2.347686767578125,1981-12-30
2.347686767578125,1981-12-31
2.388604164123535,1982-01-04
2.347686767578125,1982-01-05
2.342571973800659,1982-01-06
2.3579163551330566,1982-01-07
2.3579163551330566,1982-01-08
2.311882972717285,1982-01-11
2.3016533851623535,1982-01-12
2.2811944484710693,1982-01-13
2.2709646224975586,1982-01-14
2.2914233207702637,1982-01-15
2.35280179977417,1982-01-18
2.3579163551330566,1982-01-19
2.373260021209717,1982-01-20
2.4244091510772705,1982-01-21
2.4141781330108643,1982-01-22
2.403949499130249,1982-01-25
2.4295217990875244,1982-01-26
2.4550960063934326,1982-01-27
2.4960153102874756,1982-01-28
2.5573923587799072,1982-01-29
2.5062458515167236,1982-02-01
2.542048215866089,1982-02-02
2.5369343757629395,1982-02-03
2.5573923587799072,1982-02-04
2.5778517723083496,1982-02-05
2.5369343757629395,1982-02-08
2.485786199569702,1982-02-09
2.511359691619873,1982-02-10
2.449982166290283,1982-02-11
2.4550960063934326,1982-02-12
2.460211753845215,1982-02-16
2.4550960063934326,1982-02-17
2.5062458515167236,1982-02-18
2.511359691619873,1982-02-19
2.485786199569702,1982-02-22
2.4960153102874756,1982-02-23
2.5369343757629395,1982-02-24
2.5727381706237793,1982-02-25
2.5727381706237793,1982-02-26
2.5880820751190186,1982-03-01
2.5573923587799072,1982-03-02
2.5335583686828613,1982-03-03
2.49211049079895,1982-03-04
2.4972903728485107,1982-03-05
2.4869279861450195,1982-03-08
2.5128355026245117,1982-03-09
2.5128355026245117,1982-03-10
2.5128355026245117,1982-03-11
2.455843925476074,1982-03-12
2.4817473888397217,1982-03-15
2.4662060737609863,1982-03-16
2.4765663146972656,1982-03-17
2.5024726390838623,1982-03-18
2.4869279861450195,1982-03-19
2.5231986045837402,1982-03-22
2.559464693069458,1982-03-23
2.543922185897827,1982-03-24
2.559464693069458,1982-03-25
2.5491039752960205,1982-03-26
2.5801889896392822,1982-03-29
2.5853710174560547,1982-03-30
2.6268203258514404,1982-03-31
2.6682684421539307,1982-04-01
2.6630868911743164,1982-04-02
2.6630868911743164,1982-04-05
2.6734492778778076,1982-04-06
2.6423630714416504,1982-04-07
2.6630868911743164,1982-04-08
2.6475448608398438,1982-04-12
2.6475448608398438,1982-04-13
2.631999969482422,1982-04-14
2.6475448608398438,1982-04-15
2.6475448608398438,1982-04-16
2.6734492778778076,1982-04-19
2.631999969482422,1982-04-20
2.6423630714416504,1982-04-21
2.6579058170318604,1982-04-22
2.6941726207733154,1982-04-23
