MDLZ,Date
35.15378189086914,2018-06-11
35.328548431396484,2018-06-12
35.07514190673828,2018-06-13
35.30233383178711,2018-06-14
35.66933822631836,2018-06-15
35.1100959777832,2018-06-18
35.24991226196289,2018-06-19
35.616912841796875,2018-06-20
35.599422454833984,2018-06-21
36.088775634765625,2018-06-22
36.219844818115234,2018-06-25
35.983909606933594,2018-06-26
35.817893981933594,2018-06-27
35.93209457397461,2018-06-28
36.01995086669922,2018-06-29
35.8969612121582,2018-07-02
35.853023529052734,2018-07-03
36.77549362182617,2018-07-05
37.20597457885742,2018-07-06
37.04783630371094,2018-07-09
36.9687614440918,2018-07-10
37.118125915527344,2018-07-11
37.293819427490234,2018-07-12
37.62766647338867,2018-07-13
37.17082595825195,2018-07-16
37.62766647338867,2018-07-17
37.012699127197266,2018-07-18
37.10932922363281,2018-07-19
37.293819427490234,2018-07-20
36.617347717285156,2018-07-23
36.47679138183594,2018-07-24
36.459232330322266,2018-07-25
38.014225006103516,2018-07-26
37.68917465209961,2018-07-27
37.77702713012695,2018-07-30
38.11086654663086,2018-07-31
37.62766647338867,2018-08-01
37.9175910949707,2018-08-02
38.444705963134766,2018-08-03
38.014225006103516,2018-08-06
37.724300384521484,2018-08-07
37.241119384765625,2018-08-08
37.039039611816406,2018-08-09
36.84577560424805,2018-08-10
36.810638427734375,2018-08-13
36.784271240234375,2018-08-14
36.731563568115234,2018-08-15
36.9951286315918,2018-08-16
37.52224349975586,2018-08-17
37.6188850402832,2018-08-20
37.39046096801758,2018-08-21
37.12689971923828,2018-08-22
36.97755432128906,2018-08-23
37.241119384765625,2018-08-24
37.32896423339844,2018-08-27
37.118125915527344,2018-08-28
37.372894287109375,2018-08-29
37.285037994384766,2018-08-30
37.531036376953125,2018-08-31
37.44316864013672,2018-09-04
38.20751190185547,2018-09-05
38.20751190185547,2018-09-06
37.35531234741211,2018-09-07
37.68917465209961,2018-09-10
37.65402603149414,2018-09-11
38.084503173828125,2018-09-12
38.541343688964844,2018-09-13
38.4798469543457,2018-09-14
38.400779724121094,2018-09-17
