CNP,Date
0.30424264073371887,1962-09-11
0.3027730882167816,1962-09-12
0.3020378649234772,1962-09-13
0.29689380526542664,1962-09-14
0.2961588203907013,1962-09-17
0.29909831285476685,1962-09-18
0.29983335733413696,1962-09-19
0.29909831285476685,1962-09-20
0.29395440220832825,1962-09-21
0.2924843430519104,1962-09-24
0.2855032980442047,1962-09-25
0.28293079137802124,1962-09-26
0.28366583585739136,1962-09-27
0.28035879135131836,1962-09-28
0.2799915075302124,1962-10-01
0.2924843430519104,1962-10-02
0.2873400151729584,1962-10-03
0.2910146415233612,1962-10-04
0.2924843430519104,1962-10-05
0.2928520739078522,1962-10-08
0.29395440220832825,1962-10-09
0.29909831285476685,1962-10-10
0.2954242527484894,1962-10-11
0.29432177543640137,1962-10-12
0.29395440220832825,1962-10-15
