PGR,Date
0.04672809690237045,1980-11-21
0.04579351097345352,1980-11-24
0.04532649368047714,1980-11-25
0.04532649368047714,1980-11-26
0.04532649368047714,1980-11-28
0.04532649368047714,1980-12-01
0.04485892504453659,1980-12-02
0.044391900300979614,1980-12-03
0.044391900300979614,1980-12-04
0.04485892504453659,1980-12-05
0.044391900300979614,1980-12-08
0.04392489418387413,1980-12-09
0.04392489418387413,1980-12-10
0.04392489418387413,1980-12-11
0.04392489418387413,1980-12-12
0.04392489418387413,1980-12-15
0.044391900300979614,1980-12-16
0.04532649368047714,1980-12-17
0.04719562456011772,1980-12-18
0.048597224056720734,1980-12-19
0.049531806260347366,1980-12-22
0.05233552306890488,1980-12-23
0.05233552306890488,1980-12-24
0.054204657673835754,1980-12-26
0.054204657673835754,1980-12-29
