COMS,Date
23055.359375,2010-06-23
23055.359375,2010-06-24
23055.359375,2010-06-25
23055.359375,2010-06-28
23055.359375,2010-06-29
23055.359375,2010-06-30
23055.359375,2010-07-01
24268.80078125,2010-07-02
24268.80078125,2010-07-06
24268.80078125,2010-07-07
24268.80078125,2010-07-08
24268.80078125,2010-07-09
18201.599609375,2010-07-12
18201.599609375,2010-07-13
18201.599609375,2010-07-14
18201.599609375,2010-07-15
18201.599609375,2010-07-16
18201.599609375,2010-07-19
12134.400390625,2010-07-20
12134.400390625,2010-07-21
12134.400390625,2010-07-22
12134.400390625,2010-07-23
12134.400390625,2010-07-26
12134.400390625,2010-07-27
12134.400390625,2010-07-28
12134.400390625,2010-07-29
12134.400390625,2010-07-30
12134.400390625,2010-08-02
12741.1201171875,2010-08-03
12741.1201171875,2010-08-04
12741.1201171875,2010-08-05
13347.83984375,2010-08-06
13347.83984375,2010-08-09
13347.83984375,2010-08-10
13347.83984375,2010-08-11
13347.83984375,2010-08-12
13347.83984375,2010-08-13
13347.83984375,2010-08-16
13347.83984375,2010-08-17
13347.83984375,2010-08-18
12741.1201171875,2010-08-19
9100.7998046875,2010-08-20
12741.1201171875,2010-08-23
12741.1201171875,2010-08-24
12741.1201171875,2010-08-25
12741.1201171875,2010-08-26
12741.1201171875,2010-08-27
12741.1201171875,2010-08-30
12741.1201171875,2010-08-31
12741.1201171875,2010-09-01
12741.1201171875,2010-09-02
24268.80078125,2010-09-03
9100.7998046875,2010-09-07
30336.0,2010-09-08
24268.80078125,2010-09-09
24268.80078125,2010-09-10
18201.599609375,2010-09-13
23662.080078125,2010-09-14
23662.080078125,2010-09-15
29729.279296875,2010-09-16
27302.400390625,2010-09-17
27302.400390625,2010-09-20
27302.400390625,2010-09-21
12134.400390625,2010-09-22
12134.400390625,2010-09-23
12134.400390625,2010-09-24
9100.7998046875,2010-09-27
9100.7998046875,2010-09-28
9100.7998046875,2010-09-29
21841.919921875,2010-09-30
21841.919921875,2010-10-01
21841.919921875,2010-10-04
21841.919921875,2010-10-05
12134.400390625,2010-10-06
17594.880859375,2010-10-07
24268.80078125,2010-10-08
24268.80078125,2010-10-11
18201.599609375,2010-10-12
18201.599609375,2010-10-13
18201.599609375,2010-10-14
19415.0390625,2010-10-15
19415.0390625,2010-10-18
19415.0390625,2010-10-19
18808.3203125,2010-10-20
18808.3203125,2010-10-21
18808.3203125,2010-10-22
18808.3203125,2010-10-25
18808.3203125,2010-10-26
18808.3203125,2010-10-27
21235.19921875,2010-10-28
91008.0,2010-10-29
182016.0,2010-11-01
218419.203125,2010-11-02
200217.59375,2010-11-03
133478.40625,2010-11-04
172915.203125,2010-11-05
163814.40625,2010-11-08
160780.796875,2010-11-09
154713.59375,2010-11-10
139545.59375,2010-11-11
151680.0,2010-11-12
139545.59375,2010-11-15
139545.59375,2010-11-16
145612.796875,2010-11-17
139545.59375,2010-11-18
163814.40625,2010-11-19
118310.3984375,2010-11-22
109209.6015625,2010-11-23
121344.0,2010-11-24
142579.203125,2010-11-26
142579.203125,2010-11-29
121344.0,2010-11-30
103142.3984375,2010-12-01
133478.40625,2010-12-02
115276.796875,2010-12-03
91008.0,2010-12-06
121344.0,2010-12-07
121344.0,2010-12-08
139545.59375,2010-12-09
130444.796875,2010-12-10
103142.3984375,2010-12-13
106176.0,2010-12-14
121344.0,2010-12-15
121344.0,2010-12-16
121344.0,2010-12-17
145612.796875,2010-12-20
151680.0,2010-12-21
145612.796875,2010-12-22
145612.796875,2010-12-23
147432.953125,2010-12-27
151073.28125,2010-12-28
133478.40625,2010-12-29
145612.796875,2010-12-30
121344.0,2010-12-31
148646.40625,2011-01-03
145612.796875,2011-01-04
151680.0,2011-01-05
151680.0,2011-01-06
151680.0,2011-01-07
151680.0,2011-01-10
139545.59375,2011-01-11
133478.40625,2011-01-12
127411.203125,2011-01-13
151680.0,2011-01-14
145612.796875,2011-01-18
151680.0,2011-01-19
157747.203125,2011-01-20
157747.203125,2011-01-21
133478.40625,2011-01-24
151680.0,2011-01-25
151680.0,2011-01-26
151680.0,2011-01-27
142579.203125,2011-01-28
139545.59375,2011-01-31
121344.0,2011-02-01
121344.0,2011-02-02
121344.0,2011-02-03
121344.0,2011-02-04
109209.6015625,2011-02-07
121344.0,2011-02-08
124377.6015625,2011-02-09
115276.796875,2011-02-10
127411.203125,2011-02-11
121344.0,2011-02-14
115276.796875,2011-02-15
109209.6015625,2011-02-16
115276.796875,2011-02-17
115276.796875,2011-02-18
121344.0,2011-02-22
133478.40625,2011-02-23
145612.796875,2011-02-24
121344.0,2011-02-25
121344.0,2011-02-28
121344.0,2011-03-01
145612.796875,2011-03-02
145612.796875,2011-03-03
121344.0,2011-03-04
121344.0,2011-03-07
127411.203125,2011-03-08
127411.203125,2011-03-09
121344.0,2011-03-10
133478.40625,2011-03-11
141972.484375,2011-03-14
139545.59375,2011-03-15
136512.0,2011-03-16
136512.0,2011-03-17
145006.078125,2011-03-18
137118.71875,2011-03-21
127411.203125,2011-03-22
121344.0,2011-03-23
124984.3203125,2011-03-24
127411.203125,2011-03-25
130444.796875,2011-03-28
139545.59375,2011-03-29
139545.59375,2011-03-30
122557.4375,2011-03-31
118310.3984375,2011-04-01
121344.0,2011-04-04
121344.0,2011-04-05
130444.796875,2011-04-06
124377.6015625,2011-04-07
124377.6015625,2011-04-08
120130.5625,2011-04-11
115883.5234375,2011-04-12
118310.3984375,2011-04-13
129231.359375,2011-04-14
121344.0,2011-04-15
121344.0,2011-04-18
121344.0,2011-04-19
121344.0,2011-04-20
121344.0,2011-04-21
115276.796875,2011-04-25
116490.2421875,2011-04-26
116490.2421875,2011-04-27
121344.0,2011-04-28
121344.0,2011-04-29
115276.796875,2011-05-02
115276.796875,2011-05-03
133478.40625,2011-05-04
133478.40625,2011-05-05
118310.3984375,2011-05-06
130444.796875,2011-05-09
120130.5625,2011-05-10
127411.203125,2011-05-11
121344.0,2011-05-12
118310.3984375,2011-05-13
127411.203125,2011-05-16
121344.0,2011-05-17
118917.1171875,2011-05-18
124377.6015625,2011-05-19
130444.796875,2011-05-20
121344.0,2011-05-23
118310.3984375,2011-05-24
121344.0,2011-05-25
118310.3984375,2011-05-26
118310.3984375,2011-05-27
115276.796875,2011-05-31
97075.203125,2011-06-01
97075.203125,2011-06-02
112243.203125,2011-06-03
97075.203125,2011-06-06
112243.203125,2011-06-07
112243.203125,2011-06-08
112243.203125,2011-06-09
103142.3984375,2011-06-10
103142.3984375,2011-06-13
94041.6015625,2011-06-14
94041.6015625,2011-06-15
87974.3984375,2011-06-16
81907.203125,2011-06-17
75840.0,2011-06-20
63705.6015625,2011-06-21
84940.796875,2011-06-22
91008.0,2011-06-23
91008.0,2011-06-24
84940.796875,2011-06-27
81907.203125,2011-06-28
81907.203125,2011-06-29
81907.203125,2011-06-30
91008.0,2011-07-01
78873.6015625,2011-07-05
81907.203125,2011-07-06
78873.6015625,2011-07-07
84940.796875,2011-07-08
58245.12109375,2011-07-11
72806.3984375,2011-07-12
77660.15625,2011-07-13
77660.15625,2011-07-14
77660.15625,2011-07-15
87974.3984375,2011-07-18
87974.3984375,2011-07-19
87974.3984375,2011-07-20
81300.4765625,2011-07-21
84940.796875,2011-07-22
84940.796875,2011-07-25
78873.6015625,2011-07-26
72806.3984375,2011-07-27
72806.3984375,2011-07-28
75840.0,2011-07-29
72806.3984375,2011-08-01
72806.3984375,2011-08-02
75840.0,2011-08-03
84940.796875,2011-08-04
72806.3984375,2011-08-05
66739.203125,2011-08-08
84940.796875,2011-08-09
69772.796875,2011-08-10
69772.796875,2011-08-11
69772.796875,2011-08-12
72806.3984375,2011-08-15
72806.3984375,2011-08-16
72806.3984375,2011-08-17
72806.3984375,2011-08-18
75840.0,2011-08-19
74019.84375,2011-08-22
74019.84375,2011-08-23
66739.203125,2011-08-24
60672.0,2011-08-25
61885.44140625,2011-08-26
66739.203125,2011-08-29
84940.796875,2011-08-30
78873.6015625,2011-08-31
78873.6015625,2011-09-01
78873.6015625,2011-09-02
67345.921875,2011-09-06
66132.4765625,2011-09-07
65525.76171875,2011-09-08
66739.203125,2011-09-09
60672.0,2011-09-12
68559.359375,2011-09-13
72806.3984375,2011-09-14
72806.3984375,2011-09-15
72806.3984375,2011-09-16
61885.44140625,2011-09-19
60672.0,2011-09-20
66739.203125,2011-09-21
63705.6015625,2011-09-22
72806.3984375,2011-09-23
67345.921875,2011-09-26
91008.0,2011-09-27
109209.6015625,2011-09-28
106176.0,2011-09-29
84940.796875,2011-09-30
81300.4765625,2011-10-03
79480.3203125,2011-10-04
84940.796875,2011-10-05
69772.796875,2011-10-06
78873.6015625,2011-10-07
72806.3984375,2011-10-10
77660.15625,2011-10-11
75840.0,2011-10-12
81907.203125,2011-10-13
75840.0,2011-10-14
75840.0,2011-10-17
79480.3203125,2011-10-18
72806.3984375,2011-10-19
69772.796875,2011-10-20
69772.796875,2011-10-21
63705.6015625,2011-10-24
57638.3984375,2011-10-25
75840.0,2011-10-26
69772.796875,2011-10-27
60672.0,2011-10-28
57638.3984375,2011-10-31
60672.0,2011-11-01
60672.0,2011-11-02
60065.28125,2011-11-03
60672.0,2011-11-04
65525.76171875,2011-11-07
72806.3984375,2011-11-08
66739.203125,2011-11-09
58851.83984375,2011-11-10
60672.0,2011-11-11
55818.23828125,2011-11-14
48537.6015625,2011-11-15
51571.19921875,2011-11-16
49751.0390625,2011-11-17
51571.19921875,2011-11-18
47930.87890625,2011-11-21
41256.9609375,2011-11-22
35189.76171875,2011-11-23
41256.9609375,2011-11-25
39436.80078125,2011-11-28
35189.76171875,2011-11-29
41256.9609375,2011-11-30
36403.19921875,2011-12-01
36403.19921875,2011-12-02
31549.439453125,2011-12-05
31549.439453125,2011-12-06
33369.6015625,2011-12-07
35189.76171875,2011-12-08
31549.439453125,2011-12-09
26088.9609375,2011-12-12
26695.6796875,2011-12-13
32156.16015625,2011-12-14
30336.0,2011-12-15
30336.0,2011-12-16
30942.720703125,2011-12-19
27302.400390625,2011-12-20
30336.0,2011-12-21
29122.560546875,2011-12-22
36403.19921875,2011-12-23
31549.439453125,2011-12-27
35189.76171875,2011-12-28
35796.48046875,2011-12-29
35189.76171875,2011-12-30
35189.76171875,2012-01-03
37616.640625,2012-01-04
37616.640625,2012-01-05
37616.640625,2012-01-06
37616.640625,2012-01-09
36403.19921875,2012-01-10
37616.640625,2012-01-11
42470.3984375,2012-01-12
48537.6015625,2012-01-13
43077.12109375,2012-01-17
39436.80078125,2012-01-18
39436.80078125,2012-01-19
45504.0,2012-01-20
37009.921875,2012-01-23
37009.921875,2012-01-24
38223.359375,2012-01-25
37616.640625,2012-01-26
37616.640625,2012-01-27
37009.921875,2012-01-30
42470.3984375,2012-01-31
47324.16015625,2012-02-01
63705.6015625,2012-02-02
57638.3984375,2012-02-03
72806.3984375,2012-02-06
72199.6796875,2012-02-07
69772.796875,2012-02-08
54604.80078125,2012-02-09
49144.3203125,2012-02-10
54604.80078125,2012-02-13
51571.19921875,2012-02-14
60672.0,2012-02-15
48537.6015625,2012-02-16
47324.16015625,2012-02-17
47324.16015625,2012-02-21
66739.203125,2012-02-22
66739.203125,2012-02-23
60672.0,2012-02-24
60672.0,2012-02-27
64919.0390625,2012-02-28
66739.203125,2012-02-29
57638.3984375,2012-03-01
60672.0,2012-03-02
72806.3984375,2012-03-05
65525.76171875,2012-03-06
78873.6015625,2012-03-07
78873.6015625,2012-03-08
75840.0,2012-03-09
66739.203125,2012-03-12
66739.203125,2012-03-13
60672.0,2012-03-14
60672.0,2012-03-15
60672.0,2012-03-16
63705.6015625,2012-03-19
66739.203125,2012-03-20
60672.0,2012-03-21
60672.0,2012-03-22
60672.0,2012-03-23
66739.203125,2012-03-26
59458.55859375,2012-03-27
60672.0,2012-03-28
63705.6015625,2012-03-29
60672.0,2012-03-30
60672.0,2012-04-02
60672.0,2012-04-03
57638.3984375,2012-04-04
60672.0,2012-04-05
60672.0,2012-04-09
57031.6796875,2012-04-10
57638.3984375,2012-04-11
48537.6015625,2012-04-12
48537.6015625,2012-04-13
50357.76171875,2012-04-16
42470.3984375,2012-04-17
47324.16015625,2012-04-18
51571.19921875,2012-04-19
48537.6015625,2012-04-20
57031.6796875,2012-04-23
60672.0,2012-04-24
66739.203125,2012-04-25
53391.359375,2012-04-26
51571.19921875,2012-04-27
49751.0390625,2012-04-30
45504.0,2012-05-01
46110.71875,2012-05-02
50357.76171875,2012-05-03
51571.19921875,2012-05-04
48537.6015625,2012-05-07
48537.6015625,2012-05-08
60672.0,2012-05-09
55818.23828125,2012-05-10
48537.6015625,2012-05-11
46110.71875,2012-05-14
44290.55859375,2012-05-15
42470.3984375,2012-05-16
43683.83984375,2012-05-17
42470.3984375,2012-05-18
41256.9609375,2012-05-21
36403.19921875,2012-05-22
34583.0390625,2012-05-23
41256.9609375,2012-05-24
42470.3984375,2012-05-25
36403.19921875,2012-05-29
37616.640625,2012-05-30
36403.19921875,2012-05-31
35189.76171875,2012-06-01
42470.3984375,2012-06-04
41256.9609375,2012-06-05
35189.76171875,2012-06-06
42470.3984375,2012-06-07
34583.0390625,2012-06-08
37616.640625,2012-06-11
33369.6015625,2012-06-12
34583.0390625,2012-06-13
34583.0390625,2012-06-14
30942.720703125,2012-06-15
29729.279296875,2012-06-18
30336.0,2012-06-19
32156.16015625,2012-06-20
30336.0,2012-06-21
35796.48046875,2012-06-22
36403.19921875,2012-06-25
30336.0,2012-06-26
30336.0,2012-06-27
33369.6015625,2012-06-28
27909.119140625,2012-06-29
36403.19921875,2012-07-02
35189.76171875,2012-07-03
29729.279296875,2012-07-05
30336.0,2012-07-06
30336.0,2012-07-09
30336.0,2012-07-10
