Date,JOY
2015-01-22,44.3
2015-01-21,43.09
2015-01-20,42.53
2015-01-16,42.19
2015-01-15,42.39
2015-01-14,43.43
2015-01-13,43.21
2015-01-12,43.34
2015-01-09,44.19
2015-01-08,44.14
2015-01-07,43.02
2015-01-06,44.5
2015-01-05,45.44
2015-01-02,46.99
2014-12-31,46.52
2014-12-30,47.66
2014-12-29,48.41
2014-12-26,48.72
2014-12-24,48.23
2014-12-23,47.92
2014-12-22,47.05
2014-12-19,47.07
2014-12-18,46.51
2014-12-17,46.14
2014-12-16,46.05
2014-12-15,45.91
2014-12-12,46.28
2014-12-11,49.08
2014-12-10,49.93
2014-12-09,50.74
2014-12-08,50.17
2014-12-05,51.38
2014-12-04,51.5
2014-12-03,52.22
2014-12-02,50.31
2014-12-01,50.29
2014-11-28,49.04
2014-11-26,52.66
2014-11-25,53.31
2014-11-24,53.03
2014-11-21,53.73
2014-11-20,52.43
2014-11-19,52.25
2014-11-18,53.74
2014-11-17,53.43
2014-11-14,53.26
2014-11-13,52.61
2014-11-12,53.75
2014-11-11,54.07
2014-11-10,54.87
2014-11-07,54.78
2014-11-06,53.82
2014-11-05,52.72
2014-11-04,51.99
2014-11-03,52.31
2014-10-31,52.63
2014-10-30,52.0
2014-10-29,51.95
2014-10-28,53.31
2014-10-27,51.7
2014-10-24,53.25
2014-10-23,52.7
2014-10-22,50.94
2014-10-21,52.18
2014-10-20,51.14
2014-10-17,52.17
2014-10-16,51.54
2014-10-15,51.12
2014-10-14,50.57
2014-10-13,48.94
2014-10-10,49.21
2014-10-09,50.94
2014-10-08,52.51
2014-10-07,51.69
2014-10-06,53.95
2014-10-03,54.35
2014-10-02,54.35
2014-10-01,54.23
2014-09-30,54.54
2014-09-29,55.84
2014-09-26,56.29
2014-09-25,55.69
2014-09-24,56.33
2014-09-23,57.04
2014-09-22,57.42
2014-09-19,58.01
2014-09-18,59.22
2014-09-17,59.31
2014-09-16,58.39
2014-09-15,58.58
2014-09-12,58.53
2014-09-11,59.38
2014-09-10,59.05
2014-09-09,59.34
2014-09-08,59.93
2014-09-05,60.2
2014-09-04,60.51
2014-09-03,62.2
2014-09-02,62.56
2014-08-29,63.15
2014-08-28,63.09
2014-08-27,63.87
2014-08-26,64.05
2014-08-25,63.83
2014-08-22,63.24
2014-08-21,63.78
2014-08-20,63.76
2014-08-19,63.53
2014-08-18,62.97
2014-08-15,61.52
2014-08-14,61.79
2014-08-13,60.89
2014-08-12,60.71
2014-08-11,60.68
2014-08-08,59.94
2014-08-07,59.12
2014-08-06,59.01
2014-08-05,58.88
2014-08-04,59.13
2014-08-01,58.54
2014-07-31,59.26
2014-07-30,60.41
2014-07-29,61.24
2014-07-28,61.79
2014-07-25,62.75
2014-07-24,63.16
2014-07-23,63.45
2014-07-22,63.96
2014-07-21,63.68
2014-07-18,64.27
2014-07-17,63.8
2014-07-16,65.01
2014-07-15,60.15
2014-07-14,60.95
2014-07-11,60.29
2014-07-10,60.21
2014-07-09,60.66
2014-07-08,60.54
2014-07-07,61.4
2014-07-03,61.78
2014-07-02,61.0
2014-07-01,61.44
2014-06-30,61.58
2014-06-27,61.89
2014-06-26,61.4
2014-06-25,61.27
2014-06-24,61.22
2014-06-23,62.02
2014-06-20,63.31
2014-06-19,62.11
2014-06-18,61.63
2014-06-17,60.96
2014-06-16,60.64
2014-06-13,61.09
2014-06-12,60.86
2014-06-11,62.35
2014-06-10,63.32
2014-06-09,64.52
2014-06-06,64.11
2014-06-05,61.7
2014-06-04,57.85
2014-06-03,58.01
2014-06-02,58.02
2014-05-30,57.15
2014-05-29,58.21
2014-05-28,57.68
2014-05-27,57.77
2014-05-23,58.36
2014-05-22,57.86
2014-05-21,57.96
2014-05-20,57.62
2014-05-19,58.44
2014-05-16,59.17
2014-05-15,58.05
2014-05-14,59.41
2014-05-13,59.81
2014-05-12,59.98
2014-05-09,58.96
2014-05-08,58.92
2014-05-07,58.82
2014-05-06,58.6
2014-05-05,58.94
2014-05-02,59.25
2014-05-01,59.79
2014-04-30,60.38
2014-04-29,59.98
2014-04-28,59.85
2014-04-25,60.39
2014-04-24,61.08
2014-04-23,61.6
2014-04-22,61.32
2014-04-21,61.31
2014-04-17,61.55
2014-04-16,61.02
2014-04-15,60.72
2014-04-14,60.9
2014-04-11,60.15
2014-04-10,60.92
2014-04-09,61.6
2014-04-08,60.76
2014-04-07,58.7
2014-04-04,59.73
2014-04-03,59.16
2014-04-02,59.09
2014-04-01,58.17
2014-03-31,58.0
2014-03-28,57.96
2014-03-27,57.53
2014-03-26,57.52
2014-03-25,58.55
2014-03-24,56.75
2014-03-21,56.51
2014-03-20,55.15
2014-03-19,55.15
2014-03-18,56.39
2014-03-17,56.46
2014-03-14,55.75
2014-03-13,55.61
2014-03-12,55.5
2014-03-11,55.71
2014-03-10,55.43
2014-03-07,56.82
2014-03-06,57.12
2014-03-05,55.79
2014-03-04,55.29
2014-03-03,54.73
2014-02-28,55.0
2014-02-27,56.04
2014-02-26,55.8
2014-02-25,55.1
2014-02-24,57.44
2014-02-21,56.73
2014-02-20,56.6
2014-02-19,55.87
2014-02-18,57.0
2014-02-14,56.66
2014-02-13,56.25
2014-02-12,56.21
2014-02-11,55.57
2014-02-10,54.88
2014-02-07,54.79
2014-02-06,53.83
2014-02-05,52.4
2014-02-04,52.71
2014-02-03,51.72
2014-01-31,52.79
2014-01-30,52.82
2014-01-29,53.07
2014-01-28,53.87
2014-01-27,52.96
2014-01-24,52.7
2014-01-23,55.03
2014-01-22,54.95
2014-01-21,55.49
2014-01-17,56.23
2014-01-16,56.62
2014-01-15,56.55
